method,lambda,source_mse_mean,source_mse_std,cross_domain_mse_mean,cross_domain_mse_std,cross_task_mse_mean,cross_task_mse_std,joint_mse_mean,joint_mse_std,core_probe_r2_mean,core_probe_r2_std,spurious_probe_r2_mean,spurious_probe_r2_std,domain_probe_accuracy_mean,domain_probe_accuracy_std,latent_mean_gap_mean,latent_mean_gap_std,latent_covariance_gap_mean,latent_covariance_gap_std,effective_rank_mean,effective_rank_std,latent_variance_mean,latent_variance_std,own_regularizer_mean,own_regularizer_std
coral,0.03,0.2662490904331207,0.007889204663863586,1.182916522026062,0.052147863920661425,0.3110829770565033,0.013759079500922467,0.7958200454711915,0.10578247667284699,0.8907865762710572,0.018380552877329877,0.8088223576545716,0.0480475055173713,0.74951171875,0.1831438761802431,0.47586413472890854,0.31540574558393225,0.11820736825466152,0.06511191094387751,2.2936226606369017,0.5299975276088339,1.46479651927948,0.31463144776761776,0.0017276779050006998,0.0009629588052950329
coral,0.1,0.2663151860237121,0.007973504157125267,1.1863243341445924,0.05345944222699331,0.31175805926322936,0.013925079116764761,0.8317886233329773,0.12642953298253026,0.893352997303009,0.015184053185561723,0.8160453081130982,0.046066907570024185,0.810546875,0.1578617887670166,0.42556679993867874,0.22235296269259333,0.0750765167176723,0.044004283952352036,2.2767162799835203,0.46328304985336355,0.932939887046814,0.25863614673535146,0.0006906509923282599,0.0003503072982141371
coral,0.3,0.2663726031780243,0.008049938426251126,1.1885358095169067,0.05349830564782271,0.31490603685379026,0.007777761938354513,0.7499414682388306,0.08838529784862319,0.8827200293540954,0.010675226833428983,0.7884874224662781,0.01817212661097078,0.81611328125,0.12068629471558787,0.44237275421619415,0.1922501719145922,0.05035764202475544,0.028753163074387533,2.3635454177856445,0.3391060243623813,0.6892015039920807,0.23931967849606076,0.00027661233325486,0.0001203712776522188
coral,1.0,0.2666094720363617,0.008134581855995707,1.1979281663894654,0.05630731263849995,0.31458137631416316,0.006026330236145048,0.7870351076126099,0.10570062626119268,0.8820634603500366,0.014333047509611596,0.7969332814216614,0.020631312096033052,0.83857421875,0.09630510610509738,0.3185741513967514,0.22301922929271606,0.03314232956618064,0.019695766670890832,2.250414228439331,0.2597685109351477,0.45062133073806765,0.17186008270657438,0.00013740817303184734,7.126137797511552e-05
erm,0.0,0.2661634564399719,0.007741373890430876,1.1765616178512572,0.04841953555304608,0.30678566694259646,0.01804921713930653,0.7679797053337097,0.04614372800910775,0.8984288811683655,0.01880573260098059,0.8077593803405761,0.03736655847299455,0.6708984375,0.11698794858764766,0.6393704414367676,0.5218761218472233,0.3194998919963836,0.05481417077603405,2.4117487907409667,0.23628565594528345,4.666931056976319,0.7791250848424155,0.0,0.0
grad_align,0.03,0.26605130434036256,0.007755549375401564,1.1480555057525634,0.052332772062621505,0.3223034977912903,0.022644037294457454,0.6998147249221802,0.048806381671369914,0.8911673784255981,0.0195099950009031,0.7740695834159851,0.028605862186422363,0.7462890625,0.06553582081205116,0.8173207759857177,0.24888757667817923,0.22161354571580882,0.06669288756543776,2.3354501247406008,0.10148881145998488,3.1893786907196047,0.5808730646965699,0.0105110684409737,0.004803545634065602
grad_align,0.1,0.2663580358028412,0.008288151535900621,1.1220458269119262,0.05854715682133043,0.3264027714729309,0.025503668083520288,0.6896933913230896,0.03857680889911479,0.8946173906326294,0.0192120142397359,0.7643934845924377,0.0305972696805706,0.72822265625,0.1218017553657108,0.730183082818985,0.33471350938302163,0.16482103317975996,0.05838538481521751,2.173424983024597,0.2797486217858968,2.4662161111831664,0.5991256773229776,0.0054554176516830605,0.0026939790268432724
grad_align,0.3,0.2671693563461303,0.009160330187462816,1.0923242926597596,0.06202941756202297,0.32647934556007385,0.026472415737596414,0.6902831315994262,0.03664911570891142,0.8992400407791138,0.02064125698328161,0.7541777729988098,0.03401462481325378,0.76435546875,0.09131747115935936,0.7446845293045044,0.25833884851049493,0.1408977277576923,0.06031290996564701,2.0582623958587645,0.30344544577062604,2.223739433288574,0.5121165488172428,0.00275994027033446,0.001461240942849315
grad_align,1.0,0.2688648700714111,0.009206004929081562,1.0544514894485473,0.047164573029146215,0.34460015296936036,0.04294365761570976,0.6739915132522583,0.06361678150829918,0.9007938027381897,0.021181744203128964,0.737885308265686,0.027409476386742203,0.7775390625,0.10622535868615803,0.8728271961212158,0.1664363451741624,0.14107655882835385,0.06833068724979237,2.075120139122009,0.1488025751942534,2.3216548919677735,0.5039907257585642,0.0012855435488745,0.000746280143189274
hess_align,0.03,0.2662279009819031,0.00785390711616501,1.1827216863632202,0.05200507296952552,0.2957673311233521,0.013557656340420473,0.8868329763412476,0.1072982170795058,0.9121996164321899,0.024465284420569125,0.8469400525093078,0.05027244386090739,0.6642578125,0.13442046704785973,0.222929223626852,0.12882508999716785,0.12440856918692586,0.060823501008916786,2.1039368391036986,0.4852537919502091,1.4861657738685607,0.3742839125903144,0.00825285688042636,0.004128428558946444
