method,lambda,metric,mean_paired_delta_vs_erm,std_paired_delta,positive_seed_count,negative_seed_count,zero_seed_count,n_seeds,exact_two_sided_sign_flip_p,bh_q_across_all_reported_tests,interpretation
coral,0.03,source_mse,8.563399314880371e-05,0.0003437303133189275,3,2,0,5,0.625,0.7432432432432432,exploratory_only
coral,0.03,cross_domain_mse,0.006354904174804643,0.005718393248009754,4,1,0,5,0.125,0.22647058823529412,exploratory_only
coral,0.03,cross_task_mse,0.0042973101139068826,0.005927188474334918,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
coral,0.03,joint_mse,0.027840340137481667,0.08662155983028062,3,2,0,5,0.5,0.6390041493775933,exploratory_only
coral,0.03,core_probe_r2,-0.00764230489730835,0.007471903058277474,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.03,spurious_probe_r2,0.0010629773139953613,0.019387549838953435,3,2,0,5,0.8125,0.8811619718309859,exploratory_only
coral,0.03,domain_probe_accuracy,0.07861328125,0.15414034472680266,3,2,0,5,0.375,0.525,exploratory_only
coral,0.03,latent_mean_gap,-0.16350630670785904,0.4989670920087938,2,3,0,5,0.5,0.6390041493775933,exploratory_only
coral,0.03,latent_covariance_gap,-0.2012925237417221,0.04019082881096555,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.03,effective_rank,-0.11812613010406495,0.4264430039941726,2,3,0,5,0.5625,0.6957831325301205,exploratory_only
coral,0.03,latent_variance,-3.202134537696838,0.8280645471928582,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.1,source_mse,0.00015172958374021217,0.0005337837021002444,3,2,0,5,0.625,0.7432432432432432,exploratory_only
coral,0.1,cross_domain_mse,0.009762716293334962,0.008303099984666374,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.1,cross_task_mse,0.0049723923206329455,0.006278534047736005,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
coral,0.1,joint_mse,0.06380891799926758,0.12148488197819124,4,1,0,5,0.3125,0.4605263157894737,exploratory_only
coral,0.1,core_probe_r2,-0.005075883865356489,0.0180015421319581,1,4,0,5,0.5,0.6390041493775933,exploratory_only
coral,0.1,spurious_probe_r2,0.008285927772521972,0.03333597052172938,2,3,0,5,0.75,0.84,exploratory_only
coral,0.1,domain_probe_accuracy,0.1396484375,0.13308508332753477,4,1,0,5,0.125,0.22647058823529412,exploratory_only
coral,0.1,latent_mean_gap,-0.21380364149808884,0.5044405514179167,2,3,0,5,0.5,0.6390041493775933,exploratory_only
coral,0.1,latent_covariance_gap,-0.24442337527871133,0.03165420323666366,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.1,effective_rank,-0.13503251075744624,0.41024920968645406,2,3,0,5,0.5625,0.6957831325301205,exploratory_only
coral,0.1,latent_variance,-3.7339911699295043,0.8192094263279741,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.3,source_mse,0.00020914673805237926,0.0006273544641166634,3,2,0,5,0.625,0.7432432432432432,exploratory_only
coral,0.3,cross_domain_mse,0.01197419166564937,0.00819022087071875,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.3,cross_task_mse,0.008120369911193826,0.013406319426926994,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
coral,0.3,joint_mse,-0.018038237094879152,0.11252706212043012,2,3,0,5,0.75,0.84,exploratory_only
coral,0.3,core_probe_r2,-0.01570885181427002,0.019404352075637614,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.3,spurious_probe_r2,-0.019271957874298095,0.030987526680839303,1,4,0,5,0.3125,0.4605263157894737,exploratory_only
coral,0.3,domain_probe_accuracy,0.14521484375,0.11108618430170515,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.3,latent_mean_gap,-0.19699768722057343,0.49189438005622255,2,3,0,5,0.6875,0.7871747211895911,exploratory_only
coral,0.3,latent_covariance_gap,-0.26914224997162817,0.034257407256094684,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,0.3,effective_rank,-0.04820337295532222,0.2706656168376368,2,3,0,5,0.6875,0.7871747211895911,exploratory_only
coral,0.3,latent_variance,-3.9777295529842376,0.7115878631516533,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,1.0,source_mse,0.0004460155963897816,0.0010263093231270073,3,2,0,5,0.5,0.6390041493775933,exploratory_only
coral,1.0,cross_domain_mse,0.021366548538207963,0.016462996989919744,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
coral,1.0,cross_task_mse,0.007795709371566761,0.015499578348932869,3,2,0,5,0.375,0.525,exploratory_only
coral,1.0,joint_mse,0.019055402278900145,0.13543253353418958,3,2,0,5,0.8125,0.8811619718309859,exploratory_only
coral,1.0,core_probe_r2,-0.016365420818328858,0.029298427334101276,2,3,0,5,0.3125,0.4605263157894737,exploratory_only
coral,1.0,spurious_probe_r2,-0.010826098918914794,0.04794377169244216,2,3,0,5,0.6875,0.7871747211895911,exploratory_only
coral,1.0,domain_probe_accuracy,0.16767578125,0.1070275299094037,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
coral,1.0,latent_mean_gap,-0.3207962900400162,0.5381236843300069,2,3,0,5,0.25,0.3888888888888889,exploratory_only
coral,1.0,latent_covariance_gap,-0.28635756243020294,0.039129521992927664,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
coral,1.0,effective_rank,-0.16133456230163573,0.347201416981382,2,3,0,5,0.4375,0.5884279475982532,exploratory_only
coral,1.0,latent_variance,-4.216309726238251,0.7788015096843643,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.03,source_mse,-0.0001121520996093639,0.00024412904085497784,1,4,0,5,0.4375,0.5884279475982532,exploratory_only
grad_align,0.03,cross_domain_mse,-0.028506112098693935,0.009617659875341468,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.03,cross_task_mse,0.015517830848693858,0.0090049516587814,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.03,joint_mse,-0.06816498041152955,0.028517465434668664,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.03,core_probe_r2,-0.007261502742767356,0.009654984743986812,1,4,0,5,0.1875,0.3071808510638298,exploratory_only
grad_align,0.03,spurious_probe_r2,-0.033689796924591064,0.009924827275089693,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.03,domain_probe_accuracy,0.075390625,0.1335860222260079,4,1,0,5,0.25,0.3888888888888889,exploratory_only
grad_align,0.03,latent_mean_gap,0.1779503345489502,0.5253235024952904,3,2,0,5,0.4375,0.5884279475982532,exploratory_only
grad_align,0.03,latent_covariance_gap,-0.0978863462805748,0.03031374686328943,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.03,effective_rank,-0.07629866600036621,0.2827785453105343,2,3,0,5,0.625,0.7432432432432432,exploratory_only
grad_align,0.03,latent_variance,-1.4775523662567138,0.5897036246405978,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.1,source_mse,0.0001945793628692738,0.0007987155227637732,2,3,0,5,0.75,0.84,exploratory_only
grad_align,0.1,cross_domain_mse,-0.0545157909393311,0.018652843462154973,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.1,cross_task_mse,0.019617104530334474,0.013073721688111205,4,1,0,5,0.125,0.22647058823529412,exploratory_only
grad_align,0.1,joint_mse,-0.07828631401062011,0.030194943959740428,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.1,core_probe_r2,-0.0038114905357361064,0.012965054554463024,1,4,0,5,0.5,0.6390041493775933,exploratory_only
grad_align,0.1,spurious_probe_r2,-0.04336589574813843,0.010921749817113913,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.1,domain_probe_accuracy,0.05732421875,0.17191543103561596,3,2,0,5,0.4375,0.5884279475982532,exploratory_only
grad_align,0.1,latent_mean_gap,0.09081264138221741,0.6550746365651061,3,2,0,5,0.75,0.84,exploratory_only
grad_align,0.1,latent_covariance_gap,-0.1546788588166237,0.04128232218765059,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.1,effective_rank,-0.2383238077163697,0.49643752672592784,1,4,0,5,0.375,0.525,exploratory_only
grad_align,0.1,latent_variance,-2.200714945793152,0.7928770257874102,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.3,source_mse,0.0010058999061584363,0.001728723248601245,4,1,0,5,0.3125,0.4605263157894737,exploratory_only
grad_align,0.3,cross_domain_mse,-0.08423732519149787,0.02633309118951368,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
grad_align,0.3,cross_task_mse,0.019693678617477416,0.023003699579847946,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
grad_align,0.3,joint_mse,-0.07769657373428344,0.04568893449585176,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
