method,lambda,seed,initial_regularizer,final_regularizer,final_to_initial_ratio
coral,0.03,0,0.0024486053735017,0.0007899838965386,0.3226260568924834
coral,0.03,1,0.0113951954990625,0.0021790480241179,0.19122515487313696
coral,0.03,2,0.0054842894896864,0.0007059968775138,0.12873078250910674
coral,0.03,3,0.0243312399834394,0.0029535288922488,0.12138834248723303
coral,0.03,4,0.0228017643094062,0.0020098318345844,0.08814369832580467
coral,0.1,0,0.0024486053735017,0.0003262561222072,0.13324160999476525
coral,0.1,1,0.0113951954990625,0.0008226498030126,0.07219268884682853
coral,0.1,2,0.0054842894896864,0.0003189535927958,0.05815768722559506
coral,0.1,3,0.0243312399834394,0.0010927729308605,0.0449123403330153
coral,0.1,4,0.0228017643094062,0.0008926225127652,0.03914708092991623
coral,0.3,0,0.0024486053735017,0.0001572726469021,0.06422947878987444
coral,0.3,1,0.0113951954990625,0.0003392524668015,0.029771535453640162
coral,0.3,2,0.0054842894896864,0.0001405407092534,0.025626055939916535
coral,0.3,3,0.0243312399834394,0.0004097088240087,0.016838797541249874
coral,0.3,4,0.0228017643094062,0.0003362870193086,0.014748289419423332
coral,1.0,0,0.0024486053735017,7.454396109096706e-05,0.0304434360463578
coral,1.0,1,0.0113951954990625,0.0001487316185375,0.013052133993641126
coral,1.0,2,0.0054842894896864,5.343815064406954e-05,0.00974386030215287
coral,1.0,3,0.0243312399834394,0.0002049980394076,0.008425301774472984
coral,1.0,4,0.0228017643094062,0.0002053290954791,0.009004965260271438
grad_align,0.03,0,0.0407961159944534,0.0064466334879398,0.15802076572231233
grad_align,0.03,1,0.002755916910246,0.0043044965714216,1.5619108672755195
grad_align,0.03,2,0.059486798942089,0.0130279576405882,0.21900586133859798
grad_align,0.03,3,0.0728914514183998,0.0150427781045436,0.2063723222932887
grad_align,0.03,4,0.1067231297492981,0.0137334764003753,0.1286832238956675
grad_align,0.1,0,0.0407961159944534,0.0038135724607855,0.09347881208358141
grad_align,0.1,1,0.002755916910246,0.0016103114467114,0.5843105939531609
grad_align,0.1,2,0.059486798942089,0.0068467701785266,0.11509730394456089
grad_align,0.1,3,0.0728914514183998,0.0082864053547382,0.1136814426588093
grad_align,0.1,4,0.1067231297492981,0.0067200288176536,0.06296693915779579
grad_align,0.3,0,0.0407961159944534,0.0021360910031944,0.05236015613556989
grad_align,0.3,1,0.002755916910246,0.0005648573860526,0.2049616895025255
grad_align,0.3,2,0.059486798942089,0.0035607919562608,0.05985852356465284
grad_align,0.3,3,0.0728914514183998,0.0043415343388915,0.059561639319965276
grad_align,0.3,4,0.1067231297492981,0.003196426667273,0.02995064588886855
grad_align,1.0,0,0.0407961159944534,0.0009363693534396,0.022952414233916477
grad_align,1.0,1,0.002755916910246,0.0001976561616174,0.07172065343572231
grad_align,1.0,2,0.059486798942089,0.0015482858289033,0.026027385175164192
grad_align,1.0,3,0.0728914514183998,0.0021588571835309,0.029617426207347343
grad_align,1.0,4,0.1067231297492981,0.0015865492168813,0.014866029703291516
hess_align,0.03,0,0.0217921808362007,0.0052105635404586,0.23910243676956483
hess_align,0.03,1,0.0687786117196083,0.01181904040277,0.1718417994674422
hess_align,0.03,2,0.0227152872830629,0.0028170747682452,0.12401669118865527
hess_align,0.03,3,0.1053854376077652,0.0122239608317613,0.11599288392441606
hess_align,0.03,4,0.1064370796084404,0.0091936448588967,0.08637633513356607
hess_align,0.1,0,0.0217921808362007,0.0020642275922,0.09472331418849782
hess_align,0.1,1,0.0687786117196083,0.0045620365999639,0.06632929170716738
hess_align,0.1,2,0.0227152872830629,0.0012289974838495,0.054104421772639084
hess_align,0.1,3,0.1053854376077652,0.0045377486385405,0.04305859273868159
hess_align,0.1,4,0.1064370796084404,0.0033699513878673,0.03166144167300194
hess_align,0.3,0,0.0217921808362007,0.0008924588328227,0.0409531675388893
hess_align,0.3,1,0.0687786117196083,0.0018794869538396,0.027326619523839142
hess_align,0.3,2,0.0227152872830629,0.0005592299276031,0.024619099931880505
hess_align,0.3,3,0.1053854376077652,0.001815750147216,0.01722961149503457
hess_align,0.3,4,0.1064370796084404,0.0018079655710607,0.016986238045160806
