"citation_key","title","year","local_file","source_url","status","file_type","pages","notes"
"Arjovsky2019","Invariant Risk Minimization",2019,"Arjovsky2019.pdf","https://arxiv.org/pdf/1907.02893","downloaded_preprint","pdf",31,"arXiv version"
"Bartlett2017","Spectrally-normalized margin bounds for neural networks",2017,"Bartlett2017.pdf","https://doi.org/10.1073/pnas.1618451114","downloaded","pdf",24,"Publisher/PDF mirror"
"BenDavid2010","A theory of learning from different domains",2010,"BenDavid2010.pdf","https://doi.org/10.1007/s10994-009-5152-4","downloaded","pdf",25,"Springer article"
"Blanchard2011","Generalizing from Several Related Classification Tasks to a New Unlabeled Sample",2011,"Blanchard2011.pdf","https://papers.nips.cc/paper/4312-generalizing-from-several-related-classification-tasks-to-a-new-unlabeled-sample","downloaded","pdf",9,"NeurIPS proceedings"
"Blanchard2021","Domain Generalization by Marginal Transfer Learning",2021,"Blanchard2021.pdf","https://jmlr.org/papers/v22/20-305.html","downloaded","pdf",55,"JMLR article"
"Bousquet2002","Stability and Generalization",2002,"Bousquet2002.pdf","https://jmlr.org/papers/v2/bousquet02a.html","downloaded","pdf",28,"JMLR article"
"Cao2024Mixup","Mixup-Induced Domain Extrapolation for Domain Generalization",2024,"Cao2024Mixup.pdf","https://doi.org/10.1609/aaai.v38i10.28994","downloaded","pdf",9,"AAAI proceedings"
"Duchi2021","Learning Models with Uniform Performance via Distributionally Robust Optimization",2021,"Duchi2021.pdf","https://doi.org/10.1214/20-AOS2004","downloaded","pdf",59,"Annals of Statistics article; landing page retained separately"
"Esfahani2018","Data-Driven Distributionally Robust Optimization Using the Wasserstein Metric",2018,"Esfahani2018.pdf","https://doi.org/10.1287/opre.2017.1673","downloaded_preprint","pdf",42,"Open preprint version"
"Ganin2016","Domain-Adversarial Training of Neural Networks",2016,"Ganin2016.pdf","https://jmlr.org/papers/v17/15-239.html","downloaded","pdf",35,"JMLR article"
"Germain2020","PAC-Bayes and Domain Adaptation",2020,"Germain2020.pdf","https://doi.org/10.1016/j.neucom.2019.10.105","downloaded","pdf",45,"Neurocomputing article"
"Gretton2012","A Kernel Two-Sample Test",2012,"Gretton2012.pdf","https://jmlr.org/papers/v13/gretton12a.html","downloaded","pdf",51,"JMLR article"
"Gulrajani2021","In Search of Lost Domain Generalization",2021,"Gulrajani2021.pdf","https://arxiv.org/pdf/2007.01434","downloaded_preprint","pdf",27,"ICLR work; arXiv version"
"Kamath2021","Does Invariant Risk Minimization Capture Invariance?",2021,"Kamath2021.pdf","https://proceedings.mlr.press/v130/kamath21a/kamath21a.pdf","downloaded","pdf",10,"AISTATS/PMLR; replaces previously incorrect arXiv file"
"Krueger2021","Out-of-Distribution Generalization via Risk Extrapolation",2021,"Krueger2021.pdf","https://proceedings.mlr.press/v139/krueger21a.html","downloaded","pdf",12,"ICML/PMLR"
"Lai2024","Invariant Risk Minimization Is A Total Variation Model",2024,"Lai2024.pdf","https://proceedings.mlr.press/v235/lai24c.html","downloaded","pdf",23,"ICML/PMLR"
"Li2018","Learning to Generalize: Meta-Learning for Domain Generalization",2018,"Li2018.pdf","https://arxiv.org/pdf/1710.03463","downloaded_preprint","pdf",8,"AAAI work; arXiv version"
"Liu2024InfoOOD","An Information-Theoretic Framework for Out-of-Distribution Generalization",2024,"Liu2024InfoOOD.pdf","https://arxiv.org/pdf/2403.19895v1","downloaded_preprint","pdf",10,"ISIT-length arXiv v1; IEEE page is access-restricted"
"Liu2025InfoSGLD","An Information-Theoretic Framework for Out-of-Distribution Generalization With Applications to Stochastic Gradient Langevin Dynamics",2025,"Liu2025InfoSGLD.pdf","https://arxiv.org/pdf/2403.19895v2","downloaded_preprint","pdf",24,"IEEE TIT article preprint"
"Mansour2009","Domain Adaptation: Learning Bounds and Algorithms",2009,"Mansour2009.pdf","https://arxiv.org/pdf/0902.3430","downloaded_preprint","pdf",15,"COLT work; arXiv v3"
"Miyato2018","Spectral Normalization for Generative Adversarial Networks",2018,"Miyato2018.pdf","https://arxiv.org/pdf/1802.05957","downloaded_preprint","pdf",26,"ICLR work; arXiv version"
"Peters2016","Causal inference by using invariant prediction: identification and confidence intervals",2016,"Peters2016.pdf","https://doi.org/10.1111/rssb.12167","downloaded","pdf",51,"JRSSB article"
"Rame2022","Fishr: Invariant Gradient Variances for Out-of-Distribution Generalization",2022,"Rame2022.pdf","https://proceedings.mlr.press/v162/rame22a.html","downloaded","pdf",31,"ICML/PMLR"
