id	title	authors	year	venue_or_status	source_url	pdf_url	local_file	pages	bytes	sha256	notes
P-001	Representation Bayesian Risk Decompositions and Multi-Source Domain Adaptation	Xi Wu; Yang Guo; Jiefeng Chen; Yingyu Liang; Somesh Jha; Prasad Chalasani	2020	arXiv	https://arxiv.org/abs/2004.10390	https://arxiv.org/pdf/2004.10390	papers/pdfs/representation_bayesian_risk_decompositions_2020_wu.pdf	21	993797	d8b9a691e42fbe397ddfee0e673606d746ac02de15bed50cf05b12b13b979f30	Primary seed for exact representation-level risk decomposition.
P-002	Failure Modes of Domain Generalization Algorithms	Tigran Galstyan; Hrayr Harutyunyan; Hrant Khachatrian; Greg Ver Steeg; Aram Galstyan	2022	CVPR	https://openaccess.thecvf.com/content/CVPR2022/html/Galstyan_Failure_Modes_of_Domain_Generalization_Algorithms_CVPR_2022_paper.html	https://openaccess.thecvf.com/content/CVPR2022/papers/Galstyan_Failure_Modes_of_Domain_Generalization_Algorithms_CVPR_2022_paper.pdf	papers/pdfs/failure_modes_domain_generalization_algorithms_2022_galstyan.pdf	10	1521227	e0099a5a689a51ea6a521690b4c38f277cf55c55c7c943a51045b7a2d876bf07	ArXiv mirror: https://arxiv.org/abs/2111.13733.
P-003	On the benefits of representation regularization in invariance based domain generalization	Changjian Shui; Boyu Wang; Christian Gagne	2022	Machine Learning	https://link.springer.com/article/10.1007/s10994-021-06080-w	https://link.springer.com/content/pdf/10.1007/s10994-021-06080-w.pdf	papers/pdfs/representation_regularization_invariance_dg_2022_shui.pdf	21	1693672	c91bc18742b3dad7bf4797a8859a2c570da63a0578d7ff9810f0ea53151f72ef	Open-access version of record; arXiv mirror: https://arxiv.org/abs/2105.14529.
P-004	Domain Generalization without Excess Empirical Risk	Ozan Sener; Vladlen Koltun	2022	NeurIPS	https://proceedings.neurips.cc/paper_files/paper/2022/hash/57568e093cbe0a222de0334b36e83cf5-Abstract-Conference.html	https://proceedings.neurips.cc/paper_files/paper/2022/file/57568e093cbe0a222de0334b36e83cf5-Paper-Conference.pdf	papers/pdfs/domain_generalization_without_excess_empirical_risk_2022_sener.pdf	12	432761	49b29ddee5b6c46488d90ab87350a910180371563f41ba1804916fa46fff59d6	Penalty-induced excess empirical risk reference.
P-005	Understanding Hessian Alignment for Domain Generalization	Sobhan Hemati; Guojun Zhang; Amir Estiri; Xi Chen	2023	ICCV	https://openaccess.thecvf.com/content/ICCV2023/html/Hemati_Understanding_Hessian_Alignment_for_Domain_Generalization_ICCV_2023_paper.html	https://openaccess.thecvf.com/content/ICCV2023/papers/Hemati_Understanding_Hessian_Alignment_for_Domain_Generalization_ICCV_2023_paper.pdf	papers/pdfs/understanding_hessian_alignment_dg_2023_hemati.pdf	11	8116712	cad74d6945c464afce1f9a01559c0b1f0f394c98f96f62d72fe50e7944763807	Conference PDF from CVF OpenAccess.
P-006	Invariant Risk Minimization Is A Total Variation Model	Zhao-Rong Lai; Weiwen Wang	2024	ICML / PMLR	https://proceedings.mlr.press/v235/lai24c.html	https://raw.githubusercontent.com/mlresearch/v235/main/assets/lai24c/lai24c.pdf	papers/pdfs/invariant_risk_minimization_total_variation_model_2024_lai.pdf	23	687834	31b977245d8b3b8522111e6c8eab38d7c21e05eb9f9a3715f834e868c6b54bb4	IRM-as-TV model reference.
P-007	Moment Alignment: Unifying Gradient and Hessian Matching for Domain Generalization	Yuen Chen; Haozhe Si; Guojun Zhang; Han Zhao	2025	UAI / PMLR	https://proceedings.mlr.press/v286/chen25f.html	https://raw.githubusercontent.com/mlresearch/v286/main/assets/chen25f/chen25f.pdf	papers/pdfs/moment_alignment_gradient_hessian_matching_dg_2025_chen.pdf	32	1281514	4d1053353eb674953babcec221a247b6f07bec79027eda9de2886756a35f0cc8	Feature moments and classifier derivative alignment reference.
P-008	Bridging Domain Invariance and Diversity: A Fine-Grained Risk Bound for Domain Generalization	Xi Wang; Liang Bai; Xian Yang; Richard Yi Da Xu; Jiye Liang	2026	JMLR	https://www.jmlr.org/beta/papers/v27/25-0399.html	https://www.jmlr.org/papers/volume27/25-0399/25-0399.pdf	papers/pdfs/bridging_domain_invariance_diversity_2026_wang.pdf	54	1833957	38998b69a277ce12d17836d49400af0af56c18c9570f17ecfda0690b136ab830	Tri-space latent representation and fine-grained risk-bound reference.
P-009	From Objectives to What Models Learn: A Landau Theory of Invariant Learning	Pinli Wang; Yue He; Peng Cui	2026	arXiv	https://arxiv.org/abs/2608.09396	https://arxiv.org/pdf/2608.09396	papers/pdfs/landau_theory_invariant_learning_2026_wang.pdf	33	826489	f03116d588c017a4337668454f9cc717c0c9e959a973d95778165c3b3aa1e64e	Recent preprint; use as exploratory evidence until vetted.
P-010	Implicit differentiation of Lasso-type models for hyperparameter optimization	Quentin Bertrand; Quentin Klopfenstein; Mathieu Blondel; Samuel Vaiter; Alexandre Gramfort; Joseph Salmon	2020	ICML / PMLR	https://proceedings.mlr.press/v119/bertrand20a.html	https://proceedings.mlr.press/v119/bertrand20a/bertrand20a.pdf	papers/pdfs/implicit_differentiation_lasso_hyperparameter_2020_bertrand.pdf	12	681630	456429efbb4216d39cec811f455b5c2a2ba4cbf7c54524d5aa55a979905158f0	Background for local regularization-path sensitivity methods.
