axis,pair,angles,intersection_dimension,first_in_second_residual,second_in_first_residual
shift,core_mean__core_covariance,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.1073424255447017e-08, 2.580956827951785e-08, 3.332000937312528e-08, 3.332000937312528e-08, 5.372690074837192e-08, 5.575503985246929e-08, 6.143906154658886e-08]",12,0.37796447300922725,1.7884887137196827e-11
shift,core_mean__nuisance_mean,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.4703483581542975e-08]",9,0.5976143046671968,1.6196534754329862e-11
shift,core_mean__nuisance_covariance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.575503985246929e-08]",9,0.5976143046671968,1.592446866464009e-11
shift,core_mean__relation,"[0.0, 1.4901161193847656e-08, 1.4901161193847656e-08, 3.332000937312528e-08, 3.6500241499888574e-08, 3.942476676500724e-08, 4.712160915387242e-08, 4.712160915387242e-08, 5.372690074837192e-08]",9,0.5976143046671968,1.5712284246218723e-11
shift,core_mean__task,"[0.02092035763463798, 0.0816150160572356, 1.3333204853271818]",0,0.923956602286479,0.5632469087717653
shift,core_mean__observation,"[0.0, 3.332000937312528e-08, 3.6500241499888574e-08, 3.942476676500724e-08, 4.2146848510894035e-08]",5,0.8017837257372731,1.1452292114338476e-11
shift,core_mean__compound,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4901161193847656e-08, 2.580956827951785e-08, 2.9802322387695312e-08, 2.9802322387695312e-08, 2.9802322387695312e-08, 3.332000937312528e-08, 3.6500241499888574e-08, 4.4703483581542975e-08]",14,5.606990892706422e-11,5.606990893869551e-11
shift,core_covariance__nuisance_mean,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.4703483581542975e-08]",9,0.5,8.436045919434029e-12
shift,core_covariance__nuisance_covariance,"[0.0, 0.0, 0.0, 0.0, 1.4901161193847656e-08, 2.1073424255447017e-08, 2.580956827951785e-08, 2.9802322387695312e-08, 4.2146848510894035e-08]",9,0.5,8.124543958413619e-12
shift,core_covariance__relation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4901161193847656e-08, 2.580956827951785e-08, 5.16191365590357e-08]",9,0.5,7.771840952330832e-12
shift,core_covariance__task,"[0.03472143197994888, 0.27799069306597046, 1.35176742872641]",0,0.9142074096405961,0.5857480271986191
shift,core_covariance__observation,"[0.0, 3.6500241499888574e-08, 3.942476676500724e-08, 3.942476676500724e-08, 5.16191365590357e-08]",5,0.7637626158259734,3.901055999305597e-12
shift,core_covariance__compound,"[0.0, 0.0, 0.0, 0.0, 2.9802322387695312e-08, 2.9802322387695312e-08, 3.332000937312528e-08, 3.6500241499888574e-08, 3.6500241499888574e-08, 3.942476676500724e-08, 4.712160915387242e-08, 5.575503985246929e-08]",12,1.1868125117444254e-11,0.37796447300922736
shift,nuisance_mean__nuisance_covariance,"[0.0, 0.0, 0.0, 0.0, 2.1073424255447017e-08, 3.332000937312528e-08, 3.6500241499888574e-08, 4.4703483581542975e-08, 6.989264130329237e-08]",9,1.7436434232014543e-12,1.7436434900085123e-12
shift,nuisance_mean__relation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4901161193847656e-08, 2.1073424255447017e-08, 3.332000937312528e-08]",9,1.6670118680762174e-12,1.6670125703808185e-12
shift,nuisance_mean__task,"[0.1309633177813515, 0.5895632009483665, 1.3787586821454296]",0,0.899985185761936,0.6556828530416509
shift,nuisance_mean__observation,"[0.0, 0.0, 3.332000937312528e-08, 5.372690074837192e-08, 6.143906154658886e-08]",5,0.6666666666666665,1.8362759590595084e-13
shift,nuisance_mean__compound,"[0.0, 0.0, 2.1073424255447017e-08, 2.1073424255447017e-08, 3.332000937312528e-08, 4.4703483581542975e-08, 5.372690074837192e-08, 5.575503985246929e-08, 6.495265578539184e-08]",9,1.51934129051417e-12,0.5976143046671971
shift,nuisance_covariance__relation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.580956827951785e-08, 3.6500241499888574e-08, 5.372690074837192e-08]",9,1.5764055021157868e-12,1.5764054857708136e-12
shift,nuisance_covariance__task,"[0.13096331778143738, 0.5895632009482887, 1.378758682145621]",0,0.8999851857619374,0.6556828530416566
shift,nuisance_covariance__observation,"[0.0, 3.332000937312528e-08, 4.712160915387242e-08, 5.372690074837192e-08, 5.372690074837192e-08]",5,0.6666666666666667,5.466494616731227e-13
shift,nuisance_covariance__compound,"[0.0, 0.0, 0.0, 2.9802322387695312e-08, 3.332000937312528e-08, 3.6500241499888574e-08, 3.942476676500724e-08, 3.942476676500724e-08, 6.322027276634106e-08]",9,1.4638441077769329e-12,0.5976143046671971
shift,relation__task,"[0.13096331778135917, 0.5895632009483482, 1.378758682146141]",0,0.8999851857619515,0.6556828530417147
shift,relation__observation,"[0.0, 0.0, 0.0, 2.1073424255447017e-08, 4.2146848510894035e-08]",5,0.6666666666666665,7.034311361133834e-13
shift,relation__compound,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4901161193847656e-08, 2.1073424255447017e-08, 2.9802322387695312e-08]",9,1.2444257735799094e-12,0.5976143046671971
shift,task__observation,"[0.5342985229135981, 1.1056914467525476, 1.4973372655740815]",0,0.827197913100344,0.900307632125008
shift,task__compound,"[0.02092035763446284, 0.08161501605750661, 1.3333204853092095]",0,0.5632469087693435,0.9239566022861627
shift,observation__compound,"[0.0, 3.942476676500724e-08, 4.2146848510894035e-08, 4.942156062059701e-08, 5.771194914292421e-08]",5,5.239088882912863e-13,0.8017837257372733
model,ERM__L2,[0.0],1,7.112496359244984e-10,0.9354143466934853
model,ERM__IRMv1,[0.0],1,3.0950893164850226e-11,0.816496580927726
model,ERM__V-REx,[0.0],1,5.7960139719100356e-11,0.816496580927726
model,ERM__CORAL,[0.0],1,1.9161161404800878e-14,0.9701425001453319
model,L2__IRMv1,"[3.942476676500724e-08, 2.9823548983125015e-06, 1.1920111511038254]",1,0.856099720634468,0.5364245375208313
model,L2__V-REx,"[0.0, 2.1974539866187413e-06, 1.192010152427922]",1,0.8560996705341958,0.5364243243024652
model,L2__CORAL,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.4901161193847656e-08, 2.1073424255447017e-08, 3.6500241499888574e-08]",7,2.0837251431043967e-08,0.7276068751089991
model,IRMv1__V-REx,"[0.0, 5.4978015465725955e-06, 7.318715597814924e-06]",1,5.284967433450895e-06,5.2849674334508936e-06
model,IRMv1__CORAL,"[0.0, 0.0, 1.4901161193847656e-08]",3,1.5068395003449908e-10,0.9074852129730302
model,V-REx__CORAL,"[0.0, 0.0, 0.0]",3,2.2099469670747512e-10,0.9074852129730301
