pair,intersection_dimension,relation,first_in_second_residual,second_in_first_residual,principal_angles
core_mean__core_covariance,2,partial-overlap,0.6396043776508723,0.4605703129963393,"[0.0, 0.0, 0.92352333141142]"
core_mean__relation,0,zero-intersection,0.8319914562195488,0.8915192214126496,"[0.770309947164106, 0.862899970013558, 1.0129356718467106, 1.4563907829048004]"
core_mean__b,0,zero-intersection,0.9004174258421707,0.9004174258421704,"[0.8709500814139224, 1.0041094221528657, 1.3438001951940375, 1.51346156330242]"
core_mean__mu_xi,0,zero-intersection,0.9004174258421712,0.9004174258421712,"[0.8709500814139218, 1.0041094221528661, 1.3438001951940457, 1.5134615633024244]"
core_mean__sigma_xi,0,zero-intersection,0.9689983794771152,0.9584416931869323,"[1.2180816896752589, 1.2913876708401115, 1.3481061015420068]"
core_mean__task,0,zero-intersection,0.8793863173429083,0.8353205333921601,"[0.7376277689178374, 0.9592598271353755, 1.398479948527817]"
core_covariance__relation,0,zero-intersection,0.7709679749345518,0.8928582245728276,"[0.7268447100911343, 0.886816940854542, 1.0367175524815724]"
core_covariance__b,0,zero-intersection,0.9334689186545512,0.9505383561806292,"[1.153474492217642, 1.1996007175220713, 1.2660071272662257]"
core_covariance__mu_xi,0,zero-intersection,0.9334689186545522,0.9505383561806301,"[1.1534744922176434, 1.1996007175220722, 1.2660071272662332]"
core_covariance__sigma_xi,0,zero-intersection,0.9620878378474554,0.9620878378474556,"[1.2261610614093463, 1.3025419332905979, 1.3726125990747124]"
core_covariance__task,0,zero-intersection,0.8304069150753117,0.8304069150753116,"[0.672248199322893, 0.9705117396895229, 1.570796326794849]"
relation__b,2,partial-overlap,0.6411360374712642,0.3414427152781731,"[0.0, 0.0, 0.45501593044527805, 0.5499897547679968]"
relation__mu_xi,2,partial-overlap,0.6411360374712634,0.34144271527817033,"[2.1073424255447017e-08, 2.580956827951785e-08, 0.4550159304452735, 0.5499897547679916]"
relation__sigma_xi,2,partial-overlap,0.7669156005788657,0.4199036518327557,"[0.0, 0.0, 0.8143716058472265]"
relation__task,0,zero-intersection,0.9805888254979271,0.9607855584795224,"[1.2007528658502582, 1.2492486528978997, 1.5707963267947938]"
b__mu_xi,4,identical,1.290676910707674e-14,1.2907714162434335e-14,"[0.0, 1.4901161193847656e-08, 2.1073424255447017e-08, 2.9802322387695312e-08]"
b__sigma_xi,2,partial-overlap,0.6532928315015107,0.4855121333070354,"[0.0, 2.580956827951785e-08, 0.9990026254130343]"
b__task,0,zero-intersection,0.9891951477451452,0.985567207464845,"[1.3529248246287768, 1.3713602862404701, 1.5707963267948155]"
mu_xi__sigma_xi,2,partial-overlap,0.653292831501511,0.4855121333070358,"[1.4901161193847656e-08, 2.1073424255447017e-08, 0.9990026254130354]"
mu_xi__task,0,zero-intersection,0.9891951477451448,0.9855672074648446,"[1.3529248246287733, 1.3713602862404684, 1.5707963267948155]"
sigma_xi__task,0,zero-intersection,1.0,1.0,"[1.5707963267948306, 1.5707963267948966, 1.5707963267948966]"
