seed,shortcut_relevance,noise_relevance,noise_weights_norm
0,2.108582994564287,0.0,0.0
1,2.108582994564287,0.0,0.0
2,2.108582994564287,0.0,0.0
3,2.108582994564287,0.0,0.0
4,2.108582994564287,0.0,0.0
5,2.108582994564287,0.0,0.0
6,2.108582994564287,0.0,0.0
7,2.108582994564287,0.0,0.0
8,2.108582994564287,0.0,0.0
9,2.108582994564287,0.0,0.0
10,2.108582994564287,0.0,0.0
11,2.108582994564287,0.0,0.0
12,2.108582994564287,0.0,0.0
13,2.108582994564287,0.0,0.0
14,2.108582994564287,0.0,0.0
15,2.108582994564287,0.0,0.0
16,2.108582994564287,0.0,0.0
17,2.108582994564287,0.0,0.0
18,2.108582994564287,0.0,0.0
19,2.108582994564287,0.0,0.0
