shift_id,magnitude,pure_or_mixed,relevance_norm,filtered_first_order_null,blind_assignment,module_internal_rank,exposure_metadata,oracle_mechanism,intervention_family
S1-relation--1-0.25,0.25,pure,0.026300643795428468,False,3,,{'source_exposure': 'not_used_in_discovery'},S1,relation
S1-mean--1-0.25,0.25,pure,0.04849110896327585,False,0,,{'source_exposure': 'not_used_in_discovery'},S1,mean
S1-relation-+1-0.25,0.25,pure,0.024649470279418797,False,3,,{'source_exposure': 'not_used_in_discovery'},S1,relation
S1-mean-+1-0.25,0.25,pure,0.048491108963275846,False,0,,{'source_exposure': 'not_used_in_discovery'},S1,mean
S1-variance-0.25,0.25,pure,0.04954907486447124,False,4,,{'source_exposure': 'not_used_in_discovery'},S1,variance
S1-relation--1-0.5,0.5,pure,0.05447830049794578,False,3,,{'source_exposure': 'not_used_in_discovery'},S1,relation
S1-mean--1-0.5,0.5,pure,0.09855235825082517,False,0,,{'source_exposure': 'not_used_in_discovery'},S1,mean
S1-relation-+1-0.5,0.5,pure,0.047904753346197496,False,3,,{'source_exposure': 'not_used_in_discovery'},S1,relation
S1-mean-+1-0.5,0.5,pure,0.0985523582508252,False,0,,{'source_exposure': 'not_used_in_discovery'},S1,mean
S1-variance-0.5,0.5,pure,0.09909814972894264,False,4,,{'source_exposure': 'not_used_in_discovery'},S1,variance
S1-relation--1-1.0,1.0,pure,0.11722345132039128,False,3,,{'source_exposure': 'not_used_in_discovery'},S1,relation
S1-mean--1-1.0,1.0,pure,0.20919497324918968,False,0,,{'source_exposure': 'not_used_in_discovery'},S1,mean
S1-relation-+1-1.0,1.0,pure,0.09141760707647342,False,3,,{'source_exposure': 'not_used_in_discovery'},S1,relation
S1-mean-+1-1.0,1.0,pure,0.2091949732491898,False,0,,{'source_exposure': 'not_used_in_discovery'},S1,mean
S1-variance-1.0,1.0,pure,0.1981962994578851,False,4,,{'source_exposure': 'not_used_in_discovery'},S1,variance
S2-relation--1-0.25,0.25,pure,0.02377469589199943,False,5,,{'source_exposure': 'not_used_in_discovery'},S2,relation
S2-mean--1-0.25,0.25,pure,0.029630814958871612,False,0,,{'source_exposure': 'not_used_in_discovery'},S2,mean
S2-relation-+1-0.25,0.25,pure,0.02219772401050711,False,5,,{'source_exposure': 'not_used_in_discovery'},S2,relation
S2-mean-+1-0.25,0.25,pure,0.029630814958871616,False,0,,{'source_exposure': 'not_used_in_discovery'},S2,mean
S2-variance-0.25,0.25,pure,0.030005949450009898,False,1,,{'source_exposure': 'not_used_in_discovery'},S2,variance
S2-relation--1-0.5,0.5,pure,0.04917259242790622,False,5,,{'source_exposure': 'not_used_in_discovery'},S2,relation
S2-mean--1-0.5,0.5,pure,0.060204088726605626,False,0,,{'source_exposure': 'not_used_in_discovery'},S2,mean
S2-relation-+1-0.5,0.5,pure,0.04287150729794455,False,5,,{'source_exposure': 'not_used_in_discovery'},S2,relation
S2-mean-+1-0.5,0.5,pure,0.060204088726605626,False,0,,{'source_exposure': 'not_used_in_discovery'},S2,mean
S2-variance-0.5,0.5,pure,0.060011898900019886,False,1,,{'source_exposure': 'not_used_in_discovery'},S2,variance
S2-relation--1-1.0,1.0,pure,0.10499431870821263,False,5,,{'source_exposure': 'not_used_in_discovery'},S2,relation
S2-mean--1-1.0,1.0,pure,0.12766986136085176,False,0,,{'source_exposure': 'not_used_in_discovery'},S2,mean
S2-relation-+1-1.0,1.0,pure,0.07989984540870881,False,5,,{'source_exposure': 'not_used_in_discovery'},S2,relation
S2-mean-+1-1.0,1.0,pure,0.12766986136085176,False,0,,{'source_exposure': 'not_used_in_discovery'},S2,mean
S2-variance-1.0,1.0,pure,0.12002379780003969,False,1,,{'source_exposure': 'not_used_in_discovery'},S2,variance
U-emergent-0.25,0.25,pure,0.07998550734827599,False,2,,{'source_exposure': 'not_used_in_discovery'},U,emergent
U-emergent-0.5,0.5,pure,0.15997101469655198,False,2,,{'source_exposure': 'not_used_in_discovery'},U,emergent
U-emergent-1.0,1.0,pure,0.31994202939310395,False,2,,{'source_exposure': 'not_used_in_discovery'},U,emergent
N1-variance,1.0,pure,0.0,True,,,{'source_exposure': 'not_used_in_discovery'},noise,variance
N2-variance,1.0,pure,0.0,True,,,{'source_exposure': 'not_used_in_discovery'},noise,variance
