method,lambda,norm_z0,rank_K,kernel_dimension,min_local_metric_eigenvalue,pi_operator_norm,fd_error,status
L2,0.0,1.1447107384917088e-16,9,0,0.9999999999999986,0.9345814757997493,3.682473175010187e-10,PASS
L2,0.0001,2.937454854767399e-05,9,0,1.000019206895289,0.9344899744696573,3.679788124264303e-10,PASS
L2,0.001,0.0002936279532324288,9,0,1.0001920689528794,0.9336672606001966,3.669811479548053e-10,PASS
L2,0.01,0.0029246193951398894,9,0,1.0019206895287789,0.9255183738141346,3.571325139020155e-10,PASS
L2,0.1,0.028165111383536928,9,0,1.0192068952877706,0.8511627910806573,2.7579677249063814e-10,PASS
IRMV1,0.0,1.1447107384917088e-16,3,6,0.9999999999999986,0.9345814757997493,3.682473175010187e-10,PASS
IRMV1,0.0001,3.671849054164343e-07,3,6,0.9999999998351157,0.9345809004943383,3.68320818275945e-10,PASS
IRMV1,0.001,3.663482231721637e-06,3,6,0.9999999835559427,0.9345757364573962,3.6821690959536566e-10,PASS
IRMV1,0.01,3.582408275969782e-05,3,6,0.9999983986757744,0.9345254199842713,3.6766643860171957e-10,PASS
IRMV1,0.1,0.000297054503863219,3,6,0.9998731053613791,0.9341291392271694,3.66308203053062e-10,PASS
VREX,0.0,1.1447107384917088e-16,3,6,0.9999999999999986,0.9345814757997493,3.682473175010187e-10,PASS
VREX,0.0001,5.8909164106171134e-08,3,6,0.9999998454328719,0.9345814114978905,3.685541572821573e-10,PASS
VREX,0.001,5.890908017886471e-07,3,6,0.999998454330782,0.9345808334882529,3.676726281607103e-10,PASS
VREX,0.01,5.8908240922558295e-06,3,6,0.9999845435136608,0.9345751233885181,3.681890422355275e-10,PASS
VREX,0.1,5.8899850233160535e-05,3,6,0.9998454557169264,0.9345250169648858,3.684485304248966e-10,PASS
