method,shift_id,lambda,relevance_squared,control_score_c,curvature_ratio,blind_fraction,steering,steering_class,local_vulnerability,actual_target_risk_change,exposure_posthoc,intervention_family_posthoc
L2,S1-relation--1-0.25,0.0,0.0006917238640540102,0.5883393018106385,1.0,0.0,0.0,neutral,0.00037194727154638734,0.0,S1,relation
L2,S1-mean--1-0.25,0.0,0.0023513876484882934,0.5238226477125492,1.0,0.0,0.0,neutral,0.0006857678395037626,0.0,S1,mean
L2,S1-relation-+1-0.25,0.0,0.000607596385055951,0.5089655861320902,1.0,0.0,0.0,neutral,0.0003485961517446659,0.0,S1,relation
L2,S1-mean-+1-0.25,0.0,0.002351387648488293,0.4840782484542645,1.0,0.0,0.0,neutral,0.0006857678395037625,0.0,S1,mean
L2,S1-variance-0.25,0.0,0.002455110819924973,0.8630695322344472,1.0,0.0,0.0,neutral,0.0007007297367637506,0.0,S1,variance
L2,S1-relation--1-0.5,0.0,0.0029678852251444803,0.6238688454353158,1.0,0.0,0.0,neutral,0.0007704395141923185,0.0,S1,relation
L2,S1-mean--1-0.5,0.0,0.009712567316798997,0.553790362349973,1.0,0.0,0.0,neutral,0.0013937408164216897,0.0,S1,mean
L2,S1-relation-+1-0.5,0.0,0.002294865393160023,0.4661666223263419,1.0,0.0,0.0,neutral,0.0006774755188433041,0.0,S1,relation
L2,S1-mean-+1-0.5,0.0,0.009712567316799004,0.47681422496897224,1.0,0.0,0.0,neutral,0.0013937408164216899,0.0,S1,mean
L2,S1-variance-0.5,0.0,0.009820443279699921,0.8630695322344473,1.0,0.0,0.0,neutral,0.0014014594735275035,0.0,S1,variance
L2,S1-relation--1-1.0,0.0,0.013741337539464145,0.6856600483769424,1.0,0.0,0.0,neutral,0.0016577899468547964,0.0,S1,relation
L2,S1-mean--1-1.0,0.0,0.04376253683272921,0.6226742544936366,1.0,0.0,0.0,neutral,0.0029584636834928085,0.0,S1,mean
L2,S1-relation-+1-1.0,0.0,0.008357178883588494,0.37903153301099995,1.0,0.0,0.0,neutral,0.0012928401976724335,0.0,S1,relation
L2,S1-mean-+1-1.0,0.0,0.043762536832729265,0.4860028510130237,1.0,0.0,0.0,neutral,0.0029584636834928102,0.0,S1,mean
