setting,method,lambda,information_floor,affine_total_regret,total_excess,static_only_regret,adaptive_only_regret,interaction,recoverable_residual_operator_norm,independent_solver_value,independent_solver_error
coupled_3a_3d_primary,L2,0.0,0.05118145108608892,0.05118145108608892,0.0,0.05118145108608892,0.05118145108608892,0.0,1.397329771920655e-12,0.0511814510860954,6.480926906249351e-15
coupled_3a_3d_primary,L2,0.0001,0.05118145108608892,0.051181451517520966,4.314320498077784e-10,0.05118145167676565,0.05118145108608892,-1.5924468688144344e-10,2.7854202243997003e-05,0.051181451517563786,4.2819914281011506e-14
coupled_3a_3d_primary,L2,0.001,0.05118145108608892,0.05118149419479123,4.3108702316163594e-08,0.05118151009881448,0.05118145108608892,-1.5904023244195375e-08,0.0002782531366445965,0.0511814941947948,3.566591466608315e-15
coupled_3a_3d_primary,L2,0.01,0.05118145108608892,0.05118572792935734,4.2768432684248125e-06,0.051187298007226184,0.05118145108608892,-1.5700778688426675e-06,0.002753955393423586,0.05118572792939139,3.404915238647277e-14
coupled_3a_3d_primary,L2,0.1,0.05118145108608892,0.05157915626579195,0.00039770517970303537,0.051717161557846274,0.05118145108608892,-0.00013800529205432177,0.024964178251738824,0.051579156265818306,2.6353919047039653e-14
coupled_3a_3d_primary,IRMV1,0.0,0.05118145108608892,0.05118145108608892,0.0,0.05118145108608892,0.05118145108608892,0.0,1.397329771920655e-12,0.0511814510860954,6.480926906249351e-15
coupled_3a_3d_primary,IRMV1,0.0001,0.05118145108608892,0.051181451086156335,6.741829317036263e-14,0.05118145108617507,0.05118145108608892,-1.8735013540549517e-14,3.558544769797195e-07,0.05118145108616436,8.028300246820663e-15
coupled_3a_3d_primary,IRMV1,0.001,0.05118145108608892,0.051181451092799465,6.710548783317449e-12,0.0511814510946677,0.05118145108608892,-1.868234733581886e-12,3.550765662653512e-06,0.05118145109283389,3.442385265728376e-14
coupled_3a_3d_primary,IRMV1,0.01,0.05118145108608892,0.05118145172777135,6.416824363530971e-10,0.051181451908710554,0.05118145108608892,-1.8093920112205453e-10,3.4756256201393485e-05,0.05118145172777675,5.398459457239824e-15
coupled_3a_3d_primary,IRMV1,0.1,0.05118145108608892,0.05118149520681047,4.412072155540736e-08,0.05118150914233256,0.05118145108608892,-1.3935522090446906e-08,0.00029243277737064417,0.05118149520685639,4.591466096215413e-14
coupled_3a_3d_primary,VREX,0.0,0.05118145108608892,0.05118145108608892,0.0,0.05118145108608892,0.05118145108608892,0.0,1.397329771920655e-12,0.0511814510860954,6.480926906249351e-15
coupled_3a_3d_primary,VREX,0.0001,0.05118145108608892,0.05118145108609066,1.7416623698807143e-15,0.05118145108609089,0.05118145108608892,-2.2898349882893854e-16,3.081205138660829e-08,0.05118145108609853,7.868705687030797e-15
coupled_3a_3d_primary,VREX,0.001,0.05118145108608892,0.05118145108626243,1.7351398096110415e-13,0.051181451086287355,0.05118145108608892,-2.4924506902834764e-14,3.0811932340569926e-07,0.051181451086270695,8.264222639553509e-15
coupled_3a_3d_primary,VREX,0.01,0.05118145108608892,0.05118145110343982,1.7350905434643238e-11,0.05118145110593126,0.05118145108608892,-2.491437611773506e-12,3.081136761269194e-06,0.051181451103448274,8.451572774959004e-15
coupled_3a_3d_primary,VREX,0.1,0.05118145108608892,0.05118145282068509,1.734596175029246e-09,0.051181453069728204,0.05118145108608892,-2.490431125212744e-10,3.0805787197682155e-05,0.05118145282068967,4.579669976578771e-15
