method,lambda,valid,frozen_z_over_lambda_plus_b_norm,exact_z_norm,pi_zero_reference_norm,pi_increment_scaled_norm,total_excess,static_tax_lower_bound
L2,1e-05,True,0.16239892145291351,2.937572481012518e-06,,,5.907253852743821e-12,0.05118145109040358
L2,3e-05,True,0.16239623356694655,8.812639021077955e-06,2.173875900253627,1.031360222716053,5.3162946267448774e-11,0.05118145112492022
L2,0.0001,True,0.16238682672800694,2.937454854758395e-05,2.173846684218951,1.0828517746435768,5.906093877849905e-10,0.051181451517520966
L2,0.0003,True,0.16235995657793584,8.811580573116302e-05,2.173744435057816,1.0310690041035755,5.3131743379952745e-09,0.05118145496828653
L2,0.001,True,0.16226598722152472,0.00029362795323237576,2.1734523542421478,1.0818586902666563,5.894569105047154e-08,0.05118149419477638
L2,0.003,True,0.16199815451223504,0.0008801021414782506,2.1724307666813214,1.0281648608835507,5.28227813184623e-07,0.05118183837597863
L2,0.01,True,0.16106827045572622,0.0029246193951398196,2.1695178904025667,1.0720174508428304,5.782912112721472e-06,0.051185727785392134
IRMV1,1e-05,True,0.010123660753108839,3.6726884045789123e-08,,,8.534839501805891e-16,0.05118145108608959
IRMV1,3e-05,True,0.010123055089347103,1.1017505521518551e-07,2.173890451246588,0.11758720213749521,7.757683384568281e-15,0.05118145108609499
IRMV1,0.0001,True,0.010120935836754375,3.671849053403108e-07,2.1738903365541895,0.12345245571261389,8.615330671091215e-14,0.05118145108615633
IRMV1,0.0003,True,0.010114885715770426,1.1009956690613413e-06,2.1738899353332695,0.11753351078261214,7.746511765382991e-13,0.051181451086695015
IRMV1,0.001,True,0.01009376713577242,3.663482231671869e-06,2.173888790721756,0.12326984205427319,8.578693311278585e-12,0.051181451092799465
IRMV1,0.003,True,0.010033911375857052,1.0935185188159003e-05,2.173884804751693,0.11700358220910892,7.647908695229688e-11,0.051181451145878055
IRMV1,0.01,True,0.00982989290115563,3.582408275963566e-05,2.1738735876455446,0.12151979929022007,8.225087139157594e-10,0.05118145172777137
VREX,1e-05,True,1.0106474152520722e-06,5.8909171733032e-09,,,0.0,0.05118145108608894
VREX,3e-05,True,1.0106473847854423e-06,1.7672751166686703e-08,2.1738905047284,0.04568470312672682,1.734723475976807e-16,0.051181451086089076
VREX,0.0001,True,1.010647272330166e-06,5.890916411968564e-08,2.1738904969809867,0.04796893054676599,1.970645868709653e-15,0.05118145108609065
VREX,0.0003,True,1.0106469427850616e-06,1.767274365267542e-07,2.1738904698718597,0.04568467365092908,1.784683512084939e-14,0.051181451086104536
VREX,0.001,True,1.0106457912584432e-06,5.890908020261254e-07,2.173890392475678,0.04796882995660028,1.9843848786393892e-13,0.05118145108626243
VREX,0.003,True,1.010642501384872e-06,1.7672668104959171e-06,2.1738901222711418,0.045684378883395806,1.7858561851546995e-12,0.051181451087650535
VREX,0.01,True,1.0106309867372734e-06,5.890824092330206e-06,2.1738893561047123,0.04796782408775811,1.9842322229735032e-11,0.05118145110343982
