C_norm,K_norm,Pi_norm,g_norm,l2_C_is_zero,l2_K_equals_identity,l2_g_equals_weights,lambda,method,seed,setting
0.0,3.0000000000006395,1.727887554391856,0.5625146966797461,True,True,True,0.0,L2,,hidden_u_hurts
0.0,3.0000000000006395,1.7153485615603796,0.5609886957128281,True,True,True,0.01,L2,,hidden_u_hurts
3.1853933945342674,15.165640147442637,1.7278404152623543,0.007218959560722514,,,,0.01,IRMV1,,hidden_u_hurts
0.09331022327247739,0.006063146613218431,1.7278831524071536,0.0011728820062953174,,,,0.01,VREX,,hidden_u_hurts
0.0,3.0000000000006395,1.727887554391856,0.5625146966797461,True,True,True,0.0,L2,,u_exposed_complete_information
0.0,3.0000000000006395,1.7153485615603796,0.5609886957128281,True,True,True,0.01,L2,,u_exposed_complete_information
3.1853933945342674,15.165640147442637,1.7278404152623543,0.007218959560722514,,,,0.01,IRMV1,,u_exposed_complete_information
0.09331022327247739,0.006063146613218431,1.7278831524071536,0.0011728820062953174,,,,0.01,VREX,,u_exposed_complete_information
5.3533015581491444e-11,4.5825756949563345,17074.469051778626,17.28486111614413,True,True,True,0.0,L2,0,mechanism_defined_hidden
2.982917421429736e-11,4.58257569496171,1896.2476602659187,7.6953339133886915,True,True,True,0.01,L2,0,mechanism_defined_hidden
17984.913291626435,901.0925602174065,17089.44243029193,0.5377556530547735,,,,0.01,IRMV1,0,mechanism_defined_hidden
88.46360632791738,0.10160153157225381,17074.3259077857,0.027693395677165392,,,,0.01,VREX,0,mechanism_defined_hidden
5.3533015581491444e-11,4.5825756949563345,17074.469051778626,17.28486111614413,True,True,True,0.0,L2,0,mechanism_defined_exposed
2.982917421429736e-11,4.58257569496171,1896.2476602659187,7.6953339133886915,True,True,True,0.01,L2,0,mechanism_defined_exposed
17984.913291626435,901.0925602174065,17089.44243029193,0.5377556530547735,,,,0.01,IRMV1,0,mechanism_defined_exposed
88.46360632791738,0.10160153157225381,17074.3259077857,0.027693395677165392,,,,0.01,VREX,0,mechanism_defined_exposed
4.6194484285259174e-11,5.196152422727052,16682.18702944106,15.966132070668117,True,True,True,0.0,L2,1,mechanism_defined_hidden
3.3450938666784576e-11,5.196152422713832,2274.006077112575,8.013411599500875,True,True,True,0.01,L2,1,mechanism_defined_hidden
18437.09649548348,1299.647911338566,16695.577663654076,0.7000100216436094,,,,0.01,IRMV1,1,mechanism_defined_hidden
75.3109585020295,0.10634307735602617,16682.136198678723,0.0254008917436373,,,,0.01,VREX,1,mechanism_defined_hidden
4.6194484285259174e-11,5.196152422727052,16682.18702944106,15.966132070668117,True,True,True,0.0,L2,1,mechanism_defined_exposed
3.3450938666784576e-11,5.196152422713832,2274.006077112575,8.013411599500875,True,True,True,0.01,L2,1,mechanism_defined_exposed
18437.09649548348,1299.647911338566,16695.577663654076,0.7000100216436094,,,,0.01,IRMV1,1,mechanism_defined_exposed
75.3109585020295,0.10634307735602617,16682.136198678723,0.0254008917436373,,,,0.01,VREX,1,mechanism_defined_exposed
1.6656958984559158e-11,4.898979485578479,23069.845582116868,16.627606631423784,True,True,True,0.0,L2,2,mechanism_defined_hidden
1.6250942853388528e-11,4.898979485567148,2111.102441956184,7.190113128184227,True,True,True,0.01,L2,2,mechanism_defined_hidden
16726.29694546778,908.5515449835807,23095.015020981835,0.6803100863342618,,,,0.01,IRMV1,2,mechanism_defined_hidden
52.62927412511562,0.11203083736123991,23070.692839937656,0.024626453179127056,,,,0.01,VREX,2,mechanism_defined_hidden
1.6656958984559158e-11,4.898979485578479,23069.845582116868,16.627606631423784,True,True,True,0.0,L2,2,mechanism_defined_exposed
1.6250942853388528e-11,4.898979485567148,2111.102441956184,7.190113128184227,True,True,True,0.01,L2,2,mechanism_defined_exposed
16726.29694546778,908.5515449835807,23095.015020981835,0.6803100863342618,,,,0.01,IRMV1,2,mechanism_defined_exposed
52.62927412511562,0.11203083736123991,23070.692839937656,0.024626453179127056,,,,0.01,VREX,2,mechanism_defined_exposed
2.3284099281376695e-11,4.898979485580887,16396.72893068046,13.481337251841671,True,True,True,0.0,L2,3,mechanism_defined_hidden
6.9388939039072276e-12,4.898979485567431,1980.5864202670218,7.032583947144289,True,True,True,0.01,L2,3,mechanism_defined_hidden
11908.689120364199,1064.399295248244,16413.542680779607,0.8377078938254249,,,,0.01,IRMV1,3,mechanism_defined_hidden
54.62273696346172,0.13463561409271976,16396.932739987347,0.03631333614129185,,,,0.01,VREX,3,mechanism_defined_hidden
2.3284099281376695e-11,4.898979485580887,16396.72893068046,13.481337251841671,True,True,True,0.0,L2,3,mechanism_defined_exposed
6.9388939039072276e-12,4.898979485567431,1980.5864202670218,7.032583947144289,True,True,True,0.01,L2,3,mechanism_defined_exposed
11908.689120364199,1064.399295248244,16413.542680779607,0.8377078938254249,,,,0.01,IRMV1,3,mechanism_defined_exposed
54.62273696346172,0.13463561409271976,16396.932739987347,0.03631333614129185,,,,0.01,VREX,3,mechanism_defined_exposed
1.00074151062168e-11,4.123105625626664,5570.923446286493,11.286851402192521,True,True,True,0.0,L2,4,mechanism_defined_hidden
8.913170603436998e-12,4.123105625625076,1095.0466751422277,6.21729770782524,True,True,True,0.01,L2,4,mechanism_defined_hidden
8981.200760466656,1228.3369041812716,5577.948237020189,0.525255175695752,,,,0.01,IRMV1,4,mechanism_defined_hidden
60.767403491354955,0.23961346234954384,5570.612745689492,0.09037304018561808,,,,0.01,VREX,4,mechanism_defined_hidden
1.00074151062168e-11,4.123105625626664,5570.923446286493,11.286851402192521,True,True,True,0.0,L2,4,mechanism_defined_exposed
8.913170603436998e-12,4.123105625625076,1095.0466751422277,6.21729770782524,True,True,True,0.01,L2,4,mechanism_defined_exposed
8981.200760466656,1228.3369041812716,5577.948237020189,0.525255175695752,,,,0.01,IRMV1,4,mechanism_defined_exposed
60.767403491354955,0.23961346234954384,5570.612745689492,0.09037304018561808,,,,0.01,VREX,4,mechanism_defined_exposed
