PiO_singular_value,lambda,method,mode,setting
0.226076287659484,0.0,L2,0,hidden_u_hurts
0.21690375314384,0.0,L2,1,hidden_u_hurts
0.1282553186276868,0.0,L2,2,hidden_u_hurts
0.09481313427578637,0.0,L2,3,hidden_u_hurts
0.0,0.0,L2,4,hidden_u_hurts
0.0,0.0,L2,5,hidden_u_hurts
0.0,0.0,L2,6,hidden_u_hurts
0.0,0.0,L2,7,hidden_u_hurts
0.2241093634716791,0.01,L2,0,hidden_u_hurts
0.21441629360149883,0.01,L2,1,hidden_u_hurts
0.12725671847333486,0.01,L2,2,hidden_u_hurts
0.09413575055630409,0.01,L2,3,hidden_u_hurts
0.0,0.01,L2,4,hidden_u_hurts
0.0,0.01,L2,5,hidden_u_hurts
0.0,0.01,L2,6,hidden_u_hurts
0.0,0.01,L2,7,hidden_u_hurts
0.22606563474252755,0.01,IRMV1,0,hidden_u_hurts
0.21687886996227648,0.01,IRMV1,1,hidden_u_hurts
0.12823995593020424,0.01,IRMV1,2,hidden_u_hurts
0.09481107112695646,0.01,IRMV1,3,hidden_u_hurts
0.0,0.01,IRMV1,4,hidden_u_hurts
0.0,0.01,IRMV1,5,hidden_u_hurts
0.0,0.01,IRMV1,6,hidden_u_hurts
0.0,0.01,IRMV1,7,hidden_u_hurts
0.22607584082480647,0.01,VREX,0,hidden_u_hurts
0.21690257694894557,0.01,VREX,1,hidden_u_hurts
0.12825603923434156,0.01,VREX,2,hidden_u_hurts
0.09481374525566492,0.01,VREX,3,hidden_u_hurts
0.0,0.01,VREX,4,hidden_u_hurts
0.0,0.01,VREX,5,hidden_u_hurts
0.0,0.01,VREX,6,hidden_u_hurts
0.0,0.01,VREX,7,hidden_u_hurts
0.3199420293931039,0.0,L2,0,u_exposed_complete_information
0.22607628765948404,0.0,L2,1,u_exposed_complete_information
0.21690375314383997,0.0,L2,2,u_exposed_complete_information
0.1282553186276868,0.0,L2,3,u_exposed_complete_information
0.09481313427578637,0.0,L2,4,u_exposed_complete_information
0.0,0.0,L2,5,u_exposed_complete_information
0.0,0.0,L2,6,u_exposed_complete_information
0.0,0.0,L2,7,u_exposed_complete_information
0.31969420361053336,0.01,L2,0,u_exposed_complete_information
0.22410936347167917,0.01,L2,1,u_exposed_complete_information
0.21441629360149886,0.01,L2,2,u_exposed_complete_information
0.12725671847333486,0.01,L2,3,u_exposed_complete_information
0.0941357505563041,0.01,L2,4,u_exposed_complete_information
0.0,0.01,L2,5,u_exposed_complete_information
0.0,0.01,L2,6,u_exposed_complete_information
0.0,0.01,L2,7,u_exposed_complete_information
0.3199419895553206,0.01,IRMV1,0,u_exposed_complete_information
0.22606563474252758,0.01,IRMV1,1,u_exposed_complete_information
0.21687886996227648,0.01,IRMV1,2,u_exposed_complete_information
0.12823995593020424,0.01,IRMV1,3,u_exposed_complete_information
0.09481107112695644,0.01,IRMV1,4,u_exposed_complete_information
0.0,0.01,IRMV1,5,u_exposed_complete_information
