lambda,method,relative_error,seed,setting
0.01,L2,6.527921736348003e-09,,hidden_u_hurts
0.01,IRMV1,5.7492261519408885e-08,,hidden_u_hurts
0.01,VREX,1.1820071839068507e-09,,hidden_u_hurts
0.01,L2,6.527921736348003e-09,,u_exposed_complete_information
0.01,IRMV1,5.7492261519408885e-08,,u_exposed_complete_information
0.01,VREX,1.1820071839068507e-09,,u_exposed_complete_information
0.01,L2,4.19125633783267e-05,0,mechanism_defined_hidden
0.01,IRMV1,0.0007464481408856426,0,mechanism_defined_hidden
0.01,VREX,0.0032031658665096566,0,mechanism_defined_hidden
0.01,L2,4.19125633783267e-05,0,mechanism_defined_exposed
0.01,IRMV1,0.0007464481408856426,0,mechanism_defined_exposed
0.01,VREX,0.0032031658665096566,0,mechanism_defined_exposed
0.01,L2,3.7819465745399406e-05,1,mechanism_defined_hidden
0.01,IRMV1,0.000345204204514402,1,mechanism_defined_hidden
0.01,VREX,0.017507233676561804,1,mechanism_defined_hidden
0.01,L2,3.7819465745399406e-05,1,mechanism_defined_exposed
0.01,IRMV1,0.000345204204514402,1,mechanism_defined_exposed
0.01,VREX,0.017507233676561804,1,mechanism_defined_exposed
0.01,L2,4.6090897459096514e-05,2,mechanism_defined_hidden
0.01,IRMV1,0.021964215955417244,2,mechanism_defined_hidden
0.01,VREX,0.01696357520541709,2,mechanism_defined_hidden
0.01,L2,4.6090897459096514e-05,2,mechanism_defined_exposed
0.01,IRMV1,0.021964215955417244,2,mechanism_defined_exposed
0.01,VREX,0.01696357520541709,2,mechanism_defined_exposed
0.01,L2,4.0271309701687555e-05,3,mechanism_defined_hidden
0.01,IRMV1,0.011192775106493788,3,mechanism_defined_hidden
0.01,VREX,0.007902406790240362,3,mechanism_defined_hidden
0.01,L2,4.0271309701687555e-05,3,mechanism_defined_exposed
0.01,IRMV1,0.011192775106493788,3,mechanism_defined_exposed
0.01,VREX,0.007902406790240362,3,mechanism_defined_exposed
0.01,L2,3.52925569748527e-05,4,mechanism_defined_hidden
0.01,IRMV1,0.0006822727994006884,4,mechanism_defined_hidden
0.01,VREX,0.002123175772110134,4,mechanism_defined_hidden
0.01,L2,3.52925569748527e-05,4,mechanism_defined_exposed
0.01,IRMV1,0.0006822727994006884,4,mechanism_defined_exposed
0.01,VREX,0.002123175772110134,4,mechanism_defined_exposed
