method,seed,response_source_scale,response_cf_scale,response_clean_scale,response_cf_source_ratio,response_clean_source_ratio,direction_entropy,direction_top1_mass,direction_top3_mass,direction_effective_rank,pi_source_bank_scale,pi_cf_bank_scale,pi_cf_source_ratio,A_normalized_scale,O_normalized_scale,A_O_scale_ratio,A_rank,O_rank,full_cluster
ERM,10,2.8934167584481343,4.26517640707412,1.2304184793939608,1.474096807734576,0.42524758170471366,0.9345170123968873,0.1960994421452682,0.47403867201889427,9.401543955525744,72.0722525770014,107.7241346619346,1.494668625027961,0.9534174233501918,1.2189651569901456,0.7821531385723598,5.0,3.0,1
ERM,11,2.8063013730414923,3.756589492461927,1.276562308746294,1.3386265383145592,0.45489138159197257,0.9514744499031887,0.17427114539249297,0.43317452383673477,9.791709767867452,66.68435114080256,89.2456782947887,1.3383301594454806,0.9518056644035106,1.21757873239679,0.7817200145487856,5.0,3.0,1
ERM,12,2.8869169441933957,4.0781809570710035,1.127878261467595,1.4126422879167544,0.3906860790491928,0.935286973478671,0.1944387282019337,0.46990074933523446,9.41891792859543,69.58899153362621,99.69571963223544,1.4326363615150437,0.9570939376817812,1.2173423756319761,0.7862159051063277,5.0,3.0,1
ERM,13,2.8858509652731006,4.042491737173435,1.1276083996433528,1.4007971256377325,0.3907368790739484,0.9353792499214002,0.19417379524243494,0.47004669650741127,9.42100227605434,70.68801793185148,99.95195757259022,1.413987271066949,0.95151527006118,1.2160765657669828,0.7824468432717941,5.0,3.0,1
ERM,14,2.7836225884838095,3.798281827522066,1.4378645130303644,1.3645103482189098,0.5165443472757362,0.9514937143776496,0.16930753021772993,0.43358414042260013,9.792162098438295,61.219139012423426,83.38265020197088,1.3620356566114027,0.9516240463628265,1.2171778897965662,0.7818282391917888,5.0,3.0,1
FISHR,10,2.450684409114671,3.0807009737130886,0.5423735256466068,1.257077803349643,0.22131512471756554,0.6276982558907477,0.38588168340206647,0.931644873592639,4.504850389109332,6.169064212929118,7.744558524001729,1.255386272000653,0.9039741573438504,1.1910695491487262,0.7589600103452676,5.0,3.0,0
FISHR,11,2.450748202908362,3.2280531360123725,0.34735479254841456,1.317170459283236,0.14173418229428883,0.6309506391876042,0.38497632562273104,0.9295018853686542,4.540120506927399,4.820562752810392,6.382588917558843,1.324033986247309,0.9057648657202467,1.1902643152661243,0.7609779223850225,5.0,3.0,0
FISHR,12,2.459297308734851,3.3493761084666867,0.7252160584510338,1.361924032759473,0.2948875094829874,0.7595506408410038,0.34049738266428015,0.8221374191186201,6.1800285495277665,1.834804811260917,2.4804374033754524,1.3518808039700108,0.9015561076953211,1.195012446472508,0.7544323997265262,5.0,3.0,0
FISHR,13,2.4506193061110744,3.0064167186283144,0.42999042156505474,1.2267987570045074,0.17546194159688278,0.6558646752657848,0.37792587646485176,0.9124131972479969,4.81961863910781,4.536626122214577,5.522181754762476,1.2172441823499431,0.900622135664448,1.1909631541299246,0.7562132653234017,5.0,3.0,0
FISHR,14,2.4521855059949584,3.004988758746203,0.2784640086437094,1.2254328848285678,0.11355748085246284,0.6539442456475889,0.37760587746699653,0.9116562758685488,4.797475371676379,4.2778896418484775,5.262579283931038,1.2301811698108875,0.9031828307440651,1.1915697850710847,0.7579772851408653,5.0,3.0,0
IRMv1,10,2.469617393081305,3.005992188968631,0.12769295169081943,1.217189430796039,0.05170556056519299,0.7975211763416169,0.31928204196063154,0.7708150553126881,6.769127889141423,9.418033559213985,11.409874311902307,1.2114922122718108,0.9112179808821508,1.2019518144285517,0.7581152338585008,5.0,3.0,0
IRMv1,11,2.4556327845303607,3.096641249790085,0.20226476137838828,1.261035961605439,0.08236767429258417,0.7229639467750802,0.35435081147656533,0.8554785532665219,5.660950609808175,11.804268056696111,14.835368904200466,1.2567800758967793,0.9136864792850017,1.1952866502742798,0.7644078339495719,5.0,3.0,0
IRMv1,12,2.4592036549826544,3.127267691279272,0.42286721620848433,1.2716586871294844,0.17195290652390763,0.7481627674755591,0.34317969549057564,0.828509077648913,6.013554251906058,9.091661111875014,11.467393279075623,1.2613089223153688,0.9144345875183931,1.2020476623450236,0.7607307232181306,5.0,3.0,0
IRMv1,13,2.449947903470578,3.077888561956607,0.5259693857953216,1.25630775968603,0.21468594701554156,0.6898746406616656,0.36352619629457794,0.8776298536135246,5.229141626559736,7.570176476782018,9.43777375871485,1.246704589735895,0.9120092776003562,1.2057950308973255,0.7563551467961014,5.0,3.0,0
IRMv1,14,2.515331136254719,3.0698981691888116,0.8173355126945536,1.2204747617285225,0.3249415160150846,0.9461173116834386,0.2236410931024898,0.5399173802531974,9.666731316390058,13.03343152999878,15.712319417433305,1.2055397215436767,0.9135323232343633,1.2012475277256103,0.7604863295444242,5.0,3.0,0
VREX,10,2.4547479453458854,3.0311880604918313,1.5786665529183495,1.2348266005228177,0.6431073935356357,0.8943780453491376,0.2015565304932439,0.5415932288803793,8.538837607797483,3.5915259339592676,4.420244856314226,1.2307428479129443,0.9012385456711375,1.2109527148277468,0.7442392544611744,5.0,3.0,0
VREX,11,2.450274132429372,3.153330699527895,1.2364124845737752,1.2869297593251183,0.5046016966876722,0.7292467092876874,0.3477225335809414,0.8397842519587435,5.746880793394071,2.2162304412234914,2.8784112957390873,1.2987870043649579,0.9028698592240949,1.2075843469963845,0.7476660835077867,5.0,3.0,0
VREX,12,2.4506681107674564,3.136726143167473,0.5482144505179842,1.2799473455363848,0.22369999760853143,0.7150211247847755,0.3560969215871982,0.8600221645639251,5.554152104969704,1.3401756205342032,1.7172501303932883,1.2813620126209881,0.9041188214457179,1.2152607434085512,0.7439710583506997,5.0,3.0,0
VREX,13,2.449762848813854,2.9186161575068392,0.878730763025612,1.1913872230203828,0.3587003384638162,0.5918405255380497,0.39534946534123905,0.9545793298379976,4.133694662373087,1.3794436238028787,1.6450698429887944,1.1925604023262886,0.902850765330593,1.2144333518737205,0.7434337701098261,5.0,3.0,0
VREX,14,2.450019993615884,3.039671463279257,0.9584070627993112,1.2406721052072438,0.39118336393036435,0.7333927018616548,0.34360388225576827,0.8296542506733046,5.804299249632064,1.3860291974111036,1.720008068464019,1.2409609203592091,0.905535001146237,1.2129206458068478,0.7465739859212845,5.0,3.0,0
