method,seed,checkpoint_step,color_delta_norm,delta_color_delta_norm,conditional_color_delta_norm,delta_conditional_color_delta_norm,spurious_delta_norm,delta_spurious_delta_norm,between_trace,delta_between_trace,env_within_trace,delta_env_within_trace,trace_ratio,delta_trace_ratio,within_effective_rank,delta_within_effective_rank,global_effective_rank,delta_global_effective_rank,global_stable_rank,delta_global_stable_rank,head_color_delta_cos2,delta_head_color_delta_cos2,head_env_subspace_cos2,delta_head_env_subspace_cos2,head_interaction_subspace_cos2,delta_head_interaction_subspace_cos2,head_spurious_delta_cos2,delta_head_spurious_delta_cos2,interaction_to_between_ratio,delta_interaction_to_between_ratio,interaction_to_within_ratio,delta_interaction_to_within_ratio,spurious_to_label_norm_ratio,delta_spurious_to_label_norm_ratio,label_color_cos2,delta_label_color_cos2,label_env_interaction_trace,delta_label_env_interaction_trace,global_eig_top1_ratio,delta_global_eig_top1_ratio,global_eig_top5_ratio,delta_global_eig_top5_ratio,within_eig_top1_ratio,delta_within_eig_top1_ratio,within_eig_top5_ratio,delta_within_eig_top5_ratio,rep_cluster
Full-BIRM (Official),10,501,1.9227206707000732,0.004540085792541726,1.8287248611450195,-0.0017458200454711914,0.4064444899559021,-5.558133125299625e-05,0.5682134628295898,0.005172133445739746,0.0140627734363079,2.0870938898000235e-06,0.293856531381607,0.0029798150062561035,2.9099011421203613,-0.0017979145050048828,2.7718377113342285,-0.007956743240356445,1.8503748178482056,-0.011455774307250755,0.0616468489170074,0.005873139947652796,0.3762648403644562,-0.007447957992553711,0.0194437280297279,0.001221170648932502,0.0025687622837722,0.0010911452118307998,0.0181706734001636,-0.00017193146049980165,0.0053395708091557,4.134140908799641e-06,0.2695972621440887,-0.0012724697589874268,0.9458627700805664,0.0009277462959288441,0.0103248208761215,-2.8237700461994364e-06,0.540431022644043,0.003325223922729492,0.99413400888443,1.3947486877663451e-05,0.4394460320472717,-0.0017097592353821356,0.9924299120903016,-4.1723251320568977e-07,0
Full-BIRM (Official),11,501,1.7517421245574951,0.00980198383331321,1.6102728843688965,-0.0007659196853639916,0.3748878538608551,-0.00012749433517450504,0.5053637027740479,0.009010940790176447,0.0099435001611709,-5.830079317099834e-06,0.2914563715457916,0.005721747875213623,2.9149298667907715,-0.004418373107910156,2.7974600791931152,-0.017287254333496094,1.8180700540542605,-0.02622842788696267,0.0941398292779922,0.012654922902584104,0.1467889547348022,-0.015094920992851313,0.016744615510106,0.0085588656365871,0.0021039505954831,0.0014264513738453002,0.0173811558634042,-0.0003275871276855989,0.0050658481195569,5.846843123500159e-06,0.2636752426624298,-0.0024731457233428955,0.9532965421676636,0.0017305612564088024,0.0087838051840662,-5.978159606500125e-06,0.5500338077545166,0.007822215557098389,0.9932456612586976,2.5808811187855163e-05,0.5010431408882141,0.0017823278903961182,0.9913146495819092,-4.231929779052734e-06,0
Full-BIRM (Official),12,501,1.6527267694473269,0.006973624229431374,1.5511713027954102,-0.003088235855102539,0.3697727918624878,0.000726699829101618,0.4360151886940002,0.007094681262969915,0.0102547602728009,2.863910049200058e-05,0.2726484537124634,0.00475072860717779,3.179708242416382,-0.003159761428833008,3.0669474601745605,-0.015694856643676758,2.0080320835113525,-0.02935051918029785,0.0646882802248001,0.010007299482822495,0.2207375019788742,-0.004418343305587685,0.0328484736382961,-0.0165105611085892,0.0237272437661886,0.005872396752238301,0.01959965005517,-0.00024596042931079865,0.0053438143804669,2.722023054959992e-05,0.2799974977970123,-0.001751393079757746,0.9373297095298768,0.0018717646598815918,0.0085457451641559,3.355555236339916e-05,0.4980000257492065,0.007174223661422674,0.9922413229942322,3.623962402332648e-05,0.4472416937351227,0.001734077930450495,0.9901472926139832,9.417533874511719e-06,0
Full-BIRM (Official),13,501,1.6577167510986328,-0.0044422149658203125,1.430801510810852,-0.0019283294677736595,0.2935375571250915,-4.440546035822113e-06,0.5025003552436829,-0.0028954148292541504,0.0070709604769945,-2.8032809490027844e-07,0.2810080349445343,-0.001866012811660711,2.7917301654815674,0.0004322528839115769,2.675134658813477,0.004235506057739702,1.6356126070022583,0.0032068490982055664,0.1701862812042236,-0.003616422414779691,0.7874211668968201,0.0017798542976379395,0.0275345295667648,-0.0028455574065446992,0.0139789171516895,0.0012370115146041003,0.010716944001615,6.107427179810089e-05,0.003011547261849,-2.721790224300292e-06,0.2070453464984893,0.0005908012390135886,0.9504427313804626,-0.0006610751152037464,0.0053852680139243,-1.6344711189966027e-07,0.6113917231559753,-0.0012010931968688965,0.9934015274047852,-8.52346420288086e-06,0.5668624639511108,5.835294723510742e-05,0.9915699362754822,1.8477439881481317e-06,0
Full-BIRM (Official),14,501,1.4942268133163452,0.005093574523925781,1.312937617301941,-0.0011396408081054688,0.3051795959472656,-0.000746995210647583,0.4172705411911011,0.004266917705535889,0.0084901498630642,-2.9682181775599406e-05,0.242127925157547,0.0026077628135681985,2.8748631477355957,-0.002334117889404297,2.842883586883545,-0.008251190185546875,1.8092504739761353,-0.009606003761291504,0.0962624251842498,0.006561115384101798,0.5510105490684509,-0.004780411720275879,0.0476735159754753,0.0065722949802876005,0.0280914567410945,-0.004081398248672499,0.0139499707147479,-0.00021320395171639875,0.0033776774071156,-1.4688586816200347e-05,0.2362199872732162,-0.0017982870340347012,0.9362970590591432,0.0013827681541443981,0.0058209118433296,-2.853060141209951e-05,0.5527150630950928,0.0029190778732299805,0.9929237961769104,1.3649463653564453e-05,0.5072076916694641,0.0013855695724487305,0.991232693195343,-1.6093254089355469e-06,0
IRMv1,10,501,2.4214165210723877,0.0013225078582763672,2.337641716003418,-0.001962423324584961,0.5378550887107849,-0.0005118846893310547,0.8488850593566895,0.0028163790702819824,0.0224197767674922,-3.5224482417200303e-05,0.351549357175827,0.0014473199844360352,2.614588499069214,0.0007433891296386719,2.428524971008301,-0.001737356185913086,1.640672206878662,-0.0016093254089355469,0.0594320222735405,0.002928726375102997,0.1777170300483703,-0.0045290887355805,0.0051704994402825,-0.009287313092500001,0.0001234438968822,9.56691710598174e-05,0.0212991200387477,-0.00011160038411620055,0.0074876919388771,-8.244533091700257e-06,0.2918843626976013,-0.0007636845111846924,0.959065854549408,0.0002422332763671875,0.0180805046111345,-3.443472087379801e-05,0.6095062494277954,0.0005972385406494141,0.9950239062309264,2.9802322387695312e-06,0.5298501253128052,-0.0014871954917907715,0.9932950139045716,-3.5166740415260023e-06,0
IRMv1,11,501,2.4964511394500732,-0.0001380443572998047,2.39019513130188,-0.00017905235290527344,0.5124906897544861,-2.0802021026611328e-05,0.9177767038345336,-3.987550735484735e-05,0.0176637284457683,-1.1585652828008386e-06,0.3961921632289886,-7.340312004089355e-05,2.8190274238586426,-0.00024199485778808594,2.5672693252563477,-5.91278076171875e-05,1.7218348979949951,0.00021028518676757812,0.0654385089874267,7.066130638119783e-05,0.1643700152635574,-0.00013980269432070647,0.0182566996663808,-0.0092512909322977,0.0002512681530788,-5.890324246000098e-07,0.017886072397232,-6.724148989001311e-07,0.0070863221772015,-1.5785917639003777e-06,0.2674776315689087,-5.066394805908203e-06,0.967567503452301,-1.1444091796986022e-05,0.0164154209196567,-1.3299286365994756e-06,0.580775797367096,-7.092952728271484e-05,0.9945576786994934,1.1920928953967902e-06,0.4797354936599731,5.525350570678711e-05,0.992460548877716,8.344650267444464e-07,0
IRMv1,12,501,1.6755859851837158,-0.020230770111083984,1.4969290494918823,0.002520322799682617,0.3834285140037536,-0.0008715987205505926,0.489836186170578,-0.018322497606277466,0.0108850207179784,-3.764312714340037e-05,0.2720933854579925,-0.010654687881469782,2.934140920639038,0.013054132461547852,2.8144993782043457,0.036234140396118164,1.7974737882614136,0.04383218288421631,0.0746777132153511,-0.023740313947200692,0.1734402030706405,0.017413988709449713,0.0164528470486402,-0.0184825379401445,0.0056763025932013,-0.0085517033003271,0.0187584962695837,0.0005940701812506,0.0051040626130998,-3.1894072890200145e-05,0.2739233076572418,0.00437235832214361,0.9402735233306884,-0.004604637622833252,0.0091885905712842,-4.182010889059937e-05,0.5563363432884216,-0.013905584812164307,0.9931634068489076,-6.449222564686163e-05,0.4850162267684936,-0.009068042039871216,0.9913328289985656,-1.001358032248767e-05,1
IRMv1,13,501,1.6597850322723389,0.00010228157043457031,1.4107364416122437,2.0742416381835938e-05,0.2925504446029663,4.112720489501953e-06,0.5215833187103271,8.732080459594727e-05,0.0071999626234173,1.7974525689992e-07,0.2694571912288666,2.7388334274291992e-05,2.702287197113037,-0.00013446807861328125,2.6156134605407715,-0.00018358230590820312,1.6411025524139404,-0.00013780593872070312,0.2266004234552383,0.00010754168033599854,0.8090417981147766,-2.2292137145996094e-05,0.0394443422555923,0.014811022207140898,0.0202481057494878,2.8163194656299212e-05,0.0102555248886346,-1.4267861843005047e-06,0.0027634252328425,-1.0314397520024693e-07,0.2025391161441803,-1.4111399650490464e-05,0.9471676349639891,1.1801719665527344e-05,0.0053491108119487,1.5180557959987295e-07,0.6093464493751526,5.120038986206055e-05,0.9939430952072144,4.76837158203125e-07,0.5732172727584839,4.470348358154297e-05,0.9923273921012878,3.5762786865234375e-07,0
IRMv1,14,501,1.3470855951309204,5.53131103515625e-05,1.1448529958724976,-2.956390380859375e-05,0.2649801671504974,-2.7120113373357846e-06,0.3729391992092132,6.35385513305109e-05,0.0067015229724347,2.3329630490041137e-07,0.225958913564682,1.4066696167019943e-05,2.8335371017456055,-0.0001862049102783203,2.826117753982544,-0.00021767616271972656,1.7420730590820312,-0.00021529197692871094,0.17418172955513,0.00011397898197179623,0.4019874036312103,6.312131881713867e-05,0.0679384097456932,0.008494298905134208,0.0467495135962963,4.442408680919996e-05,0.0117670819163322,-2.247281372500312e-06,0.002658877056092,-3.422610461000647e-07,0.2169523388147354,-2.071261405939273e-05,0.9238637685775756,7.808208465576172e-06,0.0043884059414267,-9.03382896995375e-08,0.574028730392456,7.092952728271484e-05,0.9920329451560974,4.76837158203125e-07,0.5465956330299377,6.830692291259766e-05,0.9902429580688475,1.1920928955078125e-06,0
