seed,method,source_env0_acc,source_env1_acc,source_mean_acc,target_acc,target_loss,prediction_color_agreement,selected_checkpoint,selected_hyperparameter,optimizer_steps,finite,invalid_reason,initial_parameter_hash,batch_schedule_hash,wall_seconds
0,ERM,0.8027999997138977,0.8988000154495239,0.8508000075817108,0.09870000183582306,1.5733510255813599,0.9983000159263611,500,fixed_official_cpu_minimal,501,True,OK,a9b2691d3e27d1e8dcde4b5459e5baaf1cc38401b3d4e1e90160196234c71c85,abf578bcb8b0ad2265ef29845a30b87ee2632d9c0cd89a0a45854a99dc41078b,0.6105999946594238
1,ERM,0.8022400140762329,0.8998799920082092,0.8510600030422211,0.11010000109672546,1.4524847269058228,0.9865000247955322,500,fixed_official_cpu_minimal,501,True,OK,b7f7e7721752d8b9a457a9e9cfa2dad1c9a90a75c294fbd3b2ee3df23773d12f,6b45c037125507fd2088c2ef6c354a4f95787a31ddf122d518c693be1dfcdea5,0.5833802223205566
2,ERM,0.8034399747848511,0.8978400230407715,0.8506399989128113,0.11299999803304672,1.4638047218322754,0.9855999946594238,500,fixed_official_cpu_minimal,501,True,OK,dcfd1da2f9b3cdf6b96ae7bb0656f8a4c0a811ac3c40056c1e054ac9de99b9ff,2d389888c6fbe442cbda05248fc37c11207f37767a737f39718249f521402195,0.5919790267944336
3,ERM,0.7989599704742432,0.9000800251960754,0.8495199978351593,0.10909999907016754,1.5262678861618042,0.9948999881744385,500,fixed_official_cpu_minimal,501,True,OK,25f7bb73c0ed7be14176c11de7803addd71930f35fc1d9da773679de47c9f75a,6be053e53e3c11785c1814e545adf4d3d99de06ca809670cc3780315fa2b151e,0.5654518604278564
4,ERM,0.8017600178718567,0.8991600275039673,0.850460022687912,0.10999999940395355,1.5068473815917969,0.9900000095367432,500,fixed_official_cpu_minimal,501,True,OK,1b070341de2127cadffb9f1d8c257d364db6abd22ce692efb4d80cf29be92c10,25ab159d3bdbcc6e194bd65072e8c67021a0db6a7bd9040f9bc0d148b99204d5,0.5579230785369873
5,ERM,0.7993999719619751,0.8957599997520447,0.8475799858570099,0.10589999705553055,1.520103096961975,0.992900013923645,500,fixed_official_cpu_minimal,501,True,OK,feef7786245d700a5de56a4875482759adcccadbfac3cfc093c1ea6debdb1379,a068006e286b0cff03c2589d5da38341ca8502a7e8d07f99211a7fb110f8815c,0.6030211448669434
6,ERM,0.799239993095398,0.8992400169372559,0.8492400050163269,0.10369999706745148,1.4889280796051025,0.9916999936103821,500,fixed_official_cpu_minimal,501,True,OK,402f9b159c25e413bce8a3f684dc2701e298fb4f6a1f47603747921a2d5afdf1,473abf91fdd58141cd826567ce5ca11cae41a087f37f1780b1ce68105ebe2feb,0.5714890956878662
7,ERM,0.8024799823760986,0.9007599949836731,0.8516199886798859,0.10580000281333923,1.5329039096832275,0.9955999851226807,500,fixed_official_cpu_minimal,501,True,OK,7a3b04deb1d9bf4a3d062335005b444f64f9b4425f5caf04f77d9b761b3a102e,00f03774e112aabaf00eb092b7ae2b06521b40064780f9c82475de211004c2d6,0.6022028923034668
8,ERM,0.8021600246429443,0.8983200192451477,0.850240021944046,0.11110000312328339,1.442445158958435,0.989300012588501,500,fixed_official_cpu_minimal,501,True,OK,aed3b6c3d209bc12a20dd17dfd5601941a2d08d27887195947d5a81fea5cee44,004b77276746449f30d44676c73b3d79b7300c9feca4e056da1df375189bb1d2,0.600039005279541
9,ERM,0.7985600233078003,0.8980799913406372,0.8483200073242188,0.1023000031709671,1.4609934091567993,0.9957000017166138,500,fixed_official_cpu_minimal,501,True,OK,681327beab29ab1bfefc88f118aa159c5c74668316a56b9b682a58c2c0358943,db38b6d90208aed23be791000a3128cbcb721b48a1737358026cdb8f2edef20c,0.6009259223937988
