seed,method,source_env0_acc,source_env1_acc,source_mean_acc,target_acc,target_loss,prediction_color_agreement,selected_checkpoint,selected_hyperparameter,optimizer_steps,finite,invalid_reason,initial_parameter_hash,batch_schedule_hash,wall_seconds
0,IRMv1,0.597599983215332,0.5825600028038025,0.5900799930095673,0.661899983882904,0.6508744359016418,0.3560999929904938,500,fixed_official_cpu_minimal,501,True,OK,a9b2691d3e27d1e8dcde4b5459e5baaf1cc38401b3d4e1e90160196234c71c85,abf578bcb8b0ad2265ef29845a30b87ee2632d9c0cd89a0a45854a99dc41078b,0.6576390266418457
1,IRMv1,0.6018800139427185,0.5970399975776672,0.5994600057601929,0.6833999752998352,0.6442093253135681,0.3357999920845032,500,fixed_official_cpu_minimal,501,True,OK,b7f7e7721752d8b9a457a9e9cfa2dad1c9a90a75c294fbd3b2ee3df23773d12f,6b45c037125507fd2088c2ef6c354a4f95787a31ddf122d518c693be1dfcdea5,0.6779201030731201
2,IRMv1,0.6128399968147278,0.5976399779319763,0.605239987373352,0.6786999702453613,0.6441770792007446,0.3391000032424927,500,fixed_official_cpu_minimal,501,True,OK,dcfd1da2f9b3cdf6b96ae7bb0656f8a4c0a811ac3c40056c1e054ac9de99b9ff,2d389888c6fbe442cbda05248fc37c11207f37767a737f39718249f521402195,0.6537518501281738
3,IRMv1,0.6220399737358093,0.6149200201034546,0.618479996919632,0.6481000185012817,0.6599606871604919,0.3799000084400177,500,fixed_official_cpu_minimal,501,True,OK,25f7bb73c0ed7be14176c11de7803addd71930f35fc1d9da773679de47c9f75a,6be053e53e3c11785c1814e545adf4d3d99de06ca809670cc3780315fa2b151e,0.6562011241912842
4,IRMv1,0.5978400111198425,0.5791199803352356,0.5884799957275391,0.6827999949455261,0.6592769622802734,0.3303999900817871,500,fixed_official_cpu_minimal,501,True,OK,1b070341de2127cadffb9f1d8c257d364db6abd22ce692efb4d80cf29be92c10,25ab159d3bdbcc6e194bd65072e8c67021a0db6a7bd9040f9bc0d148b99204d5,0.6795220375061035
5,IRMv1,0.6078799962997437,0.5967599749565125,0.602319985628128,0.6840000152587891,0.6575643420219421,0.3352000117301941,500,fixed_official_cpu_minimal,501,True,OK,feef7786245d700a5de56a4875482759adcccadbfac3cfc093c1ea6debdb1379,a068006e286b0cff03c2589d5da38341ca8502a7e8d07f99211a7fb110f8815c,0.718066930770874
6,IRMv1,0.5925599932670593,0.5806800127029419,0.5866200029850006,0.6819000244140625,0.6428361535072327,0.3310999870300293,500,fixed_official_cpu_minimal,501,True,OK,402f9b159c25e413bce8a3f684dc2701e298fb4f6a1f47603747921a2d5afdf1,473abf91fdd58141cd826567ce5ca11cae41a087f37f1780b1ce68105ebe2feb,0.6639668941497803
7,IRMv1,0.5752400159835815,0.5588799715042114,0.5670599937438965,0.6743000149726868,0.6350187659263611,0.3343000113964081,500,fixed_official_cpu_minimal,501,True,OK,7a3b04deb1d9bf4a3d062335005b444f64f9b4425f5caf04f77d9b761b3a102e,00f03774e112aabaf00eb092b7ae2b06521b40064780f9c82475de211004c2d6,0.7401959896087646
8,IRMv1,0.5820800065994263,0.5628799796104431,0.5724799931049347,0.692799985408783,0.6407700181007385,0.3197999894618988,500,fixed_official_cpu_minimal,501,True,OK,aed3b6c3d209bc12a20dd17dfd5601941a2d08d27887195947d5a81fea5cee44,004b77276746449f30d44676c73b3d79b7300c9feca4e056da1df375189bb1d2,0.6879861354827881
9,IRMv1,0.5914000272750854,0.5713199973106384,0.5813600122928619,0.6935999989509583,0.638255774974823,0.3203999996185303,500,fixed_official_cpu_minimal,501,True,OK,681327beab29ab1bfefc88f118aa159c5c74668316a56b9b682a58c2c0358943,db38b6d90208aed23be791000a3128cbcb721b48a1737358026cdb8f2edef20c,0.6886217594146729
