seed,representation_method,target_accuracy,rank_A,rank_O,dim_kernel_O,rank_A_irr,norm_A_rec,norm_A_irr,norm_E,rho_slack,information_floor,adaptive_regret,decomposition_residual
0,ERM,0.09870000183582306,1,2,0,0,3.0298713466314,0.0,3.699529571491969,NA,0.0,6.843259525171776,0.0
0,IRMv1,0.661899983882904,1,2,0,0,2.625654385029268,0.0,3.374200094099164,NA,0.0,5.692613137509405,0.0
1,ERM,0.11010000109672546,1,2,0,0,3.102588073292166,0.0,3.7409542065578303,NA,0.0,6.997369187781363,0.0
1,IRMv1,0.6833999752998352,1,2,0,0,2.6630704971611454,0.0,3.380965810235627,NA,0.0,5.715464904991123,0.0
2,ERM,0.11299999803304672,1,2,0,0,3.052393743299052,0.0,3.709275099655341,NA,0.0,6.879360882461569,0.0
2,IRMv1,0.6786999702453613,1,2,0,0,2.614457475625195,0.0,3.3514255056099027,NA,0.0,5.616026459826294,0.0
3,ERM,0.10909999907016754,1,2,0,0,3.122208309143078,0.0,3.766039754478035,NA,0.0,7.091527716154487,0.0
3,IRMv1,0.6481000185012817,1,2,0,0,2.641768472766963,0.0,3.3735706219842143,NA,0.0,5.6904893707574775,0.0
4,ERM,0.10999999940395355,1,2,0,0,2.99355732988644,0.0,3.659193776197076,NA,0.0,6.69484954587971,0.0
4,IRMv1,0.6827999949455261,1,2,0,0,2.5154021139495852,0.0,3.264616869874962,NA,0.0,5.328861653536099,0.0
5,ERM,0.10589999705553055,1,2,0,0,3.1432617967065233,0.0,3.780778507729459,NA,0.0,7.147143062254491,0.0
5,IRMv1,0.6840000152587891,1,2,0,0,2.720686933900637,0.0,3.4410472001098262,NA,0.0,5.920402916691835,0.0
6,ERM,0.10369999706745148,1,2,0,0,3.098483434183143,0.0,3.748567661809323,NA,0.0,7.025879757581305,0.0
6,IRMv1,0.6819000244140625,1,2,0,0,2.676191655089461,0.0,3.4087875195094033,NA,0.0,5.809916176581532,0.0
7,ERM,0.10580000281333923,1,2,0,0,3.0297868481233787,0.0,3.694314839102272,NA,0.0,6.8239810652056265,0.0
7,IRMv1,0.6743000149726868,1,2,0,0,2.5908328501205236,0.0,3.3386634111075315,NA,0.0,5.573336686334088,0.0
8,ERM,0.11110000312328339,1,2,0,0,3.055164745519924,0.0,3.7091306631087093,NA,0.0,6.8788251380066265,0.0
8,IRMv1,0.692799985408783,1,2,0,0,2.624487687162678,0.0,3.367902649791045,NA,0.0,5.671384129234771,0.0
9,ERM,0.1023000031709671,1,2,0,0,3.069413375075045,0.0,3.7223314136359407,NA,0.0,6.927875576470469,0.0
9,IRMv1,0.6935999989509583,1,2,0,0,2.626442923716292,0.0,3.364392114820911,NA,0.0,5.659567151134564,0.0
