n_noise,rho,shift,common_burden,leading_relevance,fitted_alpha,curvature_coefficient,small_epsilon_bound_gap,source_exposure_struct,source_exposure_risk,category
4,0.0,shortcut-relation,0.0,0.0,nan,0.0,0.0,0.0,0.0,unexposed-low-relevance
4,0.0,shortcut-variance,0.0,0.0,1.0000000000000002,1.6090104585679819,1.609010458567982e-06,0.9999999999999994,0.0,exposed-low-relevance
4,0.0,target-emergent,0.0,0.42247581130956,0.5320839364036012,1.1895199054296302,7.673085591786838e-07,0.0,0.0,unexposed-relevant
4,0.0,stable-predictive-burden,0.9999999999999998,0.0,nan,0.0,0.0,1.0000000000000004,0.0,exposed-low-relevance
4,0.0,independent-noise-mean,0.0,0.0,1.0000000000000002,1.618033988749895,1.6180339887498946e-06,0.0,0.0,unexposed-low-relevance
4,0.0,independent-noise-variance,0.0,0.0,1.0,1.0,1e-06,0.0,0.0,unexposed-low-relevance
4,0.2,shortcut-relation,0.03838979280361576,0.30433019470075706,0.522449340273298,0.5688666211859871,3.7792431571806754e-07,1.0000000000000004,1.0000000000000002,exposed-relevant
4,0.2,shortcut-variance,0.014292551304399104,0.21157552038647903,0.5765833497915123,1.5659975561197268,1.5659975561198238e-06,1.0000000000000009,1.0000000000000002,exposed-relevant
4,0.2,target-emergent,0.0,0.4111819687109366,0.5329696512217881,1.1938393470132502,7.673786489470914e-07,0.0,0.0,unexposed-relevant
4,0.2,stable-predictive-burden,0.9999999999999999,0.0,nan,0.0,0.0,1.0000000000000004,0.0,exposed-low-relevance
4,0.2,independent-noise-mean,0.0,0.0,1.0000000000000002,1.618033988749895,1.6180339887498946e-06,0.0,0.0,unexposed-low-relevance
4,0.2,independent-noise-variance,0.0,0.0,1.0,1.0,1e-06,0.0,0.0,unexposed-low-relevance
4,0.4,shortcut-relation,0.16100187326270965,0.7536292320524077,0.523996924473396,1.3356803815297233,1.1973295647360518e-06,1.0000000000000004,1.0000000000000004,exposed-relevant
4,0.4,shortcut-variance,0.04899630957477474,0.37691257533698397,0.5476629582293769,1.4497325480233463,1.4497325480233728e-06,1.0000000000000009,1.0,exposed-relevant
4,0.4,target-emergent,0.0,0.38065441473459594,0.5355909598765629,1.2054014051964224,7.675888586099189e-07,0.0,0.0,unexposed-relevant
4,0.4,stable-predictive-burden,0.9999999999999998,0.0,nan,0.0,0.0,1.0000000000000004,0.0,exposed-low-relevance
4,0.4,independent-noise-mean,0.0,0.0,1.0000000000000002,1.618033988749895,1.6180339887498946e-06,0.0,0.0,unexposed-low-relevance
4,0.4,independent-noise-variance,0.0,0.0,1.0,1.0,1e-06,0.0,0.0,unexposed-low-relevance
4,0.6,shortcut-relation,0.37416841738652684,1.375794549769769,0.5227772656325635,2.218669086157459,2.1342440694105055e-06,0.9999999999999997,0.9999999999999994,exposed-relevant
4,0.6,shortcut-variance,0.08730014404725306,0.47460650972449286,0.5361581361311354,1.2900971787110853,1.29009717871097e-06,0.9999999999999994,0.9999999999999993,exposed-relevant
4,0.6,target-emergent,0.0,0.3387391606697331,0.5398394731756048,1.2210166799517692,7.679390091676103e-07,0.0,9.321212724741295e-17,unexposed-relevant
4,0.6,stable-predictive-burden,0.9999999999999998,3.154801734581321e-17,nan,8.746803409356495e-17,3.599556301775491e-23,1.0000000000000004,0.0,exposed-low-relevance
4,0.6,independent-noise-mean,0.0,3.154801734581321e-17,1.0000000000000002,1.618033988749895,1.61803398874985e-06,0.0,0.0,unexposed-low-relevance
4,0.6,independent-noise-variance,0.0,3.154801734581321e-17,1.0,0.9999999999999999,9.999999999999553e-07,0.0,0.0,unexposed-low-relevance
4,0.8,shortcut-relation,0.6624725710943724,2.108582994564287,0.5212789151140141,3.1125444241093225,3.057842684858411e-06,1.0000000000000004,0.9999999999999998,exposed-relevant
4,0.8,shortcut-variance,0.11650942157832778,0.5103567778262312,0.5302148724777797,1.1177810221041498,1.1177810221041102e-06,1.0000000000000009,0.9999999999999994,exposed-relevant
4,0.8,target-emergent,0.0,0.29349432855779534,0.5455381310570722,1.2375522609440055,7.684288020411872e-07,0.0,0.0,unexposed-relevant
4,0.8,stable-predictive-burden,0.9999999999999998,0.0,nan,0.0,0.0,1.0000000000000004,0.0,exposed-low-relevance
4,0.8,independent-noise-mean,0.0,0.0,1.0000000000000002,1.618033988749895,1.6180339887498946e-06,0.0,0.0,unexposed-low-relevance
4,0.8,independent-noise-variance,0.0,0.0,1.0,1.0,1e-06,0.0,0.0,unexposed-low-relevance
4,0.95,shortcut-relation,0.9081510885881818,2.679261810600255,0.5203208662653653,3.7413181303711633,3.699307755827136e-06,0.9999999999999998,1.0,exposed-relevant
4,0.95,shortcut-variance,0.129763676300376,0.507751422446808,0.5274502355912918,0.9933885750892903,9.933885750895537e-07,1.0000000000000007,1.0,exposed-relevant
4,0.95,target-emergent,0.0,0.260832763374337,0.5506275864801081,1.2492929506656991,7.68887539722709e-07,0.0,0.0,unexposed-relevant
4,0.95,stable-predictive-burden,0.9999999999999998,0.0,nan,0.0,0.0,1.0000000000000004,0.0,exposed-low-relevance
4,0.95,independent-noise-mean,0.0,0.0,1.0000000000000002,1.618033988749895,1.6180339887498946e-06,0.0,0.0,unexposed-low-relevance
4,0.95,independent-noise-variance,0.0,0.0,1.0,1.0,1e-06,0.0,0.0,unexposed-low-relevance
