decomposition_residual,head_method,lambda,norm_E,norm_PiO,rank_A,rank_O,representation_method,seed,snapshot_passes
0.0,L2,0.0,3.6995334919338467,1.0087969728453114,1,2,ERM,0,True
0.0,L2,0.1,3.667259867681993,0.7442115130027526,1,2,ERM,0,True
0.0,IRMV1,0.1,3.698813709797717,1.0071278674582327,1,2,ERM,0,True
0.0,VREX,0.1,3.698699303953435,1.0073692653121982,1,2,ERM,0,True
0.0,L2,0.0,3.374201980491418,0.9641780179344104,1,2,IRMv1,0,True
0.0,L2,0.1,3.3431122719963384,0.8784340439276691,1,2,IRMv1,0,True
0.0,IRMV1,0.1,3.37356350684871,0.9630732649800284,1,2,IRMv1,0,True
0.0,VREX,0.1,3.3734401592801597,0.9631205245431713,1,2,IRMv1,0,True
0.0,L2,0.0,3.7409590631450085,0.9865338512702431,1,2,ERM,1,True
0.0,L2,0.1,3.703839389748321,0.7049570982426095,1,2,ERM,1,True
0.0,IRMV1,0.1,3.7403500893129555,0.9850213385909611,1,2,ERM,1,True
0.0,VREX,0.1,3.740202810851601,0.9852031628036347,1,2,ERM,1,True
0.0,L2,0.0,3.380968405670487,0.9393110794656215,1,2,IRMv1,1,True
0.0,L2,0.1,3.3451974427956386,0.869304362407773,1,2,IRMv1,1,True
0.0,IRMV1,0.1,3.380412541698212,0.9383061174927897,1,2,IRMv1,1,True
0.0,VREX,0.1,3.380282887270776,0.9383525244928563,1,2,IRMv1,1,True
0.0,L2,0.0,3.7092793153394394,1.004775686374821,1,2,ERM,2,True
0.0,L2,0.1,3.6630965279847714,0.742006241532458,1,2,ERM,2,True
0.0,IRMV1,0.1,3.708597847451058,1.003144606395499,1,2,ERM,2,True
0.0,VREX,0.1,3.7084618752503284,1.0033562108301768,1,2,ERM,2,True
0.0,L2,0.0,3.351427674976121,0.9657971323309146,1,2,IRMv1,2,True
0.0,L2,0.1,3.3381149741994376,0.9075635799772115,1,2,IRMv1,2,True
0.0,IRMV1,0.1,3.350773467774878,0.9646305951164457,1,2,IRMv1,2,True
0.0,VREX,0.1,3.3506623764537995,0.964728583218404,1,2,IRMv1,2,True
0.0,L2,0.0,3.766043953791835,0.9689760586004896,1,2,ERM,3,True
0.0,L2,0.1,3.7270734006727437,0.6476436377030518,1,2,ERM,3,True
0.0,IRMV1,0.1,3.765417661677081,0.9674393858838702,1,2,ERM,3,True
0.0,VREX,0.1,3.765326539007795,0.9676948035360633,1,2,ERM,3,True
0.0,L2,0.0,3.373572908195296,0.9574396918050818,1,2,IRMv1,3,True
0.0,L2,0.1,3.3233118568865216,0.8684257066811129,1,2,IRMv1,3,True
0.0,IRMV1,0.1,3.372913896187949,0.9562715865535352,1,2,IRMv1,3,True
0.0,VREX,0.1,3.3728350413103882,0.9564079197687926,1,2,IRMv1,3,True
0.0,L2,0.0,3.6591976038993255,0.9859222944636963,1,2,ERM,4,True
0.0,L2,0.1,3.6190785770903964,0.7425840981012627,1,2,ERM,4,True
0.0,IRMV1,0.1,3.6585185705271948,0.9843587371581356,1,2,ERM,4,True
0.0,VREX,0.1,3.6584246648055676,0.9846209097198492,1,2,ERM,4,True
0.0,L2,0.0,3.2646187357961587,0.9479243369579079,1,2,IRMv1,4,True
0.0,L2,0.1,3.249137815432634,0.8903616866530282,1,2,IRMv1,4,True
0.0,IRMV1,0.1,3.2639910731867388,0.9468927747305047,1,2,IRMv1,4,True
0.0,VREX,0.1,3.263887084567816,0.946947428754407,1,2,IRMv1,4,True
0.0,L2,0.0,3.7807833689052814,0.9970576726828745,1,2,ERM,5,True
0.0,L2,0.1,3.7424252524392743,0.7455593255066416,1,2,ERM,5,True
0.0,IRMV1,0.1,3.7801055127729724,0.9953752620409368,1,2,ERM,5,True
0.0,VREX,0.1,3.7800011103838522,0.9956529051130094,1,2,ERM,5,True
0.0,L2,0.0,3.441049734519437,0.9598544127045892,1,2,IRMv1,5,True
0.0,L2,0.1,3.424858021600642,0.9066869792267439,1,2,IRMv1,5,True
0.0,IRMV1,0.1,3.4404274801950554,0.9587081820898385,1,2,IRMv1,5,True
0.0,VREX,0.1,3.4403125183487666,0.9587787969276114,1,2,IRMv1,5,True
0.0,L2,0.0,3.748572279567711,0.9873022727046699,1,2,ERM,6,True
0.0,L2,0.1,3.699140920269632,0.669262236782306,1,2,ERM,6,True
0.0,IRMV1,0.1,3.747980100747258,0.9858548214719269,1,2,ERM,6,True
0.0,VREX,0.1,3.7478133077622693,0.9859902014315665,1,2,ERM,6,True
0.0,L2,0.0,3.4087903148534786,0.9684005439016945,1,2,IRMv1,6,True
0.0,L2,0.1,3.3825029083238993,0.8934525264507014,1,2,IRMv1,6,True
0.0,IRMV1,0.1,3.40817717364972,0.9672951283791977,1,2,IRMv1,6,True
0.0,VREX,0.1,3.408029990550626,0.9673370493322954,1,2,IRMv1,6,True
0.0,L2,0.0,3.6943187949642615,0.9945364926149988,1,2,ERM,7,True
0.0,L2,0.1,3.6516845819055086,0.7129557917563485,1,2,ERM,7,True
0.0,IRMV1,0.1,3.69365753416522,0.9930025286455025,1,2,ERM,7,True
