E_norm,lambda,method,representation_method,seed,setting,source_visible_modes
3.6995334919338467,0.0,L2,ERM,0,cleanroom_cpu_source_target_coupled,2
3.667259867681993,0.1,L2,ERM,0,cleanroom_cpu_source_target_coupled,2
3.698813709797717,0.1,IRMV1,ERM,0,cleanroom_cpu_source_target_coupled,2
3.698699303953435,0.1,VREX,ERM,0,cleanroom_cpu_source_target_coupled,2
3.374201980491418,0.0,L2,IRMv1,0,cleanroom_cpu_source_target_coupled,2
3.3431122719963384,0.1,L2,IRMv1,0,cleanroom_cpu_source_target_coupled,2
3.37356350684871,0.1,IRMV1,IRMv1,0,cleanroom_cpu_source_target_coupled,2
3.3734401592801597,0.1,VREX,IRMv1,0,cleanroom_cpu_source_target_coupled,2
3.7409590631450085,0.0,L2,ERM,1,cleanroom_cpu_source_target_coupled,2
3.703839389748321,0.1,L2,ERM,1,cleanroom_cpu_source_target_coupled,2
3.7403500893129555,0.1,IRMV1,ERM,1,cleanroom_cpu_source_target_coupled,2
3.740202810851601,0.1,VREX,ERM,1,cleanroom_cpu_source_target_coupled,2
3.380968405670487,0.0,L2,IRMv1,1,cleanroom_cpu_source_target_coupled,2
3.3451974427956386,0.1,L2,IRMv1,1,cleanroom_cpu_source_target_coupled,2
3.380412541698212,0.1,IRMV1,IRMv1,1,cleanroom_cpu_source_target_coupled,2
3.380282887270776,0.1,VREX,IRMv1,1,cleanroom_cpu_source_target_coupled,2
3.7092793153394394,0.0,L2,ERM,2,cleanroom_cpu_source_target_coupled,2
3.6630965279847714,0.1,L2,ERM,2,cleanroom_cpu_source_target_coupled,2
3.708597847451058,0.1,IRMV1,ERM,2,cleanroom_cpu_source_target_coupled,2
3.7084618752503284,0.1,VREX,ERM,2,cleanroom_cpu_source_target_coupled,2
3.351427674976121,0.0,L2,IRMv1,2,cleanroom_cpu_source_target_coupled,2
3.3381149741994376,0.1,L2,IRMv1,2,cleanroom_cpu_source_target_coupled,2
3.350773467774878,0.1,IRMV1,IRMv1,2,cleanroom_cpu_source_target_coupled,2
3.3506623764537995,0.1,VREX,IRMv1,2,cleanroom_cpu_source_target_coupled,2
3.766043953791835,0.0,L2,ERM,3,cleanroom_cpu_source_target_coupled,2
3.7270734006727437,0.1,L2,ERM,3,cleanroom_cpu_source_target_coupled,2
3.765417661677081,0.1,IRMV1,ERM,3,cleanroom_cpu_source_target_coupled,2
3.765326539007795,0.1,VREX,ERM,3,cleanroom_cpu_source_target_coupled,2
3.373572908195296,0.0,L2,IRMv1,3,cleanroom_cpu_source_target_coupled,2
3.3233118568865216,0.1,L2,IRMv1,3,cleanroom_cpu_source_target_coupled,2
3.372913896187949,0.1,IRMV1,IRMv1,3,cleanroom_cpu_source_target_coupled,2
3.3728350413103882,0.1,VREX,IRMv1,3,cleanroom_cpu_source_target_coupled,2
3.6591976038993255,0.0,L2,ERM,4,cleanroom_cpu_source_target_coupled,2
3.6190785770903964,0.1,L2,ERM,4,cleanroom_cpu_source_target_coupled,2
3.6585185705271948,0.1,IRMV1,ERM,4,cleanroom_cpu_source_target_coupled,2
3.6584246648055676,0.1,VREX,ERM,4,cleanroom_cpu_source_target_coupled,2
3.2646187357961587,0.0,L2,IRMv1,4,cleanroom_cpu_source_target_coupled,2
3.249137815432634,0.1,L2,IRMv1,4,cleanroom_cpu_source_target_coupled,2
3.2639910731867388,0.1,IRMV1,IRMv1,4,cleanroom_cpu_source_target_coupled,2
3.263887084567816,0.1,VREX,IRMv1,4,cleanroom_cpu_source_target_coupled,2
3.7807833689052814,0.0,L2,ERM,5,cleanroom_cpu_source_target_coupled,2
3.7424252524392743,0.1,L2,ERM,5,cleanroom_cpu_source_target_coupled,2
3.7801055127729724,0.1,IRMV1,ERM,5,cleanroom_cpu_source_target_coupled,2
3.7800011103838522,0.1,VREX,ERM,5,cleanroom_cpu_source_target_coupled,2
3.441049734519437,0.0,L2,IRMv1,5,cleanroom_cpu_source_target_coupled,2
3.424858021600642,0.1,L2,IRMv1,5,cleanroom_cpu_source_target_coupled,2
3.4404274801950554,0.1,IRMV1,IRMv1,5,cleanroom_cpu_source_target_coupled,2
3.4403125183487666,0.1,VREX,IRMv1,5,cleanroom_cpu_source_target_coupled,2
3.748572279567711,0.0,L2,ERM,6,cleanroom_cpu_source_target_coupled,2
3.699140920269632,0.1,L2,ERM,6,cleanroom_cpu_source_target_coupled,2
3.747980100747258,0.1,IRMV1,ERM,6,cleanroom_cpu_source_target_coupled,2
3.7478133077622693,0.1,VREX,ERM,6,cleanroom_cpu_source_target_coupled,2
3.4087903148534786,0.0,L2,IRMv1,6,cleanroom_cpu_source_target_coupled,2
3.3825029083238993,0.1,L2,IRMv1,6,cleanroom_cpu_source_target_coupled,2
3.40817717364972,0.1,IRMV1,IRMv1,6,cleanroom_cpu_source_target_coupled,2
3.408029990550626,0.1,VREX,IRMv1,6,cleanroom_cpu_source_target_coupled,2
3.6943187949642615,0.0,L2,ERM,7,cleanroom_cpu_source_target_coupled,2
3.6516845819055086,0.1,L2,ERM,7,cleanroom_cpu_source_target_coupled,2
3.69365753416522,0.1,IRMV1,ERM,7,cleanroom_cpu_source_target_coupled,2
3.6935276282459797,0.1,VREX,ERM,7,cleanroom_cpu_source_target_coupled,2
3.3386653144203833,0.0,L2,IRMv1,7,cleanroom_cpu_source_target_coupled,2
3.2933446525144126,0.1,L2,IRMv1,7,cleanroom_cpu_source_target_coupled,2
3.3380383262794946,0.1,IRMV1,IRMv1,7,cleanroom_cpu_source_target_coupled,2
3.3379202660123446,0.1,VREX,IRMv1,7,cleanroom_cpu_source_target_coupled,2
3.709135093757934,0.0,L2,ERM,8,cleanroom_cpu_source_target_coupled,2
3.63634606473915,0.1,L2,ERM,8,cleanroom_cpu_source_target_coupled,2
3.708497170154351,0.1,IRMV1,ERM,8,cleanroom_cpu_source_target_coupled,2
3.7083558603078695,0.1,VREX,ERM,8,cleanroom_cpu_source_target_coupled,2
3.3679047653689844,0.0,L2,IRMv1,8,cleanroom_cpu_source_target_coupled,2
3.3207461722363787,0.1,L2,IRMv1,8,cleanroom_cpu_source_target_coupled,2
3.3673004809202003,0.1,IRMV1,IRMv1,8,cleanroom_cpu_source_target_coupled,2
3.367170066430997,0.1,VREX,IRMv1,8,cleanroom_cpu_source_target_coupled,2
3.722335995343451,0.0,L2,ERM,9,cleanroom_cpu_source_target_coupled,2
3.682359608271518,0.1,L2,ERM,9,cleanroom_cpu_source_target_coupled,2
3.721678777044033,0.1,IRMV1,ERM,9,cleanroom_cpu_source_target_coupled,2
3.7215215706007045,0.1,VREX,ERM,9,cleanroom_cpu_source_target_coupled,2
3.364394548973256,0.0,L2,IRMv1,9,cleanroom_cpu_source_target_coupled,2
3.3408107325947127,0.1,L2,IRMv1,9,cleanroom_cpu_source_target_coupled,2
3.3637465395211352,0.1,IRMV1,IRMv1,9,cleanroom_cpu_source_target_coupled,2
3.3636403383704607,0.1,VREX,IRMv1,9,cleanroom_cpu_source_target_coupled,2
