E00_operator_norm,E0K_operator_norm,EC0_operator_norm,ECK_operator_norm,Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,common_base_kind,filtering_norm,interaction_norm,lambda,method,sensing_norm,setting,symmetric_identity_residual
2.747766954617418e-12,2.747766954617418e-12,2.747766954617418e-12,2.747766954617418e-12,1.7278875543913745,1.7278875543913745,1.7278875543913745,1.7278875543913745,ERM_source_solution,0.0,0.0,0.0,L2,0.0,hidden_u_hurts,0.0
2.747766954617418e-12,0.00020166039061543457,2.747766954617418e-12,0.00020166039061543457,1.7278875543913745,1.7266946571716404,1.7278875543913745,1.7266946571716404,ERM_source_solution,0.0012357181163770558,0.0,0.001,L2,0.0,hidden_u_hurts,0.0
2.747766954617418e-12,0.0019998235116627005,2.747766954617418e-12,0.0019998235116627005,1.7278875543913745,1.7160402155806374,1.7278875543913745,1.7160402155806374,ERM_source_solution,0.012270699156460101,0.0,0.01,L2,0.0,hidden_u_hurts,0.0
2.747766954617418e-12,0.018462056806497276,2.747766954617418e-12,0.018462056806497276,1.7278875543913745,1.6169636133182623,1.7278875543913745,1.6169636133182623,ERM_source_solution,0.1147169959349886,0.0,0.1,L2,0.0,hidden_u_hurts,0.0
2.747766954617418e-12,0.00032320316995466535,0.00032325008897159894,3.1874702548728415e-06,1.7278875543913745,1.7277787063817667,1.7279928696276055,1.7278834676134054,ERM_source_solution,0.0006536462780252576,1.945848799724681e-06,0.001,IRMV1,0.0006611959521379382,hidden_u_hurts,0.0
2.747766954617418e-12,0.003147539027983527,0.003232500900534775,3.124840439075189e-05,1.7278875543913745,1.7268370759101543,1.728951829762914,1.7278473893881534,ERM_source_solution,0.006450624438901515,0.00018949798457184645,0.01,IRMV1,0.006528202859996224,hidden_u_hurts,0.0
2.747766954617418e-12,0.024952295333961892,0.03232500901616673,0.0002661501529771891,1.7278875543913745,1.7201349451509063,1.739635516299626,1.7275465254753828,ERM_source_solution,0.05788203492149919,0.015022557275329819,0.1,IRMV1,0.05882790573364442,hidden_u_hurts,1.0842021724855044e-19
2.747766954617418e-12,3.18947094994468e-07,4.232790968655095e-07,3.3300009454461535e-07,1.7278875543913745,1.727887063284079,1.7278875553095607,1.7278870642022641,ERM_source_solution,1.351674277345709e-06,6.132638481353732e-11,0.001,VREX,5.632975888656097e-05,hidden_u_hurts,1.2731145380038284e-21
2.747766954617418e-12,3.1894560810438894e-06,4.232782102793215e-06,3.3300372155012337e-06,1.7278875543913745,1.727882643506038,1.7278876462099724,1.7278827353233983,ERM_source_solution,1.3516644382027228e-05,6.132558052672393e-09,0.01,VREX,0.0005632955203566047,hidden_u_hurts,1.124563843489493e-20
2.747766954617418e-12,3.1893152519742686e-05,4.232781216278558e-05,3.330416223395072e-05,1.7278875543913745,1.7278384642986728,1.7278967362269857,1.7278476448969236,ERM_source_solution,0.0001351569187477731,6.131756391909139e-07,0.1,VREX,0.005632748392563483,hidden_u_hurts,1.4382609467543614e-19
2.747766954617418e-12,2.747766954617418e-12,2.747766954617418e-12,2.747766954617418e-12,1.7278875543913745,1.7278875543913745,1.7278875543913745,1.7278875543913745,ERM_source_solution,0.0,0.0,0.0,L2,0.0,u_exposed_complete_information,0.0
2.747766954617418e-12,0.00022202777889879233,2.747766954617418e-12,0.00022202777889879233,1.7278875543913745,1.7266946571716404,1.7278875543913745,1.7266946571716404,ERM_source_solution,0.0012357181163770558,0.0,0.001,L2,0.0,u_exposed_complete_information,0.0
