lambda,method,relative_error,setting
0.001,L2,6.657492864269441e-09,hidden_u_hurts
0.01,L2,6.527921736348003e-09,hidden_u_hurts
0.1,L2,5.374868012761077e-09,hidden_u_hurts
0.001,IRMV1,6.208973192447137e-08,hidden_u_hurts
0.01,IRMV1,5.7492261519408885e-08,hidden_u_hurts
0.1,IRMV1,2.7984817342107945e-08,hidden_u_hurts
0.001,VREX,1.7851105719247501e-09,hidden_u_hurts
0.01,VREX,1.1820071839068507e-09,hidden_u_hurts
0.1,VREX,2.0527007754316518e-09,hidden_u_hurts
0.001,L2,6.657492864269441e-09,u_exposed_complete_information
0.01,L2,6.527921736348003e-09,u_exposed_complete_information
0.1,L2,5.374868012761077e-09,u_exposed_complete_information
0.001,IRMV1,6.208973192447137e-08,u_exposed_complete_information
0.01,IRMV1,5.7492261519408885e-08,u_exposed_complete_information
0.1,IRMV1,2.7984817342107945e-08,u_exposed_complete_information
0.001,VREX,1.7851105719247501e-09,u_exposed_complete_information
0.01,VREX,1.1820071839068507e-09,u_exposed_complete_information
0.1,VREX,2.0527007754316518e-09,u_exposed_complete_information
