adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,0.0,0.0,1.1123977693156401e-16,cmnist_erm,0.0,L2,-13.68654805794024,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,7.006328859705253e-18,cmnist_erm,0.1,L2,-13.44879493711094,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.1102314949223176e-16,cmnist_erm,0.1,IRMV1,-13.681128117036685,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,3.469446951953614e-18,cmnist_erm,0.1,VREX,-13.680319500091278,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.788112030672749e-18,cmnist_erm,0.0,L2,-13.994774712126787,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,4.503029819097855e-19,cmnist_erm,0.1,L2,-13.718426225051216,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,4.4702800766818725e-19,cmnist_erm,0.1,IRMV1,-13.99013748943369,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,9.69739903612216e-19,cmnist_erm,0.1,VREX,-13.989063528606586,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,2.4532694666933987e-18,cmnist_erm,0.0,L2,-13.75875303920502,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.3918491576007438e-17,cmnist_erm,0.1,L2,-13.418276173334078,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,7.757919228897728e-18,cmnist_erm,0.1,IRMV1,-13.753612120517452,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,7.152448122690996e-18,cmnist_erm,0.1,VREX,-13.752633490765291,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,0.0,cmnist_erm,0.0,L2,-14.18308706189204,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,3.0785423829313594e-19,cmnist_erm,0.1,L2,-13.891076134002285,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,3.9747508192403134e-18,cmnist_erm,0.1,IRMV1,-14.178286250858182,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.734723475976807e-18,cmnist_erm,0.1,VREX,-14.17763446188942,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,3.878959614448864e-18,cmnist_erm,0.0,L2,-13.38972710438256,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,6.946513017424995e-18,cmnist_erm,0.1,L2,-13.097729747154641,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.788112030672749e-18,cmnist_erm,0.1,IRMV1,-13.384668428743886,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,5.555179393437025e-17,cmnist_erm,0.1,VREX,-13.384019263825904,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,8.673617379884035e-19,cmnist_erm,0.0,L2,-14.294322882590771,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,0.0,cmnist_erm,0.1,L2,-14.00574677009516,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.3886255553924106e-17,cmnist_erm,0.1,IRMV1,-14.289107409527853,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.3877787807814457e-17,cmnist_erm,0.1,VREX,-14.288352257588334,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.393864076242399e-17,cmnist_erm,0.0,L2,-14.051794135143467,False,6,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,2.782663541956981e-17,cmnist_erm,0.1,L2,-13.683643548013253,False,6,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.390528912920397e-17,cmnist_erm,0.1,IRMV1,-14.047271423475912,False,6,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.734723475976807e-18,cmnist_erm,0.1,VREX,-14.04605064404724,False,6,cleanroom_cpu_source_target_coupled,inf,False
