adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,0.0,0.0,1.734723475976807e-18,cmnist_irmv1,0.0,L2,-11.385239005152197,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,6.938893903907228e-18,cmnist_irmv1,0.1,L2,-11.176399663172528,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,0.0,cmnist_irmv1,0.1,IRMV1,-11.380862980638927,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,0.0,cmnist_irmv1,0.1,VREX,-11.380060068483568,False,0,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,3.878959614448864e-18,cmnist_irmv1,0.0,L2,-11.43094736014204,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,7.375762913492778e-18,cmnist_irmv1,0.1,L2,-11.190345931286474,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,7.757919228897728e-18,cmnist_irmv1,0.1,IRMV1,-11.427124301989467,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,0.0,cmnist_irmv1,0.1,VREX,-11.42627633217281,False,1,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,4.0682871653286484e-18,cmnist_irmv1,0.0,L2,-11.232067460595843,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,3.610572302366922e-18,cmnist_irmv1,0.1,L2,-11.143011580974514,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,6.208759259556274e-17,cmnist_irmv1,0.1,IRMV1,-11.227609026842243,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.0842021724855044e-19,cmnist_irmv1,0.1,VREX,-11.2268990018788,False,2,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,6.938893903907228e-18,cmnist_irmv1,0.0,L2,-11.38099416690927,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,6.938893903907228e-18,cmnist_irmv1,0.1,L2,-11.044401698122542,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,5.597004042492165e-17,cmnist_irmv1,0.1,IRMV1,-11.376469580069774,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,0.0,cmnist_irmv1,0.1,VREX,-11.37597779459347,False,3,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,1.9873754096201567e-18,cmnist_irmv1,0.0,L2,-10.657735490111316,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,2.8025315438821013e-17,cmnist_irmv1,0.1,L2,-10.55689654367435,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,2.78232557346822e-17,cmnist_irmv1,0.1,IRMV1,-10.653578710173196,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,0.0,cmnist_irmv1,0.1,VREX,-10.652925818920966,False,4,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,7.949501638480627e-18,cmnist_irmv1,0.0,L2,-11.840823275436291,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,5.561946577567963e-17,cmnist_irmv1,0.1,L2,-11.729652468122266,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,3.469446951953614e-18,cmnist_irmv1,0.1,IRMV1,-11.836473706339621,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,5.553824967135427e-17,cmnist_irmv1,0.1,VREX,-11.835709310097089,False,5,cleanroom_cpu_source_target_coupled,inf,False
False,0.0,0.0,0.0,2.7809732887839817e-17,cmnist_irmv1,0.0,L2,-11.619851410638873,False,6,cleanroom_cpu_source_target_coupled,inf,False
