adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
True,0.319942029393104,0.0,0.0,0.0,gaussian,0.0,L2,0.0,True,,hidden_u_hurts,1.9073820105326317e-23,True
True,0.319942029393104,0.0,0.0,6.720915928543027e-24,gaussian,0.001,L2,0.0,False,,hidden_u_hurts,7.563756635428283e-07,True
True,0.319942029393104,0.0,0.0,2.244403904152234e-22,gaussian,0.01,L2,0.0,False,,hidden_u_hurts,7.409198203672258e-05,True
True,0.319942029393104,0.0,0.0,5.421345901750302e-20,gaussian,0.1,L2,0.0,False,,hidden_u_hurts,0.006088242737943651,True
True,0.319942029393104,0.0,0.0,5.711963089866095e-28,gaussian,0.001,IRMV1,0.0,False,,hidden_u_hurts,1.231690048352228e-10,True
True,0.319942029393104,0.0,0.0,2.948377546719533e-26,gaussian,0.01,IRMV1,0.0,False,,hidden_u_hurts,1.1801124426061701e-08,True
True,0.319942029393104,0.0,0.0,1.9014028723827937e-24,gaussian,0.1,IRMV1,0.0,False,,hidden_u_hurts,8.354289246019261e-07,True
True,0.319942029393104,0.0,0.0,1.586921622027234e-30,gaussian,0.001,VREX,0.0,False,,hidden_u_hurts,9.274601977930782e-13,True
True,0.319942029393104,0.0,0.0,4.039468665775645e-28,gaussian,0.01,VREX,0.0,False,,hidden_u_hurts,9.274262003584337e-11,True
True,0.319942029393104,0.0,0.0,8.202211606004101e-26,gaussian,0.1,VREX,0.0,False,,hidden_u_hurts,9.270902883106455e-09,True
True,0.0,0.0,0.0,0.0,gaussian,0.0,L2,-1.9524515814912364e-24,True,,u_exposed_complete_information,0.0,True
False,0.0,0.0,0.0,6.720915928543027e-24,gaussian,0.001,L2,-7.742480805265063e-08,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,2.244403904152234e-22,gaussian,0.01,L2,-7.584270308967789e-06,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,5.421345901750302e-20,gaussian,0.1,L2,-0.0006232101957845979,False,,u_exposed_complete_information,inf,False
True,0.0,0.0,0.0,5.711963089866095e-28,gaussian,0.001,IRMV1,-1.2607936792592407e-11,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,2.948377546719533e-26,gaussian,0.01,IRMV1,-1.2079973451466517e-09,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,1.9014028723827937e-24,gaussian,0.1,IRMV1,-8.551692928083465e-08,False,,u_exposed_complete_information,inf,False
True,0.0,0.0,0.0,1.586921622027234e-30,gaussian,0.001,VREX,-1.2266307705937068e-13,False,,u_exposed_complete_information,inf,False
True,0.0,0.0,0.0,4.039468665775645e-28,gaussian,0.01,VREX,-1.2265897528728317e-11,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,8.202211606004101e-26,gaussian,0.1,VREX,-1.22617968847773e-09,False,,u_exposed_complete_information,inf,False
