count,direction,lambda,mean_E_change,median_E_change,method,setting,stable_direction
5,helps,0.001,-0.0003313335041443821,-0.0003027942703326403,IRMV1,declared_source_target_coupled_correlation,True
5,mixed,0.01,-0.0017060571091167987,-0.001494734742793824,IRMV1,declared_source_target_coupled_correlation,False
5,mixed,0.1,0.008182935437405803,0.011692367387148295,IRMV1,declared_source_target_coupled_correlation,False
5,mixed,0.001,-0.014058549280726852,-0.01191392658054724,L2,declared_source_target_coupled_correlation,False
5,mixed,0.01,-0.05321052252777107,-0.05380586428330503,L2,declared_source_target_coupled_correlation,False
5,mixed,0.1,-0.24643287778411677,-0.2394698869667149,L2,declared_source_target_coupled_correlation,False
5,helps,0.001,-0.00011812762387535259,-7.811741676100326e-05,VREX,declared_source_target_coupled_correlation,True
5,helps,0.01,-0.0011783033155342792,-0.0007796858099595738,VREX,declared_source_target_coupled_correlation,True
5,helps,0.1,-0.01149366153807243,-0.007650572158134139,VREX,declared_source_target_coupled_correlation,True
1,hurts,0.001,3.1874675071058867e-06,3.1874675071058867e-06,IRMV1,hidden_u_hurts,True
1,hurts,0.01,3.124840164298494e-05,3.124840164298494e-05,IRMV1,hidden_u_hurts,True
1,hurts,0.1,0.00026615015022942216,0.00026615015022942216,IRMV1,hidden_u_hurts,True
1,hurts,0.001,0.0002016603878676676,0.0002016603878676676,L2,hidden_u_hurts,True
1,hurts,0.01,0.0019998235089149336,0.0019998235089149336,L2,hidden_u_hurts,True
1,hurts,0.1,0.01846205680374951,0.01846205680374951,L2,hidden_u_hurts,True
1,hurts,0.001,3.329973467776607e-07,3.329973467776607e-07,VREX,hidden_u_hurts,True
1,hurts,0.01,3.330034467734279e-06,3.330034467734279e-06,VREX,hidden_u_hurts,True
1,hurts,0.1,3.3304159486183766e-05,3.3304159486183766e-05,VREX,hidden_u_hurts,True
5,mixed,0.001,-0.0002889891386040233,-0.00026550662057367447,IRMV1,irrelevant_source_diversity,False
5,mixed,0.01,-0.001307156090909345,-0.0011256898271536642,IRMV1,irrelevant_source_diversity,False
5,mixed,0.1,0.011431492323475822,0.015043211889233632,IRMV1,irrelevant_source_diversity,False
5,mixed,0.001,-0.014375163821976854,-0.014081657340899056,L2,irrelevant_source_diversity,False
5,mixed,0.01,-0.055244705582762774,-0.061451242433431474,L2,irrelevant_source_diversity,False
5,mixed,0.1,-0.2409726369426398,-0.22802924075950592,L2,irrelevant_source_diversity,False
5,helps,0.001,-0.00011212987733841829,-7.333418258781421e-05,VREX,irrelevant_source_diversity,True
5,helps,0.01,-0.0011184232940088634,-0.0007319208951770406,VREX,irrelevant_source_diversity,True
5,helps,0.1,-0.01090438031210148,-0.007179553905638514,VREX,irrelevant_source_diversity,True
5,mixed,0.001,-0.0004924467909852126,-0.0004526129930102485,IRMV1,mechanism_defined_exposed,False
5,mixed,0.01,-0.002505636638498032,-0.002290655335796643,IRMV1,mechanism_defined_exposed,False
5,mixed,0.1,0.009119207534974905,0.01152459677580886,IRMV1,mechanism_defined_exposed,False
5,helps,0.001,-0.04116021586454259,-0.035323111721844214,L2,mechanism_defined_exposed,True
5,mixed,0.01,-0.15694638548354192,-0.14961646176760723,L2,mechanism_defined_exposed,False
5,helps,0.1,-0.5648806092170258,-0.5951790144020563,L2,mechanism_defined_exposed,True
5,helps,0.001,-0.00026333637586084535,-0.00017556329013324046,VREX,mechanism_defined_exposed,True
5,helps,0.01,-0.002627728175703936,-0.001752859514979832,VREX,mechanism_defined_exposed,True
5,helps,0.1,-0.02572681165000503,-0.0172555010198856,VREX,mechanism_defined_exposed,True
5,helps,0.001,-0.0003313335041443821,-0.0003027942703308639,IRMV1,mechanism_defined_hidden,True
5,mixed,0.01,-0.0017060571091167987,-0.001494734742793824,IRMV1,mechanism_defined_hidden,False
5,mixed,0.1,0.008182935437406159,0.011692367387148295,IRMV1,mechanism_defined_hidden,False
5,mixed,0.001,-0.014058549280727205,-0.011913926580545464,L2,mechanism_defined_hidden,False
5,mixed,0.01,-0.053210522527771434,-0.05380586428330503,L2,mechanism_defined_hidden,False
5,mixed,0.1,-0.2464328777841164,-0.2394698869667149,L2,mechanism_defined_hidden,False
5,helps,0.001,-0.00011812762387606313,-7.811741676100326e-05,VREX,mechanism_defined_hidden,True
5,helps,0.01,-0.001178303315533924,-0.0007796858099577975,VREX,mechanism_defined_hidden,True
5,helps,0.1,-0.01149366153807243,-0.007650572158135915,VREX,mechanism_defined_hidden,True
1,hurts,0.001,3.1874675071058867e-06,3.1874675071058867e-06,IRMV1,u_exposed_complete_information,True
1,hurts,0.01,3.124840164298494e-05,3.124840164298494e-05,IRMV1,u_exposed_complete_information,True
1,hurts,0.1,0.00026615015022942226,0.00026615015022942226,IRMV1,u_exposed_complete_information,True
1,hurts,0.001,0.00022202777615102536,0.00022202777615102536,L2,u_exposed_complete_information,True
1,hurts,0.01,0.002206496751687361,0.002206496751687361,L2,u_exposed_complete_information,True
1,hurts,0.1,0.02077545645134974,0.02077545645134974,L2,u_exposed_complete_information,True
1,hurts,0.001,6.83460543584095e-07,6.83460543584095e-07,VREX,u_exposed_complete_information,True
1,hurts,0.01,6.8346301665762095e-06,6.8346301665762095e-06,VREX,u_exposed_complete_information,True
1,hurts,0.1,6.83463263967194e-05,6.83463263967194e-05,VREX,u_exposed_complete_information,True
