count,direction,lambda,mean_E_change,median_E_change,method,representation_method,setting,stable_direction
10,helps,0.001,-8.680359292245754e-06,-8.724694555706236e-06,IRMV1,ERM,source_only_common_projection_erm,True
9,helps,0.01,-8.630265770677899e-05,-8.664858450702084e-05,IRMV1,ERM,source_only_common_projection_erm,True
8,helps,0.1,-0.0007911606038544794,-0.0007915526348474256,IRMV1,ERM,source_only_common_projection_erm,True
10,helps,0.001,-0.013436441453183567,-0.013350823731063555,L2,ERM,source_only_common_projection_erm,True
10,helps,0.01,-0.031438529748906464,-0.032139719887963825,L2,ERM,source_only_common_projection_erm,True
10,helps,0.1,-0.05901000340151215,-0.05872080159947335,L2,ERM,source_only_common_projection_erm,True
10,helps,0.001,-9.449268148919998e-06,-9.372551295294684e-06,VREX,ERM,source_only_common_projection_erm,True
8,helps,0.01,-9.426531611994582e-05,-9.361994932510775e-05,VREX,ERM,source_only_common_projection_erm,True
9,helps,0.1,-0.0009322134948134892,-0.0009243171448933829,VREX,ERM,source_only_common_projection_erm,True
10,helps,0.001,-8.057467344269042e-06,-8.065667288503775e-06,IRMV1,IRMv1,source_only_common_projection_irmv1,True
9,helps,0.01,-7.984107977065946e-05,-8.028272422233584e-05,IRMV1,IRMv1,source_only_common_projection_irmv1,True
9,helps,0.1,-0.0007155519765741975,-0.0007169083301357126,IRMV1,IRMv1,source_only_common_projection_irmv1,True
10,mixed,0.001,-0.001198249688170261,-0.0017744771076908528,L2,IRMv1,source_only_common_projection_irmv1,False
10,mixed,0.01,-0.003980249084859988,-0.003805013381463551,L2,IRMv1,source_only_common_projection_irmv1,False
10,helps,0.1,-0.027553967882308728,-0.025299373182793516,L2,IRMv1,source_only_common_projection_irmv1,True
10,helps,0.001,-8.538170192284867e-06,-8.574992150789384e-06,VREX,IRMv1,source_only_common_projection_irmv1,True
10,helps,0.01,-8.526031535076584e-05,-8.562700295322578e-05,VREX,IRMv1,source_only_common_projection_irmv1,True
9,helps,0.1,-0.0008369666390673183,-0.0008435770823331801,VREX,IRMv1,source_only_common_projection_irmv1,True
