A_target_posthoc_only,E_change_operator_norm,E_operator_norm,O_Pi_source_images_labels_only,audit_mode,baseline_E_operator_norm,common_base_attribution_status,decomposition_residual,dim_kernel_O,head_method,lambda,method,norm_A_irr,norm_A_rec,norm_E,norm_PiO,projection_dimension,rank_A,rank_A_irr,rank_O,representation_method,seed,setting,slack_ratio,snapshot_passes,support_compatible,target_accuracy
True,0.0,3.718272842641359,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,3.0484483236677624,3.71827284264136,1.0350776843287548,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-0.007221189387666804,3.7110516532536924,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,3.0484483236677624,3.711051653253692,1.0013224939771548,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-0.01923817825880869,3.6990346643825505,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,3.0484483236677624,3.699034664382551,0.9333075342668019,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-0.03758772934658161,3.6806851132947775,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,3.0484483236677624,3.680685113294777,0.7406614968469643,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-8.840745866045552e-06,3.718264001895493,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,3.0484483236677624,3.718264003234875,1.0350581611819,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-8.759874088193342e-05,3.718185243900477,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.01,IRMV1,0.0,3.0484483236677624,3.7181853778232936,1.0348836574589138,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-0.0008065803599683896,3.7174662622813908,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.1,IRMV1,0.0,3.0484483236677624,3.7174796419389797,1.033248274097322,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-9.387037901209538e-06,3.718263455603458,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,3.0484483236677624,3.718263456451641,1.0350611068351425,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-9.376413759021318e-05,3.718179078503769,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.01,VREX,0.0,3.0484483236677624,3.7181791632832386,1.0349125259264063,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,-0.0009270658155240419,3.717345776825835,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,3.0484483236677624,3.7173542160215525,1.0334875279791174,62,1,0,2,ERM,0,source_only_common_projection_erm,inf,True,False,0.09870000183582306
True,0.0,3.51678623138552,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,2.787726434860307,3.51678623138552,0.9963047171075646,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-0.002806343926363475,3.5139798874591563,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,2.787726434860307,3.513979887459157,0.9748758679867944,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-0.004125389346846475,3.5126608420386733,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,2.787726434860307,3.5126608420386725,0.9451816075948389,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-0.023854606761279484,3.4929316246242403,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,2.787726434860307,3.492931624624241,0.8750223775191673,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-8.13306914970724e-06,3.51677809831637,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,2.787726434860307,3.516778099487537,0.9962899057331551,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-8.042647428219141e-05,3.5167058049112376,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.01,IRMV1,0.0,2.787726434860307,3.5167059219899404,0.9961579801055874,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-0.0007267737686067477,3.516059457616913,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.1,IRMV1,0.0,2.787726434860307,3.516071152515374,0.9949620707271487,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-8.572029808640025e-06,3.516777659355711,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,2.787726434860307,3.5167776600568352,0.996291606668029,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-8.559596970858507e-05,3.5167006354158112,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.01,VREX,0.0,2.787726434860307,3.516700705500351,0.9961742455960778,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,-0.0008435770823331801,3.5159426543031866,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.51678623138552,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,2.787726434860307,3.51594963485982,0.995063084410415,62,1,0,2,IRMv1,0,source_only_common_projection_irmv1,inf,True,False,0.661899983882904
True,0.0,3.7552514325919124,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,3.097282959927571,3.755251432591912,1.0397654357371418,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,-0.01337075016976419,3.741880682422148,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,3.097282959927571,3.7418806824221487,0.9878763010485292,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,-0.03451201824831163,3.720739414343601,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,3.097282959927571,3.720739414343601,0.9065378134641984,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,-0.0636719178215972,3.691579514770315,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,3.097282959927571,3.691579514770315,0.7007755075371107,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,-8.707083854808673e-06,3.7552427255080576,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,3.097282959927571,3.7552427268959176,1.0397454180668355,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,-8.623672394625359e-05,3.755165195867966,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.01,IRMV1,0.0,3.097282959927571,3.755165334633401,1.0395664752055793,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,-9.323737823585532e-06,3.755242108854089,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.001,VREX,0.0,3.097282959927571,3.7552421097277744,1.039748588234553,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,-0.0009210985905165892,3.754330334001396,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.7552514325919124,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,VREX,0.1,VREX,0.0,3.097282959927571,3.7543390265315257,1.0381482480735742,56,1,0,2,ERM,1,source_only_common_projection_erm,inf,True,False,0.11010000109672546
True,0.0,3.548478039927742,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.0,L2,0.0,2.8400927778621705,3.5484780399277427,0.983247674892452,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-0.0008558883977092258,3.5476221515300326,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.001,L2,0.0,2.8400927778621705,3.5476221515300326,0.9662002198869594,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-0.007302206263418487,3.5411758336643233,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.01,L2,0.0,2.8400927778621705,3.541175833664323,0.9359098889050067,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-0.03945168604675864,3.509026353880983,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,L2,0.1,L2,0.0,2.8400927778621705,3.509026353880983,0.8664329996805229,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
True,-7.4752876675354685e-06,3.5484705646400743,True,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,IRMV1,0.001,IRMV1,0.0,2.8400927778621705,3.5484705658174525,0.9832334028476549,56,1,0,2,IRMv1,1,source_only_common_projection_irmv1,inf,True,False,0.6833999752998352
