A_target_posthoc_only,E00_operator_norm,E0K_operator_norm,EC0_operator_norm,ECK_operator_norm,E_change_operator_norm,O_Pi_source_images_labels_only,Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,audit_mode,common_base_attribution_status,common_base_kind,direction,filtering_norm,interaction_norm,lambda,method,projection_dimension,representation_method,seed,sensing_norm,setting,symmetric_identity_residual
True,3.718272842641359,NA,NA,3.718272842641359,0.0,True,1.0350776843287548,NA,NA,1.0350776843287548,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,neutral,NA,NA,0.0,L2,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.7110516532536924,-0.007221189387666804,True,1.0350776843287548,NA,NA,1.0013224939771548,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,L2,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.6990346643825505,-0.01923817825880869,True,1.0350776843287548,NA,NA,0.9333075342668019,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,L2,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.6806851132947775,-0.03758772934658161,True,1.0350776843287548,NA,NA,0.7406614968469643,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,L2,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.718264001895493,-8.840745866045552e-06,True,1.0350776843287548,NA,NA,1.0350581599755304,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,IRMV1,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.718185243900477,-8.759874088193342e-05,True,1.0350776843287548,NA,NA,1.0348835363979998,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,IRMV1,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.7174662622813908,-0.0008065803599683896,True,1.0350776843287548,NA,NA,1.0332357556947898,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,IRMV1,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.718263455603458,-9.387037901209538e-06,True,1.0350776843287548,NA,NA,1.0350611068351423,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.718179078503769,-9.376413759021318e-05,True,1.0350776843287548,NA,NA,1.034912525926406,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,VREX,62,ERM,0,NA,source_only_common_projection_erm,NA
True,3.718272842641359,NA,NA,3.717345776825835,-0.0009270658155240419,True,1.0350776843287548,NA,NA,1.0334875279791174,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,VREX,62,ERM,0,NA,source_only_common_projection_erm,NA
