A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,adaptive_regret,audit_mode,common_base_attribution_status,decomposition_residual,dim_kernel_O,full_observation_recoverable_residual,information_floor,lambda,method,projection_dimension,rank_A,rank_O,representation_method,response_dimension,seed,setting,slack_ratio,snapshot_passes,source_dimension,source_state_dimension,spectral_gap_min,support_compatible,total_regret,world_dimension,zero_observation_E_norm
0.0,3.0484483236677624,True,3.718272842641359,True,1.0350776843287548,6.912776466162127,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.825552932324257,False,6.9127764661621285,2,0.0
0.0,3.0484483236677624,True,3.7110516532536924,True,1.0013224939771548,6.885952186558481,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.771904373116957,False,6.902345008868634,2,0.0
0.0,3.0484483236677624,True,3.6990346643825505,True,0.9333075342668019,6.841428724151864,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,L2,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.682857448303732,False,6.868181530877686,2,0.0
0.0,3.0484483236677624,True,3.6806851132947775,True,0.7406614968469643,6.773721451614895,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,L2,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.547442903229793,False,6.847098990765854,2,0.0
0.0,3.0484483236677624,True,3.718264001895493,True,1.0350581599755304,6.912743593895944,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,IRMV1,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.825487187791879,False,6.912751326789237,2,0.0
0.0,3.0484483236677624,True,3.718185243900477,True,1.0348835363979998,6.912450753979626,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,IRMV1,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.824901507959247,False,6.912527770265441,2,0.0
0.0,3.0484483236677624,True,3.7174662622813908,True,1.0332357556947898,6.909777705600187,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,IRMV1,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.819555411200382,False,6.910520665748098,2,0.0
0.0,3.0484483236677624,True,3.718263455603458,True,1.0350611068351423,6.912741562638084,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,VREX,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.825483125276168,False,6.912752650227478,2,0.0
0.0,3.0484483236677624,True,3.718179078503769,True,1.034912525926406,6.912427829911568,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,VREX,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.824855659823129,False,6.912538688897041,2,0.0
0.0,3.0484483236677624,True,3.717345776825835,True,1.0334875279791174,6.909329812242436,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,VREX,62,1,2,ERM,63,0,source_only_common_projection_erm,inf,True,63,4160,-13.818659624484857,False,6.910436722018259,2,0.0
0.0,2.787726434860306,True,3.51678623138552,True,0.9963047171075644,6.183892698631383,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,62,1,2,IRMv1,63,0,source_only_common_projection_irmv1,inf,True,63,4160,-12.367785397262768,False,6.183892698631382,2,0.0
0.0,2.787726434860306,True,3.5139798874591563,True,0.9748758679867945,6.174027324733733,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,62,1,2,IRMv1,63,0,source_only_common_projection_irmv1,inf,True,63,4160,-12.348054649467466,False,6.185608664547568,2,0.0
0.0,2.787726434860306,True,3.5126608420386733,True,0.9451816075948387,6.169393095595921,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,L2,62,1,2,IRMv1,63,0,source_only_common_projection_irmv1,inf,True,63,4160,-12.33878619119184,False,6.208832631045647,2,0.0
