A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_change_operator_norm,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,Pi_operator_norm,audit_mode,baseline_E_operator_norm,baseline_Pi_operator_norm,baseline_total_h_condition,baseline_z0_norm,common_base_attribution_status,lambda,method,observed_total_b_norm,observed_total_h_condition,projection_dimension,representation_method,seed,setting,z0_norm
0.0,3.0484483236677624,True,0.0,3.718272842641359,True,1.0350776843287548,93.4237363471328,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.0,L2,1.357144990001011,178681368.60246462,62,ERM,0,source_only_common_projection_erm,0.0
0.0,3.0484483236677624,True,-0.007221189387666804,3.7110516532536924,True,1.0013224939771548,4.845591812429601,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,L2,1.3598512490423165,3931.5740790019486,62,ERM,0,source_only_common_projection_erm,0.057826202939652745
0.0,3.0484483236677624,True,-0.01923817825880869,3.6990346643825505,True,0.9333075342668019,2.5493384115609707,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,L2,1.3601987306870342,394.0651897673268,62,ERM,0,source_only_common_projection_erm,0.07305155415296233
0.0,3.0484483236677624,True,-0.03758772934658161,3.6806851132947775,True,0.7406614968469643,1.1655205580044885,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,L2,1.3683963327305453,40.3065967970987,62,ERM,0,source_only_common_projection_erm,0.08630688760450701
0.0,3.0484483236677624,True,-8.840745866045552e-06,3.718264001895493,True,1.0350581599755304,93.42264208494701,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,IRMV1,1.3578077421164858,178761391.83516,62,ERM,0,source_only_common_projection_erm,4.095865100662487e-06
0.0,3.0484483236677624,True,-8.759874088193342e-05,3.718185243900477,True,1.0348835363979998,93.41285169932394,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,IRMV1,1.3637932248015074,179496970.83282176,62,ERM,0,source_only_common_projection_erm,4.091961828905237e-05
0.0,3.0484483236677624,True,-0.0008065803599683896,3.7174662622813908,True,1.0332357556947898,93.32049922215371,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,IRMV1,1.4255947183921303,188450481.98402098,62,ERM,0,source_only_common_projection_erm,0.0004059222821458304
0.0,3.0484483236677624,True,-9.387037901209538e-06,3.718263455603458,True,1.0350611068351423,93.422694391827,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,VREX,1.3571442360707682,178681813.99923202,62,ERM,0,source_only_common_projection_erm,4.095916886456179e-06
0.0,3.0484483236677624,True,-9.376413759021318e-05,3.718179078503769,True,1.034912525926406,93.4133710574763,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,VREX,1.3571382172071806,178685822.84669816,62,ERM,0,source_only_common_projection_erm,4.095424181183473e-05
0.0,3.0484483236677624,True,-0.0009270658155240419,3.717345776825835,True,1.0334875279791174,93.32549229529967,source_only_matrix_audit_no_high_dim_common_base_fd,3.718272842641359,93.4237363471328,178681368.60246462,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,VREX,1.357153743812699,178725938.6720597,62,ERM,0,source_only_common_projection_erm,0.00040905054316391705
