candidate_rank,common_to_erm_and_irmv1,condition_number_max,min_source_metric_eigenvalue,projection_dimension,seed,source_only_fit,target_used_for_fit
64,True,178681368.60246053,2.1998155695383854e-08,62,0,True,False
64,True,146102482.92062604,2.260023645911041e-08,56,1,True,False
64,True,91335415.5877335,3.4643996541515893e-08,64,2,True,False
64,True,31502261.91587026,1.0833720462629928e-07,64,3,True,False
64,True,132001419.25357695,2.0540473767865022e-08,62,4,True,False
64,True,27224843.506501775,1.1986005484705156e-07,62,5,True,False
64,True,84528685.24217452,3.5216814086530005e-08,64,6,True,False
64,True,284655274.1296401,1.1416756948263187e-08,58,7,True,False
64,True,50154178.11675015,5.9203485888126105e-08,62,8,True,False
64,True,108144257.87952678,2.9235871285122185e-08,64,9,True,False
