adaptive_condition_holds,alpha,audit_mode,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-13.825552932324257,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-13.771904373116957,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.682857448303732,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.547442903229793,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,6.938893903907228e-18,cmnist_erm_source_only,0.001,IRMV1,-13.825487187791879,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.1175700191704681e-19,cmnist_erm_source_only,0.01,IRMV1,-13.824901507959247,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,IRMV1,-13.819555411200382,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.796531891959525e-20,cmnist_erm_source_only,0.001,VREX,-13.825483125276168,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.734723475976807e-18,cmnist_erm_source_only,0.01,VREX,-13.824855659823129,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,VREX,-13.818659624484857,False,0,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-14.101913321983604,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-14.001671041484041,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.843901789449976,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.62775931387185,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,IRMV1,-14.10184792748119,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,IRMV1,-14.101265648258094,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.734723475976807e-18,cmnist_erm_source_only,0.001,VREX,-14.101843296110907,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,VREX,-14.09499625680301,False,1,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.0,L2,-13.998635427873019,False,2,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,L2,-13.888468342596257,False,2,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,L2,-13.79233674590309,False,2,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.1,L2,-13.56063076714048,False,2,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,IRMV1,-13.998570009715742,False,2,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.01,IRMV1,-13.997987048349728,False,2,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_erm_source_only,0.001,VREX,-13.998563385621026,False,2,source_only_common_projection_erm,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_erm_source_only,0.01,VREX,-13.997915795753554,False,2,source_only_common_projection_erm,inf,False
