adaptive_condition_holds,alpha,audit_mode,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.367785397262768,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.348054649467466,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.33878619119184,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.200571334300136,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.0842021724855044e-19,cmnist_irmv1_source_only,0.001,IRMV1,-12.367728192797701,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.0842021724855044e-19,cmnist_irmv1_source_only,0.01,IRMV1,-12.367219718296413,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.1,IRMV1,-12.362674109497346,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,3.5085519315160446e-19,cmnist_irmv1_source_only,0.001,VREX,-12.367725105343425,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.01,VREX,-12.367183359133962,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.1,VREX,-12.361852748348538,False,0,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.591696399849443,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.585622930026572,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.539926284928216,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.313265952231255,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,IRMV1,-12.591643348117042,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,IRMV1,-12.591171981269653,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,IRMV1,-12.586974645994765,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,VREX,-12.59163942234805,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.710505431213761e-20,cmnist_irmv1_source_only,0.01,VREX,-12.591127438945549,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.710505431213761e-20,cmnist_irmv1_source_only,0.1,VREX,-12.586087866115516,False,1,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.475550860372218,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.488340689908744,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.475232558132424,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.410609871044063,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,IRMV1,-12.475494912453994,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,IRMV1,-12.470528184212867,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,5.421010862427522e-20,cmnist_irmv1_source_only,0.001,VREX,-12.475490219470574,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,VREX,-12.474945303380677,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,5.421010862427522e-20,cmnist_irmv1_source_only,0.1,VREX,-12.469580126034113,False,2,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.496366009220221,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.49671793763835,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.447500858698023,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.16650610942345,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,IRMV1,-12.496309371769454,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.01,IRMV1,-12.495805863982977,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,IRMV1,-12.491297952686706,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.001,VREX,-12.496305995683654,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,VREX,-12.495766737451271,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,VREX,-12.49045928541083,False,3,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-11.931669682305408,False,4,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-11.89888093952083,False,4,source_only_common_projection_irmv1,inf,False
