method,lambda,source_design,valid,norm_z0,pi_O_operator_norm,A_irreducible_operator_norm,A_recoverable_operator_norm,E_operator_norm,decomposition_residual,affine_regret,information_floor,total_excess,min_local_metric_eigenvalue,condition_number,fd_error_max,fd_errors,factorization_residual,spectral_slack_min_eigenvalue,seed,status
ERM,0.0,declared_source_target_coupled_correlation,True,0.0,2.246654257725849,0.0,14.291832754400888,14.722221289305395,0.0,108.37189984563851,0.0,108.37189984563851,0.0021314551050129484,7886.384440518571,4.908838235830283e-06,"[4.908838235830283e-06, 1.2272086498094685e-06, 3.068007444882308e-07]",0.0,-216.74379969127696,0,PASS
L2,0.001,declared_source_target_coupled_correlation,True,0.1986584266721884,2.3841767762828816,0.0,14.291832754400888,14.776823364930733,0.0,109.35909451581945,0.0,109.35909451581945,0.0031314551050129445,5368.26293595177,4.663193278467964e-06,"[4.663193278467964e-06, 1.1657976874082336e-06, 2.9144783057208324e-07]",0.0,-218.35450875836284,0,PASS
L2,0.01,declared_source_target_coupled_correlation,True,0.7633877450426604,2.839178611075777,0.0,14.291832754400888,15.004816045988738,0.0,113.66713727652672,0.0,113.66713727652672,0.012131455105012939,1386.4350343997764,3.820488687618186e-06,"[3.820488687618186e-06, 9.551212426668927e-07, 2.387798634744783e-07]",0.0,-225.1445045739611,0,PASS
L2,0.1,declared_source_target_coupled_correlation,True,1.2970756040327491,3.4472685497417217,0.0,14.291832754400888,15.351080277295157,0.0,120.72278118633362,0.0,120.72278118633362,0.10213145510501294,165.5657834156128,2.3476194155016082e-06,"[2.3476194155016082e-06, 5.869048290228222e-07, 1.467251652732914e-07]",0.0,-235.6556656799602,0,PASS
IRMV1,0.001,declared_source_target_coupled_correlation,True,0.00034725545725120975,2.2457423800369267,0.0,14.291832754400888,14.721668850718105,0.0,108.36686846873553,0.0,108.36686846873553,0.0021315761737975094,8267.381320748362,4.849239889539173e-06,"[4.849239889539173e-06, 1.2123097499537931e-06, 3.0307716950683274e-07]",0.0,-216.72753375020363,0,PASS
IRMV1,0.01,declared_source_target_coupled_correlation,True,0.0034110635187411106,2.2379335575157278,0.0,14.291832754400888,14.718454185791469,0.0,108.34363774974899,0.0,108.34363774974899,0.002131344422673847,11835.321225327942,4.31254870505384e-06,"[4.31254870505384e-06, 1.0781366512087502e-06, 2.6953210405096805e-07]",0.0,-216.63289361924242,0,PASS
IRMV1,0.1,declared_source_target_coupled_correlation,True,0.03224585530882689,2.2222824097035083,0.0,14.291832754400888,14.70482892022682,0.0,108.33802263915594,0.0,108.33802263915594,0.00211866550616015,49571.50587041252,3.8785332716091525e-06,"[3.8785332716091525e-06, 9.696368425453626e-07, 2.424109500442354e-07]",0.0,-216.23199357313905,0,PASS
VREX,0.001,declared_source_target_coupled_correlation,True,2.1266312077731454e-05,2.246424410973613,0.0,14.291832754400888,14.722173784148403,0.0,108.37128345166204,0.0,108.37128345166204,0.0021314782703061507,7886.306115023954,4.897065840954488e-06,"[4.897065840954488e-06, 1.2242663808761625e-06, 3.060658861930191e-07]",0.0,-216.74240093066658,0,PASS
VREX,0.01,declared_source_target_coupled_correlation,True,0.00021251702020499988,2.2443658967926634,0.0,14.291832754400888,14.72174706221508,0.0,108.36574724056372,0.0,108.36574724056372,0.0021316865829629893,7885.601945941787,4.793002907495575e-06,"[4.793002907495575e-06, 1.198250368030298e-06, 2.9956053972834946e-07]",0.0,-216.7298365638383,0,PASS
VREX,0.1,declared_source_target_coupled_correlation,True,0.0021107089276561123,2.2247626282566713,0.0,14.291832754400888,14.717559908157185,0.0,108.31148542571933,0.0,108.31148542571933,0.0021337525849621985,7878.634616301415,3.949092137056586e-06,"[3.949092137056586e-06, 9.872728847064036e-07, 2.468153666991399e-07]",0.0,-216.60656965019575,0,PASS
