method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,derived_valid,required_cells
IRMv1,10,300,0.001,00,3.4725543731827685e-06,6.264049520773381,5.543625352364759e-07,8.595799170864512e-06,5.13560754454748e-06,6.473121411487847e-06,2.368965539293408e-06,3.670656141191975,0.0011035945966078647,0.0,True,3.1273172206927508e-18,4.4890331702025813e-08,6.725758390535726e-08,True,True,,
IRMv1,10,300,0.0005,00,1.7362771865913843e-06,6.264049520773381,2.7718126761823795e-07,4.297899489737848e-06,2.5678037238311573e-06,3.2365606239796623e-06,1.1844827508545914e-06,3.670656141191975,0.0011035945966078647,0.0,True,3.1273172206927508e-18,4.4890331702025813e-08,6.725758390535726e-08,True,True,,
IRMv1,10,300,0.00025,00,8.681385932956921e-07,6.264049520773381,1.3859063380911898e-07,2.148949719475004e-06,1.2839018493758193e-06,1.6182802904956518e-06,5.922413692020894e-07,3.670656141191975,0.0011035945966078647,0.0,True,3.1273172206927508e-18,4.4890331702025813e-08,6.725758390535726e-08,True,True,,
IRMv1,10,300,0.001,01,4.957450038014469e-08,0.08942613764293718,5.543625352364759e-07,6.696780783441514e-08,3.702876442994479e-08,4.87435141408355e-08,2.715930264460009e-08,475.5474087559224,-0.25715621538432953,3.0,False,9.091796453387156e-18,3.4353030338764055e-07,6.917104716013002e-07,True,False,,
IRMv1,10,300,0.0005,01,2.4787250190072346e-08,0.08942613764293718,2.7718126761823795e-07,3.348390502589331e-08,1.8514382554187306e-08,2.4371757919769275e-08,1.3579652069195833e-08,475.5474087559224,-0.25715621538432953,3.0,False,9.091796453387156e-18,3.4353030338764055e-07,6.917104716013002e-07,True,False,,
IRMv1,10,300,0.00025,01,1.2393625095036173e-08,0.08942613764293718,1.3859063380911898e-07,1.674195178599618e-08,9.257191009041838e-09,1.2185878594904094e-08,6.7898252626260746e-09,475.5474087559224,-0.25715621538432953,3.0,False,9.091796453387156e-18,3.4353030338764055e-07,6.917104716013002e-07,True,False,,
IRMv1,10,300,0.001,10,0.0009999999999999998,1803.8737043682568,5.543625352364759e-07,0.002685305446719505,0.001525782869543655,0.0020276056304935884,0.0008784460053863728,3.670656141191975,0.0011035945966078647,0.0,True,6.825932984299071e-16,0.0004326716865530268,0.0011216423745840835,True,True,,
IRMv1,10,300,0.0005,10,0.0004999999999999999,1803.8737043682568,2.7718126761823795e-07,0.0013426554050732817,0.0007628897222108371,0.0010138092224075417,0.0004392193860464099,3.670656141191975,0.0011035945966078647,0.0,True,6.825932984299071e-16,0.0004326716865530268,0.0011216423745840835,True,True,,
IRMv1,10,300,0.00025,10,0.00024999999999999995,1803.8737043682568,1.3859063380911898e-07,0.0006713345227844257,0.00038144443294530216,0.0005069139396923276,0.00021960975343284043,3.670656141191975,0.0011035945966078647,0.0,True,6.825932984299071e-16,0.0004326716865530268,0.0011216423745840835,True,True,,
IRMv1,10,300,0.001,11,2.1217499057536243e-06,3.827368862234799,5.543625352364759e-07,3.481010980139538e-06,1.9959962038381013e-06,2.4377350876215107e-06,1.4801635857886963e-06,475.5474087559224,-0.25715621538432953,3.0,False,1.2138317696330011e-15,4.801624413441916e-08,6.787493544957995e-08,True,False,,
