method,seed,checkpoint,cell,delta_norm,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,linear_solve_residual
IRMv1,10,300,00,0.001000000280328095,0.00335734228797657,0.0019162746439965266,0.002490846597988992,0.0011812374666841537,3.7337605953216553,1.1465579596858788e-09
IRMv1,10,300,01,0.0009999996982514858,0.0014797332536676062,0.000826362991951222,0.001071527708354908,0.0005988013675425464,129.03875732421875,1.477144850881018e-09
IRMv1,10,300,10,0.0010000005131587386,0.0028998673945574505,0.0015322704221261327,0.002164389286298053,0.0011733700511147478,3.7337605953216553,3.816559512870299e-07
IRMv1,10,300,11,0.0009999999310821295,0.0016927832629951172,0.0009588690852752885,0.0012439667326957062,0.0006313731232212038,129.03875732421875,2.980232238769531e-07
IRMv1,10,300,delta_C,,0.0010727749409780653,0.0006484011388180324,0.0007704797636151164,0.0003698418189301533,,
IRMv1,10,300,delta_K,,0.004119380029073335,0.002377825033629498,0.003003913755206277,0.0015138500865857323,,
IRMv1,10,300,delta_interaction,,0.003966591741557004,0.002286700016239786,0.0028871654205130676,0.0014727962909074671,,
VREX,10,300,00,0.0009999996982514858,0.001359523143760148,0.0007700354600350372,0.0009914795874836522,0.0005218398186334115,2.7505288124084473,7.176322314172978e-10
VREX,10,300,01,0.0009999999310821295,0.0008156130838619726,0.00043660116402065237,0.0005957625859718642,0.000345935062257016,223.9710235595703,1.1050873993667665e-08
VREX,10,300,10,0.0010000001639127731,0.0013503139477458877,0.0007612467686895308,0.0009855871624270107,0.0005219856893593014,2.7505288124084473,2.60270915930505e-08
VREX,10,300,11,0.0010000005131587386,0.000792760137537986,0.0004233667252518207,0.0005802742841812472,0.00033542660409803076,223.9710235595703,4.085099902795264e-08
VREX,10,300,delta_C,,0.00020096623215921938,0.0001044244822176821,0.00014901509161002554,8.530800932091867e-05,,
VREX,10,300,delta_K,,0.001914981020004287,0.0010813023405667778,0.0013957447873658112,0.00074150795262265,,
VREX,10,300,delta_interaction,,0.00021196102762637134,0.00011038967263921351,0.00015504868036879776,9.328185312765293e-05,,
FISHR,10,300,00,0.0009999994654208422,0.0010641351110882002,0.000607395154947155,0.0007690207661951174,0.00041480323233804745,1.6865442991256714,3.4924596548080444e-10
FISHR,10,300,01,0.0010000007459893823,0.0009217954770062255,0.0005105265778000066,0.0006593845280965699,0.00039278691283673454,10.718440055847168,6.329665125370809e-10
FISHR,10,300,10,0.0009999998146668077,0.001059058349545298,0.0006226121595838314,0.0007882294882817277,0.00033563813889826927,1.6865442991256714,1.0998013610930002e-09
FISHR,10,300,11,0.0010000006295740604,0.0010976705447954891,0.0006268772831507536,0.00080283019674532,0.0004091077755005724,10.718440055847168,3.4924596548080444e-10
FISHR,10,300,delta_C,,0.0005897734437975827,0.0003441111284711288,0.0004300785811753527,0.0002108379953551596,,
FISHR,10,300,delta_K,,0.0003099349623329659,0.00018954832801245506,0.0002298469272512242,8.544882829618079e-05,,
FISHR,10,300,delta_interaction,,0.00039709973197234226,0.00023101589730313256,0.00028274220740064944,0.00015613038294945262,,
