method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,cosine_to_R00,cosine_to_C,cosine_to_K,derived_valid,required_cells
IRMv1,10,300,0.001,00,2.156568327180538e-05,1.5525966578387764,1.389007451672918e-05,1.9842194502766094e-05,1.2550125576755742e-05,1.4018733440112917e-05,6.299376431705114e-06,1.2604664474504088,0.001956028582719217,0.0,True,5.838607383087711e-19,0.0001384118348784932,0.00041520758375013407,True,True,,,,,
IRMv1,10,300,0.0005,00,1.078284163590269e-05,1.5525966578387764,6.94503725836459e-06,9.921124339883659e-06,6.275063559954377e-06,7.009404469374119e-06,3.149687995767629e-06,1.2604664474504088,0.001956028582719217,0.0,True,5.838607383087711e-19,0.0001384118348784932,0.00041520758375013407,True,True,,,,,
IRMv1,10,300,0.00025,00,5.391420817951345e-06,1.5525966578387764,3.472518629182295e-06,4.960589265490399e-06,3.1375319371826624e-06,3.5047404697597985e-06,1.5748439426448749e-06,1.2604664474504088,0.001956028582719217,0.0,True,5.838607383087711e-19,0.0001384118348784932,0.00041520758375013407,True,True,,,,,
IRMv1,10,300,0.001,01,6.237150587616235e-06,0.4490365102148491,1.389007451672918e-05,4.145740680169106e-06,2.2591534275770366e-06,2.808946060908278e-06,2.047733772926497e-06,244.63122095021635,-0.004371450551512378,1.0,False,3.0143940239882846e-18,0.0006624096802124166,0.001987231381354343,True,False,,,,,
IRMv1,10,300,0.0005,01,3.1185752938081174e-06,0.4490365102148491,6.94503725836459e-06,2.0728413017107353e-06,1.1295767443040021e-06,1.4044301205553038e-06,1.0238669236196872e-06,244.63122095021635,-0.004371450551512378,1.0,False,3.0143940239882846e-18,0.0006624096802124166,0.001987231381354343,True,False,,,,,
IRMv1,10,300,0.00025,01,1.5592876469040587e-06,0.4490365102148491,3.472518629182295e-06,1.0363929331501112e-06,5.647883797382137e-07,7.021741373616321e-07,5.119334710844979e-07,244.63122095021635,-0.004371450551512378,1.0,False,3.0143940239882846e-18,0.0006624096802124166,0.001987231381354343,True,False,,,,,
IRMv1,10,300,0.001,10,0.0009999999999999968,71.99385422991085,1.389007451672918e-05,0.0010227831597270514,0.0006213870276585219,0.0007085665246732544,0.0003973625973735138,1.2604664474504088,0.001956028582719217,0.0,True,3.61206961431348e-17,0.0015487135982726653,0.0025764072959309397,True,True,,,,,
IRMv1,10,300,0.0005,10,0.0004999999999999984,71.99385422991085,6.94503725836459e-06,0.0005113886288077886,0.00031067024383608655,0.0003543023377925106,0.00019867607481400054,1.2604664474504088,0.001956028582719217,0.0,True,3.61206961431348e-17,0.0015487135982726653,0.0025764072959309397,True,True,,,,,
IRMv1,10,300,0.00025,10,0.0002499999999999992,71.99385422991085,3.472518629182295e-06,0.00025570777362421133,0.00015533579970518515,0.0001771705831501022,9.93369985858957e-05,1.2604664474504088,0.001956028582719217,0.0,True,3.61206961431348e-17,0.0015487135982726653,0.0025764072959309397,True,True,,,,,
IRMv1,10,300,0.001,11,0.00010150818300949451,7.307965330728632,1.389007451672918e-05,6.552622068165167e-05,3.512172097626162e-05,4.4609902663351955e-05,3.271248839285085e-05,244.63122095021635,-0.004371450551512378,1.0,False,5.683867199585076e-17,0.0008198722539087213,0.0008538798010620438,True,False,,,,,
IRMv1,10,300,0.0005,11,5.0754091504747256e-05,7.307965330728632,6.94503725836459e-06,3.276246933886001e-05,1.7560853851445346e-05,2.230401892460441e-05,1.6356238840234893e-05,244.63122095021635,-0.004371450551512378,1.0,False,5.683867199585076e-17,0.0008198722539087213,0.0008538798010620438,True,False,,,,,
IRMv1,10,300,0.00025,11,2.5377045752373628e-05,7.307965330728632,3.472518629182295e-06,1.6381282480331008e-05,8.780425314212687e-06,1.1152081942642063e-05,8.178118080984745e-06,244.63122095021635,-0.004371450551512378,1.0,False,5.683867199585076e-17,0.0008198722539087213,0.0008538798010620438,True,False,,,,,
IRMv1,10,300,0.001,delta_C,,,,0.0010041443717034833,0.000609442117313671,0.0006953403111530632,0.0003916478986967426,,,,True,,,,True,True,0.9381419571513767,0.9999990082384828,-0.9620447063437827,True,"10,00"
IRMv1,10,300,0.001,delta_K,,,,1.98676312246845e-05,1.2389946146429676e-05,1.3878344308148234e-05,6.971625652107294e-06,,,,False,,,,True,False,-0.9757266271533376,-0.9620447063437827,0.9974729783712297,False,"01,00"
IRMv1,10,300,0.001,delta_interaction,,,,0.0009853129903629341,0.0006009240332351099,0.0006859510431138701,0.00037309939923482966,,,,False,,,,True,False,-0.9489255796374843,-0.997739446673342,0.9592651006801284,False,"11,10,01,00"
IRMv1,10,300,0.0005,delta_C,,,,0.0005020691684412952,0.00030469764470694445,0.0003476892513140851,0.0001958187420295229,,,,True,,,,True,True,0.9380049188207781,0.9999960329180501,-0.9619146410523265,True,"10,00"
IRMv1,10,300,0.0005,delta_K,,,,9.933815869782223e-06,6.1949737460639885e-06,6.939172050877193e-06,3.485812569350205e-06,,,,False,,,,True,False,-0.9683766065578214,-0.9619146410523265,0.989967967492953,False,"01,00"
IRMv1,10,300,0.0005,delta_interaction,,,,0.000492652829888708,0.0003004372535012405,0.0003429949332231555,0.00018654421269293387,,,,False,,,,True,False,-0.9487870495856048,-0.9977365068836146,0.9591360011604716,False,"11,10,01,00"
IRMv1,10,300,0.00025,delta_C,,,,0.000251048053656195,0.0001523494986676686,0.0001738640678230094,9.790833172059381e-05,,,,True,,,,True,True,0.9374332152935,0.9999841335637231,-0.9613383740095947,True,"10,00"
IRMv1,10,300,0.00025,delta_K,,,,4.966907979862491e-06,3.0974870107089235e-06,3.4695859994201516e-06,1.742906219949562e-06,,,,False,,,,True,False,-0.9400504014256695,-0.9613383740095947,0.9610442856482959,False,"01,00"
IRMv1,10,300,0.00025,delta_interaction,,,,0.0002463389995080416,0.0001502193367977259,0.0001715155209095832,9.327100094771534e-05,,,,False,,,,True,False,-0.9482004284228829,-0.9977247048642557,0.9585541123179503,False,"11,10,01,00"
IRMv1,11,300,0.001,00,2.8718449817826374e-05,1.9121193050034189,1.5019172570811582e-05,1.557128434701689e-05,9.595083199177989e-06,1.1376952887154016e-05,4.578669852695586e-06,1.306078079577917,0.0018744759129034807,0.0,True,5.005269558365463e-19,4.075911531130132e-07,6.112418990302876e-07,True,True,,,,,
IRMv1,11,300,0.0005,00,1.4359224908913187e-05,1.9121193050034189,7.509586285405791e-06,7.785641110537697e-06,4.797540944717644e-06,5.688475661645062e-06,2.289334626638104e-06,1.306078079577917,0.0018744759129034807,0.0,True,5.005269558365463e-19,4.075911531130132e-07,6.112418990302876e-07,True,True,,,,,
IRMv1,11,300,0.00025,00,7.1796124544565934e-06,1.9121193050034189,3.7547931427028954e-06,3.892820289940036e-06,2.3987703088992285e-06,2.8442376356209896e-06,1.1446672385586273e-06,1.306078079577917,0.0018744759129034807,0.0,True,5.005269558365463e-19,4.075911531130132e-07,6.112418990302876e-07,True,True,,,,,
IRMv1,11,300,0.001,01,2.3476503294676423e-06,0.15631023070006494,1.5019172570811582e-05,7.965372794850084e-07,4.56590398055782e-07,5.679226231032525e-07,3.216531364376252e-07,439.0478709764633,-0.007537663794379177,4.0,False,1.6972612773182178e-18,4.7167120343566794e-08,7.492013454140651e-08,True,False,,,,,
IRMv1,11,300,0.0005,01,1.1738251647338212e-06,0.15631023070006494,7.509586285405791e-06,3.982686448567003e-07,2.2829520275494748e-07,2.839613149115517e-07,1.6082656966052753e-07,439.0478709764633,-0.007537663794379177,4.0,False,1.6972612773182178e-18,4.7167120343566794e-08,7.492013454140651e-08,True,False,,,,,
IRMv1,11,300,0.00025,01,5.869125823669106e-07,0.15631023070006494,3.7547931427028954e-06,1.9913432375787913e-07,1.1414760233183317e-07,1.4198065824160681e-07,8.041328538047412e-08,439.0478709764633,-0.007537663794379177,4.0,False,1.6972612773182178e-18,4.7167120343566794e-08,7.492013454140651e-08,True,False,,,,,
IRMv1,11,300,0.001,10,0.0010000000000000057,66.58156401660972,1.5019172570811582e-05,0.0005236610624223858,0.00031435328073540087,0.00039345205469034923,0.00014352144037799432,1.306078079577917,0.0018744759129034807,0.0,True,2.11927554027828e-17,0.0015067930890374978,0.003317152783072061,True,True,,,,,
IRMv1,11,300,0.0005,10,0.0005000000000000028,66.58156401660972,7.509586285405791e-06,0.0002618338003006649,0.00015718077218507213,0.00019673011327893497,7.175239622793309e-05,1.306078079577917,0.0018744759129034807,0.0,True,2.11927554027828e-17,0.0015067930890374978,0.003317152783072061,True,True,,,,,
IRMv1,11,300,0.00025,10,0.0002500000000000014,66.58156401660972,3.7547931427028954e-06,0.0001309113416693154,7.858714055726435e-05,9.836316539791045e-05,3.586820889863833e-05,1.306078079577917,0.0018744759129034807,0.0,True,2.11927554027828e-17,0.0015067930890374978,0.003317152783072061,True,True,,,,,
IRMv1,11,300,0.001,11,0.00042291568897117053,28.158388018862407,1.5019172570811582e-05,0.00014540247369576262,8.054140546656542e-05,0.00010448296177776203,6.114141035717088e-05,439.0478709764633,-0.007537663794379177,4.0,False,9.594840070291893e-17,0.0011910734795813778,0.0027731504249352244,True,False,,,,,
IRMv1,11,300,0.0005,11,0.00021145784448558527,28.158388018862407,7.509586285405791e-06,7.270233902781142e-05,4.027187682163785e-05,5.2242195585099046e-05,3.05705583499209e-05,439.0478709764633,-0.007537663794379177,4.0,False,9.594840070291893e-17,0.0011910734795813778,0.0027731504249352244,True,False,,,,,
IRMv1,11,300,0.00025,11,0.00010572892224279263,28.158388018862407,3.7547931427028954e-06,3.635188338520907e-05,2.0136907454935585e-05,2.612131857772679e-05,1.5285323011441562e-05,439.0478709764633,-0.007537663794379177,4.0,False,9.594840070291893e-17,0.0011910734795813778,0.0027731504249352244,True,False,,,,,
IRMv1,11,300,0.001,delta_C,,,,0.0005377151469136539,0.00032313568713514474,0.0004036353724801342,0.0001476461750364468,,,,True,,,,True,True,-0.9051402482646516,0.9999965414508054,0.9050157607702475,True,"10,00"
IRMv1,11,300,0.001,delta_K,,,,1.5540266976964455e-05,9.57851468160372e-06,1.1347810636340753e-05,4.5802999870517e-06,,,,False,,,,True,False,-0.9945808527554025,0.9050157607702475,0.9958762869204433,False,"01,00"
IRMv1,11,300,0.001,delta_interaction,,,,0.0005665361967878206,0.0003391266235618243,0.00042242575053631835,0.00016587007188216071,,,,False,,,,True,False,0.8645750472040117,-0.9663649760255927,-0.8747057737790689,False,"11,10,01,00"
IRMv1,11,300,0.0005,delta_C,,,,0.0002688610545024849,0.00016157200982303048,0.00020182186601055188,7.381521977176202e-05,,,,True,,,,True,True,-0.9048426832222259,0.9999861663049846,0.9047201993819828,True,"10,00"
IRMv1,11,300,0.0005,delta_K,,,,7.770132431527194e-06,4.789256690397835e-06,5.673904537486294e-06,2.290149701753752e-06,,,,False,,,,True,False,-0.9824509215245827,0.9047201993819828,0.9837067098287321,False,"01,00"
IRMv1,11,300,0.0005,delta_interaction,,,,0.00028327496211074873,0.00016957061723637843,0.00021121959675264975,8.292642447716963e-05,,,,False,,,,True,False,0.864305546461104,-0.9663562988742836,-0.8744344628704878,False,"11,10,01,00"
IRMv1,11,300,0.00025,delta_C,,,,0.00013442506727559677,8.078273698539162e-05,0.00010090905266384402,3.690001636426893e-05,,,,True,,,,True,True,-0.9035730536038132,0.9999446630215497,0.903451260254487,True,"10,00"
IRMv1,11,300,0.00025,delta_K,,,,3.885065951747765e-06,2.394628182669034e-06,2.8369520737880687e-06,1.1450747780064595e-06,,,,False,,,,True,False,-0.9367523068850384,0.903451260254487,0.9378640292137101,False,"01,00"
IRMv1,11,300,0.00025,delta_interaction,,,,0.00014163444072663321,8.478490799949774e-05,0.00010560890280205388,4.145592628815851e-05,,,,False,,,,True,False,0.8631540435622996,-0.9663157023999707,-0.8732698872168051,False,"11,10,01,00"
IRMv1,12,300,0.001,00,1.5256350128887139e-05,1.3292501817684874,1.1477410601960168e-05,6.930765045611659e-06,4.7144842731682796e-06,4.785094444940254e-06,1.706462220069131e-06,1.198739221799489,0.0019270073186104443,0.0,True,7.358410734306126e-19,1.4538892352633324e-07,2.1830695068797594e-07,True,True,,,,,
IRMv1,12,300,0.0005,00,7.628175064443569e-06,1.3292501817684874,5.738705300980084e-06,3.4653824358862826e-06,2.357242088370368e-06,2.392547139911279e-06,8.532311217172005e-07,1.198739221799489,0.0019270073186104443,0.0,True,7.358410734306126e-19,1.4538892352633324e-07,2.1830695068797594e-07,True,True,,,,,
IRMv1,12,300,0.00025,00,3.8140875322217847e-06,1.3292501817684874,2.869352650490042e-06,1.7326911959978792e-06,1.1786210320454102e-06,1.196273549064324e-06,4.266155638485558e-07,1.198739221799489,0.0019270073186104443,0.0,True,7.358410734306126e-19,1.4538892352633324e-07,2.1830695068797594e-07,True,True,,,,,
IRMv1,12,300,0.001,01,1.139138669572222e-06,0.09925049378103427,1.1477410601960168e-05,3.381508772063899e-07,1.9007538107001047e-07,2.3032204875765816e-07,1.5864778322629053e-07,57.04094948951178,-0.012728790333117749,3.0,False,4.253421298569455e-19,2.8351619456259074e-08,5.40274465229808e-08,True,False,,,,,
IRMv1,12,300,0.0005,01,5.69569334786111e-07,0.09925049378103427,5.738705300980084e-06,1.690754389716664e-07,9.503769061521845e-08,1.1516102464809408e-07,7.932389191150891e-08,57.04094948951178,-0.012728790333117749,3.0,False,4.253421298569455e-19,2.8351619456259074e-08,5.40274465229808e-08,True,False,,,,,
IRMv1,12,300,0.00025,01,2.847846673930555e-07,0.09925049378103427,2.869352650490042e-06,8.453771947632894e-08,4.75188452511584e-08,5.758051221954346e-08,3.9661946154846554e-08,57.04094948951178,-0.012728790333117749,3.0,False,4.253421298569455e-19,2.8351619456259074e-08,5.40274465229808e-08,True,False,,,,,
IRMv1,12,300,0.001,10,0.0009999999999999972,87.12766622022002,1.1477410601960168e-05,0.0004661921013335325,0.00031742161199514013,0.0003190818874714323,0.0001215127346077347,1.198739221799489,0.0019270073186104443,0.0,True,2.866889691102438e-17,0.0011153140351921615,0.0013062434055217946,True,True,,,,,
IRMv1,12,300,0.0005,10,0.0004999999999999986,87.12766622022002,5.738705300980084e-06,0.0002330977359568226,0.00015871360492841828,0.00015954560733600942,6.0743273690231846e-05,1.198739221799489,0.0019270073186104443,0.0,True,2.866889691102438e-17,0.0011153140351921615,0.0013062434055217946,True,True,,,,,
IRMv1,12,300,0.00025,10,0.0002499999999999993,87.12766622022002,2.869352650490042e-06,0.00011654910135101223,7.935817783332799e-05,7.977187457404761e-05,3.037137902112492e-05,1.198739221799489,0.0019270073186104443,0.0,True,2.866889691102438e-17,0.0011153140351921615,0.0013062434055217946,True,True,,,,,
IRMv1,12,300,0.001,11,3.55898649774011e-05,3.100861876573707,1.1477410601960168e-05,1.3740152906528584e-05,8.697324547343769e-06,9.4713031165882e-06,4.8417729073826014e-06,57.04094948951178,-0.012728790333117749,3.0,False,2.9263016329268244e-17,3.645156332426462e-07,5.467018216705743e-07,True,False,,,,,
IRMv1,12,300,0.0005,11,1.779493248870055e-05,3.100861876573707,5.738705300980084e-06,6.870076372299713e-06,4.348662217138574e-06,4.73565150933387e-06,2.4208864212527756e-06,57.04094948951178,-0.012728790333117749,3.0,False,2.9263016329268244e-17,3.645156332426462e-07,5.467018216705743e-07,True,False,,,,,
IRMv1,12,300,0.00025,11,8.897466244350275e-06,3.100861876573707,2.869352650490042e-06,3.435038166095584e-06,2.174331094556548e-06,2.367825742572437e-06,1.2104432025457034e-06,57.04094948951178,-0.012728790333117749,3.0,False,2.9263016329268244e-17,3.645156332426462e-07,5.467018216705743e-07,True,False,,,,,
IRMv1,12,300,0.001,delta_C,,,,0.0004728435049244031,0.00032198735987476365,0.0003236659758541371,0.00012306687736536858,,,,True,,,,True,True,-0.9599785267919058,0.9999955273676382,0.9630561102023758,True,"10,00"
IRMv1,12,300,0.001,delta_K,,,,6.8419929492797365e-06,4.660352115606331e-06,4.726504489833605e-06,1.6595604792052605e-06,,,,False,,,,True,False,-0.9782480912101397,0.9630561102023758,0.979085128085579,False,"01,00"
IRMv1,12,300,0.001,delta_interaction,,,,0.0004649154589672689,0.00031626203064708203,0.00031827148665493826,0.00012177016358774401,,,,False,,,,True,False,0.9577769414791987,-0.9996997948009209,-0.9613208330599273,False,"11,10,01,00"
IRMv1,12,300,0.0005,delta_C,,,,0.00023642346164527315,0.00016099649933499162,0.00016183765546458063,6.152035185155964e-05,,,,True,,,,True,True,-0.9591076274285214,0.9999821099692654,0.962169271642105,True,"10,00"
IRMv1,12,300,0.0005,delta_K,,,,3.4209963862526985e-06,2.330176010558056e-06,2.3632521617237053e-06,8.297802448130418e-07,,,,False,,,,True,False,-0.9211743757674725,0.962169271642105,0.9212797784142767,False,"01,00"
