method,seed,checkpoint,horizon,regularizer_scale,functional_response_norm,effect_vs_control_norm,source_effect_norm,counterfactual_effect_norm,clean_effect_norm,control_replay_exact,control_parameter_hash,control_optimizer_hash,control_algorithm_state_hash
IRMv1,10,300,1,0.0,8.364211270815565,8.473740605465762,5.36210086319154,6.479902713046164,1.0310261932351268,True,bb195ece95d9101024c242ce5a7015aed34bbbc874e398bbf9813c0195d3f0b8,d2587aedc62c505798c5c51c90c8eb30c8fb68004f3a1da579d72c4b488f1e8a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,5,0.0,67.02663553288656,65.23977558302266,40.92201209122634,50.4689126397536,5.87418943255999,True,50848c3ea890fd07349a25ad6dbea9d5cb3d235f43f46121bed1d91093cbde74,129f49531006b5822979ca2f1b46af9c683c37a2b2280ba7f60052b3fe201c0f,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,20,0.0,55.95396185767981,55.564848710731695,32.877014744917574,44.566198872192,4.517547099167759,True,7b50cf6bf00b5c0100b3d14d823793dcdbc2e778cf7322f4baca6400b9d3efdd,09025c23215c3ee001f66f4806aca090e5e0bd8b972de91557d1177cf8ec1c9a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,1,0.5,0.2582071809840801,0.0014108017522666575,0.0008896677561533886,0.001081734309700067,0.000169421814054111,True,bb195ece95d9101024c242ce5a7015aed34bbbc874e398bbf9813c0195d3f0b8,d2587aedc62c505798c5c51c90c8eb30c8fb68004f3a1da579d72c4b488f1e8a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,5,0.5,2.761597779306009,0.012207206090202519,0.007828273851758737,0.009339303955110765,0.0007151298235987155,True,50848c3ea890fd07349a25ad6dbea9d5cb3d235f43f46121bed1d91093cbde74,129f49531006b5822979ca2f1b46af9c683c37a2b2280ba7f60052b3fe201c0f,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,20,0.5,5.783171805354473,0.03175505939871082,0.02007011624217123,0.021770950931392988,0.011471701137332068,True,7b50cf6bf00b5c0100b3d14d823793dcdbc2e778cf7322f4baca6400b9d3efdd,09025c23215c3ee001f66f4806aca090e5e0bd8b972de91557d1177cf8ec1c9a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,1,1.0,0.25879646705666187,0.0,0.0,0.0,0.0,True,bb195ece95d9101024c242ce5a7015aed34bbbc874e398bbf9813c0195d3f0b8,d2587aedc62c505798c5c51c90c8eb30c8fb68004f3a1da579d72c4b488f1e8a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,5,1.0,2.754262458899696,0.0,0.0,0.0,0.0,True,50848c3ea890fd07349a25ad6dbea9d5cb3d235f43f46121bed1d91093cbde74,129f49531006b5822979ca2f1b46af9c683c37a2b2280ba7f60052b3fe201c0f,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,20,1.0,5.802548478981346,0.0,0.0,0.0,0.0,True,7b50cf6bf00b5c0100b3d14d823793dcdbc2e778cf7322f4baca6400b9d3efdd,09025c23215c3ee001f66f4806aca090e5e0bd8b972de91557d1177cf8ec1c9a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,1,2.0,0.25909292102561476,0.000706213436378967,0.00044553964121805386,0.0005412418338390665,8.537636164654389e-05,True,bb195ece95d9101024c242ce5a7015aed34bbbc874e398bbf9813c0195d3f0b8,d2587aedc62c505798c5c51c90c8eb30c8fb68004f3a1da579d72c4b488f1e8a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,5,2.0,2.750654248457566,0.00611298957204432,0.0039222110845340665,0.004677515168958912,0.0003251977251457737,True,50848c3ea890fd07349a25ad6dbea9d5cb3d235f43f46121bed1d91093cbde74,129f49531006b5822979ca2f1b46af9c683c37a2b2280ba7f60052b3fe201c0f,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,10,300,20,2.0,5.81334734697823,0.016455503746559037,0.01028043364467607,0.011196852041046085,0.006302919323722371,True,7b50cf6bf00b5c0100b3d14d823793dcdbc2e778cf7322f4baca6400b9d3efdd,09025c23215c3ee001f66f4806aca090e5e0bd8b972de91557d1177cf8ec1c9a,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64
IRMv1,11,300,1,0.0,9.16300149313349,8.084819779501993,5.091499270483607,6.272711348766976,0.3066567800354998,True,1ea225fe13932652c85fa2a14616e89efbcc074f3ee21efdc968d262abc57eff,454e904a6bc19e7f5c23106740621b282e3f1e24cfb44750cb4d811aeecf8606,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,5,0.0,69.08142769775382,67.87666862246553,42.232647006042264,53.07136527805053,2.6600484339112915,True,5575afa3842626c37d8a43d72e875acd4288d783b4b1e38fcb605e35691ebdba,3284b94ae404e835c105f1ea69ab1de2dc1799671735d4246c3f7a952fc35d7a,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,20,0.0,52.89713791871496,51.577334124809404,28.83756480734697,41.45173628985982,10.505703687055256,True,d8d2e807bfdf513f32ae56d62817eea74f92fcce05e7b2935c7e1958358ea50b,836b7692608848f964d51e545140c1ac10d681715f2d4b6bff7eaf4361ac7768,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,1,0.5,1.0934377679240885,0.0014634952901851526,0.0009155000485298312,0.0011409750649251553,4.305841096740807e-05,True,1ea225fe13932652c85fa2a14616e89efbcc074f3ee21efdc968d262abc57eff,454e904a6bc19e7f5c23106740621b282e3f1e24cfb44750cb4d811aeecf8606,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,5,0.5,1.4335196207684349,0.013718026358541016,0.00868161177449199,0.010611194817076758,0.00046519751146308156,True,5575afa3842626c37d8a43d72e875acd4288d783b4b1e38fcb605e35691ebdba,3284b94ae404e835c105f1ea69ab1de2dc1799671735d4246c3f7a952fc35d7a,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,20,0.5,2.3380337545405063,0.028034389982058653,0.018524426612025906,0.01984816631869078,0.0069873409926384565,True,d8d2e807bfdf513f32ae56d62817eea74f92fcce05e7b2935c7e1958358ea50b,836b7692608848f964d51e545140c1ac10d681715f2d4b6bff7eaf4361ac7768,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,1,1.0,1.0919917673097308,0.0,0.0,0.0,0.0,True,1ea225fe13932652c85fa2a14616e89efbcc074f3ee21efdc968d262abc57eff,454e904a6bc19e7f5c23106740621b282e3f1e24cfb44750cb4d811aeecf8606,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,5,1.0,1.4219433534434511,0.0,0.0,0.0,0.0,True,5575afa3842626c37d8a43d72e875acd4288d783b4b1e38fcb605e35691ebdba,3284b94ae404e835c105f1ea69ab1de2dc1799671735d4246c3f7a952fc35d7a,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,20,1.0,2.3262425821681116,0.0,0.0,0.0,0.0,True,d8d2e807bfdf513f32ae56d62817eea74f92fcce05e7b2935c7e1958358ea50b,836b7692608848f964d51e545140c1ac10d681715f2d4b6bff7eaf4361ac7768,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,1,2.0,1.0912689193658849,0.0007314996991271133,0.0004575103417038492,0.0005703419480790037,2.2049020806637207e-05,True,1ea225fe13932652c85fa2a14616e89efbcc074f3ee21efdc968d262abc57eff,454e904a6bc19e7f5c23106740621b282e3f1e24cfb44750cb4d811aeecf8606,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,5,2.0,1.4161471241291992,0.006895004635152313,0.004365419681106245,0.005331997037350701,0.00023239518124410508,True,5575afa3842626c37d8a43d72e875acd4288d783b4b1e38fcb605e35691ebdba,3284b94ae404e835c105f1ea69ab1de2dc1799671735d4246c3f7a952fc35d7a,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,11,300,20,2.0,2.3206388527688517,0.014153163234719865,0.009360748267134044,0.010022052226766725,0.0034995557706562126,True,d8d2e807bfdf513f32ae56d62817eea74f92fcce05e7b2935c7e1958358ea50b,836b7692608848f964d51e545140c1ac10d681715f2d4b6bff7eaf4361ac7768,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173
IRMv1,12,300,1,0.0,9.51911665163873,9.99624848895473,6.301643341240354,7.749162031259531,0.4059099235259519,True,7cfd5cd279e3f0b52fa03664168e861137b69f40fb5055b3abdf022c5c0a571a,e3a3e30892a4cf7be8ff7f0868b1da51adc8250dfa89244d12d3bb91b5e8064b,a10d0ac3419f896702db7de2a18953fe7900139637b206352c94e6d4a57bc3ca
IRMv1,12,300,5,0.0,67.17404187321902,71.50438888585826,44.35358144472223,56.05176413719447,1.9588721435432224,True,39de68bb5662f397661d51ae8463b09436e0b8f85dfb0ebb73b317f964525e5f,e8593b88dfaa8ecf4b5af12dd344c15356c25b80497e6349ef4d9aecdb22704d,a10d0ac3419f896702db7de2a18953fe7900139637b206352c94e6d4a57bc3ca
