method,seed,checkpoint,horizon,regularizer_scale
IRMv1,10,300,1,0.0
IRMv1,10,300,5,0.0
IRMv1,10,300,20,0.0
IRMv1,10,300,1,0.5
IRMv1,10,300,5,0.5
IRMv1,10,300,20,0.5
IRMv1,10,300,1,1.0
IRMv1,10,300,5,1.0
IRMv1,10,300,20,1.0
IRMv1,10,300,1,2.0
IRMv1,10,300,5,2.0
IRMv1,10,300,20,2.0
IRMv1,11,300,1,0.0
IRMv1,11,300,5,0.0
IRMv1,11,300,20,0.0
IRMv1,11,300,1,0.5
IRMv1,11,300,5,0.5
IRMv1,11,300,20,0.5
IRMv1,11,300,1,1.0
IRMv1,11,300,5,1.0
IRMv1,11,300,20,1.0
IRMv1,11,300,1,2.0
IRMv1,11,300,5,2.0
IRMv1,11,300,20,2.0
IRMv1,12,300,1,0.0
IRMv1,12,300,5,0.0
IRMv1,12,300,20,0.0
IRMv1,12,300,1,0.5
IRMv1,12,300,5,0.5
IRMv1,12,300,20,0.5
IRMv1,12,300,1,1.0
IRMv1,12,300,5,1.0
IRMv1,12,300,20,1.0
IRMv1,12,300,1,2.0
IRMv1,12,300,5,2.0
IRMv1,12,300,20,2.0
IRMv1,13,300,1,0.0
IRMv1,13,300,5,0.0
IRMv1,13,300,20,0.0
IRMv1,13,300,1,0.5
IRMv1,13,300,5,0.5
IRMv1,13,300,20,0.5
IRMv1,13,300,1,1.0
IRMv1,13,300,5,1.0
IRMv1,13,300,20,1.0
IRMv1,13,300,1,2.0
IRMv1,13,300,5,2.0
IRMv1,13,300,20,2.0
IRMv1,14,300,1,0.0
IRMv1,14,300,5,0.0
IRMv1,14,300,20,0.0
IRMv1,14,300,1,0.5
IRMv1,14,300,5,0.5
IRMv1,14,300,20,0.5
IRMv1,14,300,1,1.0
IRMv1,14,300,5,1.0
IRMv1,14,300,20,1.0
IRMv1,14,300,1,2.0
IRMv1,14,300,5,2.0
IRMv1,14,300,20,2.0
VREX,10,300,1,0.0
VREX,10,300,5,0.0
VREX,10,300,20,0.0
VREX,10,300,1,0.5
VREX,10,300,5,0.5
VREX,10,300,20,0.5
VREX,10,300,1,1.0
VREX,10,300,5,1.0
VREX,10,300,20,1.0
VREX,10,300,1,2.0
VREX,10,300,5,2.0
VREX,10,300,20,2.0
VREX,11,300,1,0.0
VREX,11,300,5,0.0
VREX,11,300,20,0.0
VREX,11,300,1,0.5
VREX,11,300,5,0.5
VREX,11,300,20,0.5
VREX,11,300,1,1.0
VREX,11,300,5,1.0
VREX,11,300,20,1.0
VREX,11,300,1,2.0
VREX,11,300,5,2.0
VREX,11,300,20,2.0
VREX,12,300,1,0.0
VREX,12,300,5,0.0
VREX,12,300,20,0.0
VREX,12,300,1,0.5
VREX,12,300,5,0.5
VREX,12,300,20,0.5
VREX,12,300,1,1.0
VREX,12,300,5,1.0
VREX,12,300,20,1.0
VREX,12,300,1,2.0
VREX,12,300,5,2.0
VREX,12,300,20,2.0
VREX,13,300,1,0.0
VREX,13,300,5,0.0
VREX,13,300,20,0.0
VREX,13,300,1,0.5
VREX,13,300,5,0.5
VREX,13,300,20,0.5
VREX,13,300,1,1.0
VREX,13,300,5,1.0
VREX,13,300,20,1.0
VREX,13,300,1,2.0
VREX,13,300,5,2.0
VREX,13,300,20,2.0
VREX,14,300,1,0.0
VREX,14,300,5,0.0
VREX,14,300,20,0.0
VREX,14,300,1,0.5
VREX,14,300,5,0.5
VREX,14,300,20,0.5
VREX,14,300,1,1.0
VREX,14,300,5,1.0
VREX,14,300,20,1.0
VREX,14,300,1,2.0
VREX,14,300,5,2.0
VREX,14,300,20,2.0
FISHR,10,300,1,0.0
FISHR,10,300,5,0.0
FISHR,10,300,20,0.0
FISHR,10,300,1,0.5
FISHR,10,300,5,0.5
FISHR,10,300,20,0.5
FISHR,10,300,1,1.0
FISHR,10,300,5,1.0
FISHR,10,300,20,1.0
FISHR,10,300,1,2.0
FISHR,10,300,5,2.0
FISHR,10,300,20,2.0
FISHR,11,300,1,0.0
FISHR,11,300,5,0.0
FISHR,11,300,20,0.0
FISHR,11,300,1,0.5
FISHR,11,300,5,0.5
FISHR,11,300,20,0.5
FISHR,11,300,1,1.0
FISHR,11,300,5,1.0
FISHR,11,300,20,1.0
FISHR,11,300,1,2.0
FISHR,11,300,5,2.0
FISHR,11,300,20,2.0
FISHR,12,300,1,0.0
FISHR,12,300,5,0.0
FISHR,12,300,20,0.0
FISHR,12,300,1,0.5
FISHR,12,300,5,0.5
FISHR,12,300,20,0.5
FISHR,12,300,1,1.0
FISHR,12,300,5,1.0
FISHR,12,300,20,1.0
FISHR,12,300,1,2.0
FISHR,12,300,5,2.0
FISHR,12,300,20,2.0
FISHR,13,300,1,0.0
FISHR,13,300,5,0.0
FISHR,13,300,20,0.0
FISHR,13,300,1,0.5
FISHR,13,300,5,0.5
FISHR,13,300,20,0.5
FISHR,13,300,1,1.0
FISHR,13,300,5,1.0
FISHR,13,300,20,1.0
FISHR,13,300,1,2.0
FISHR,13,300,5,2.0
FISHR,13,300,20,2.0
FISHR,14,300,1,0.0
FISHR,14,300,5,0.0
FISHR,14,300,20,0.0
FISHR,14,300,1,0.5
FISHR,14,300,5,0.5
FISHR,14,300,20,0.5
FISHR,14,300,1,1.0
FISHR,14,300,5,1.0
FISHR,14,300,20,1.0
FISHR,14,300,1,2.0
FISHR,14,300,5,2.0
FISHR,14,300,20,2.0
