seed,encoder_method,checkpoint_sha256,source_only_probe,oracle_clean_probe,source_probe_source_env0_acc,source_probe_source_env1_acc,source_probe_source_mean_acc,source_probe_target_acc,oracle_clean_balanced_accuracy,oracle_clean_fold0_accuracy,oracle_clean_fold1_accuracy,original_target_acc,coverage_release_vs_original,ridge
10,ERM,a864f25cf3bbb9d829cf437dc13b469d5e22b16b7b51dd0fdd84a5cc15bc5cfb,True,True,0.80276,0.89712,0.84994,0.1097,0.9196,0.9012,0.938,0.1064,0.8131999999999999,0.001
10,IRMv1,d381b6725db4cbd157cccbced992113acf09a6511e408a8184bbb8a4bd7cdf91,True,True,0.80172,0.8978,0.8497600000000001,0.102,0.81545,0.7933,0.8376,0.654,0.16144999999999998,0.001
11,ERM,829da338656b54fb127fa5ebb34a3817781603ba5fee8dc228e0a9db66f7b0db,True,True,0.79864,0.90004,0.84934,0.1103,0.91385,0.8963,0.9314,0.109,0.8048500000000001,0.001
11,IRMv1,bb1609a3d27e7f8610e002a7c66bc3bf59a101b820b30e8f0a0b5319c22f22ed,True,True,0.79744,0.90092,0.84918,0.1017,0.81215,0.7933,0.831,0.6631,0.14905000000000002,0.001
12,ERM,ffeb90d82729a47c498f9b553c669ac011ddcc8ae82533e08e5f8839746e6892,True,True,0.79896,0.9012,0.85008,0.1037,0.9106,0.8921,0.9291,0.1043,0.8063,0.001
12,IRMv1,537f0fa8ee12b0c709a5880a35182cd03d240fb9d526ea6be37bf12b15ae4d36,True,True,0.79836,0.90176,0.85006,0.0968,0.81055,0.7885,0.8326,0.6725,0.13805,0.001
13,ERM,9939fcc894d7e1c20eb5c65f9678941c2cad45332098cf855c137f85f9171c98,True,True,0.7992,0.90144,0.85032,0.1101,0.9137,0.8987,0.9287,0.1162,0.7975,0.001
13,IRMv1,78ac812ee414e3b78ab6152369d876f56ba32505525e045d10e8d649215ced1b,True,True,0.79952,0.9022,0.85086,0.1057,0.81465,0.7944,0.8349,0.6894,0.12524999999999997,0.001
14,ERM,b612285a0016a6186bceb90f4dd96648684f496b075ab8ea9d97f7636dd42759,True,True,0.7994,0.89944,0.8494200000000001,0.1093,0.9136,0.8963,0.9309,0.1131,0.8005,0.001
14,IRMv1,beb03573ac0346175be965e3beb0ed7ae1d3ce66572f2657c535dd377f18013f,True,True,0.79908,0.90012,0.8496,0.1037,0.81905,0.798,0.8401,0.6667,0.15234999999999999,0.001
