seed,encoder_method,head_method,source_only,oracle,source_env0_acc,source_env1_acc,source_mean_acc,target_acc,clean_balanced_accuracy,counterfactual_flip_rate,counterfactual_consistency,color_projection_ratio_top1,color_projection_ratio_top8,task_alignment_cosine,initial_head_seed,frozen_encoder_parameter_hash_before,frozen_encoder_parameter_hash_after
10,ERM,HEAD_ERM,True,False,0.80244,0.89756,0.8500000000000001,0.1062,0.50265,0.9947,0.005299999999999971,0.6308659918797178,0.702006299669971,0.6967892191642681,12355,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231
10,ERM,HEAD_IRMv1,True,False,0.53584,0.55584,0.54584,0.4885,0.5382,0.0894,0.9106,0.33866263537260993,0.4102168809535321,0.31022292016149833,12355,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231
10,ERM,ORACLE_CLEAN,False,True,0.797,0.8624,0.8297000000000001,0.2856,0.64215,0.7115,0.2885,0.20927519351530072,0.5830389829321013,0.41718302517533656,12355,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231
10,IRMv1,HEAD_ERM,True,False,0.80176,0.89784,0.8498,0.102,0.5,1.0,0.0,0.5981855260287476,0.7303460412131885,0.26758321967856546,12355,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03
10,IRMv1,HEAD_IRMv1,True,False,0.4884,0.50468,0.49654,0.4975,0.494,0.0076,0.9924,0.31752772239933097,0.38523843474681085,0.06286186506893096,12355,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03
10,IRMv1,ORACLE_CLEAN,False,True,0.6204,0.61296,0.6166799999999999,0.6545,0.7727999999999999,0.2332,0.7668,0.005245357034916792,0.6511844001105275,0.6494670191642372,12355,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03
11,ERM,HEAD_ERM,True,False,0.79832,0.90096,0.84964,0.1042,0.5032,0.9936,0.006399999999999961,0.7183526774030797,0.758620988779083,0.7100960183998071,12356,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf
11,ERM,HEAD_IRMv1,True,False,0.78984,0.8626,0.82622,0.2832,0.63775,0.7171,0.28290000000000004,0.6024933899147444,0.6533032486217085,0.562354142633665,12356,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf
11,ERM,ORACLE_CLEAN,False,True,0.78476,0.8398,0.81228,0.3927,0.7229,0.5436,0.45640000000000003,0.19804832164227187,0.7011357681429774,0.45865087438548174,12356,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf
11,IRMv1,HEAD_ERM,True,False,0.7974,0.901,0.8492,0.1013,0.50015,0.9997,0.00029999999999996696,0.5947567355677893,0.7049945153283869,0.33867775426291474,12356,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb
11,IRMv1,HEAD_IRMv1,True,False,0.6138,0.63192,0.62286,0.4499,0.588,0.2326,0.7674,0.3574283846454488,0.5375978654141508,0.2917897850113067,12356,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb
11,IRMv1,ORACLE_CLEAN,False,True,0.6424,0.64316,0.6427799999999999,0.6487,0.78715,0.1687,0.8313,0.014848813108402142,0.7331861863482857,0.7528639059920518,12356,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb
12,ERM,HEAD_ERM,True,False,0.79932,0.90156,0.8504400000000001,0.1021,0.50395,0.9921,0.007900000000000018,0.6488340534224062,0.7719654573069079,0.7237843074137872,12357,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17
12,ERM,HEAD_IRMv1,True,False,0.56456,0.57984,0.5722,0.4845,0.56235,0.1151,0.8849,0.31792612723459124,0.5378663066543995,0.39388439851516693,12357,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17
12,ERM,ORACLE_CLEAN,False,True,0.76008,0.79188,0.77598,0.5548,0.84395,0.2765,0.7235,0.13490113912921778,0.7397465284890309,0.5303868502650686,12357,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17
12,IRMv1,HEAD_ERM,True,False,0.79848,0.90176,0.85012,0.0965,0.5,1.0,0.0,0.5887539057593173,0.6835460632520054,0.2403031814172021,12357,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e
12,IRMv1,HEAD_IRMv1,True,False,0.50412,0.51256,0.50834,0.4999,0.50675,0.0085,0.9915,0.12615923258142187,0.4088006146465102,0.07789772278329819,12357,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e
12,IRMv1,ORACLE_CLEAN,False,True,0.60872,0.60056,0.6046400000000001,0.6651,0.76935,0.1525,0.8475,0.011285959106052165,0.5683516419979376,0.7488250671984983,12357,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e
13,ERM,HEAD_ERM,True,False,0.79928,0.90108,0.8501799999999999,0.1104,0.50415,0.9915,0.008499999999999952,0.6889102485687563,0.7586017381572631,0.7127472521903802,12358,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1
13,ERM,HEAD_IRMv1,True,False,0.77128,0.83688,0.8040799999999999,0.355,0.6842999999999999,0.5902,0.40980000000000005,0.5536788865012962,0.6194595732907624,0.46096859853869776,12358,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1
13,ERM,ORACLE_CLEAN,False,True,0.7674,0.80976,0.7885800000000001,0.4997,0.7972,0.3778,0.6222,0.1677390257360664,0.7509609382103541,0.5492499846722356,12358,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1
13,IRMv1,HEAD_ERM,True,False,0.79928,0.90236,0.85082,0.1053,0.50005,0.9997,0.00029999999999996696,0.571548213163718,0.7309189461478297,0.33426858466345394,12358,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6
13,IRMv1,HEAD_IRMv1,True,False,0.60324,0.65072,0.62698,0.295,0.44499999999999995,0.4434,0.5566,0.394858599008045,0.5200457116152056,0.08973203498409546,12358,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6
13,IRMv1,ORACLE_CLEAN,False,True,0.63132,0.62952,0.63042,0.655,0.7827500000000001,0.1933,0.8067,0.004285079041937553,0.7299138682748695,0.7471430579545392,12358,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6
14,ERM,HEAD_ERM,True,False,0.79908,0.90016,0.84962,0.1057,0.50125,0.9975,0.0024999999999999467,0.660880204571231,0.7138136476833873,0.6793485776000584,12359,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4
14,ERM,HEAD_IRMv1,True,False,0.49448,0.49148,0.49298,0.4965,0.4942,0.0,1.0,0.3663329265506201,0.4664654826272086,0.242194629138235,12359,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4
14,ERM,ORACLE_CLEAN,False,True,0.79172,0.8572,0.82446,0.306,0.65605,0.6827,0.3173,0.23300140336810793,0.6509877491719084,0.46707526316180276,12359,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4
14,IRMv1,HEAD_ERM,True,False,0.79904,0.90008,0.84956,0.104,0.5002,0.9996,0.00039999999999995595,0.5553202501171166,0.7406087544966388,0.2733293873467801,12359,10dd406fe9d06996afc90e72f0ff57f11fd3d454f18da01ee9c1a483ed0f81ed,10dd406fe9d06996afc90e72f0ff57f11fd3d454f18da01ee9c1a483ed0f81ed
14,IRMv1,HEAD_IRMv1,True,False,0.55788,0.5682,0.56304,0.4666,0.5397000000000001,0.1308,0.8692,0.400428928563651,0.46523228319587157,0.21644475543749347,12359,10dd406fe9d06996afc90e72f0ff57f11fd3d454f18da01ee9c1a483ed0f81ed,10dd406fe9d06996afc90e72f0ff57f11fd3d454f18da01ee9c1a483ed0f81ed
