seed,encoder_method,rank_k,rank_clipped,projection_symmetric,projection_idempotent,original_target_acc,projected_target_acc,target_delta_vs_original,source_env0_acc,source_env1_acc,source_mean_acc,scalar_logit_color_response,scalar_logit_color_suppression_ratio,probability_color_response,counterfactual_prediction_consistency,counterfactual_prediction_flip_rate,clean_oracle_coverage_acc,clean_oracle_delta_vs_rank0,red_green_color_probe_acc,ridge
10,ERM,0,0,True,True,0.1064,0.1064,0.0,0.8026,0.89756,0.85008,12.864608387289287,1.0,0.42280942968571855,0.0058,0.9942,0.9196,0.0,1.0,0.001
10,ERM,1,1,True,True,0.1064,0.4993,0.3929,0.51356,0.4986,0.50608,0.08384020228721945,0.006517120441074342,0.003501213013411493,1.0,0.0,0.91855,-0.0010499999999999954,0.4087,0.001
10,ERM,2,2,True,True,0.1064,0.6095,0.5031000000000001,0.60324,0.58412,0.59368,0.00398446887733262,0.00030972329334715107,0.00024789334823800544,0.7109,0.2891,0.9187,-0.0009000000000000119,0.4073,0.001
10,ERM,4,4,True,True,0.1064,0.67,0.5636000000000001,0.64852,0.64912,0.64882,0.002166219184707386,0.0001683859406748589,0.00013508305804061038,0.8098,0.19020000000000004,0.91775,-0.0018500000000000183,0.42525,0.001
10,ERM,8,8,True,True,0.1064,0.5007,0.39430000000000004,0.4864,0.50144,0.49392,0.0001447605653113776,1.1252621218878798e-05,9.036224899354034e-06,0.9999,9.999999999998899e-05,0.91195,-0.007649999999999935,0.4641,0.001
10,ERM,16,16,True,True,0.1064,0.5007,0.39430000000000004,0.48644,0.5014,0.49391999999999997,1.4094678259501709e-05,1.0956165811800206e-06,8.804743531793981e-07,1.0,0.0,0.9039,-0.015699999999999936,0.47975,0.001
10,ERM,32,32,True,True,0.1064,0.5007,0.39430000000000004,0.48644,0.5014,0.49391999999999997,9.911194122259622e-07,7.704233058545529e-08,6.192080639727088e-08,1.0,0.0,0.88345,-0.036150000000000015,0.4857,0.001
10,ERM,64,64,True,True,0.1064,0.5007,0.39430000000000004,0.48644,0.5014,0.49391999999999997,4.5638453454463735e-30,3.547597570055551e-31,2.6711477363244774e-31,1.0,0.0,0.486,-0.4336,0.5,0.001
10,IRMv1,0,0,True,True,0.654,0.654,0.0,0.6144,0.60808,0.61124,0.3284167943791826,1.0,0.01677642922077115,0.7503,0.24970000000000003,0.81545,0.0,1.0,0.001
10,IRMv1,1,1,True,True,0.654,0.6544,0.00039999999999995595,0.61388,0.60752,0.6107,0.3284070666244591,0.9999703798499652,0.016784891604996,0.7504,0.24960000000000004,0.81585,0.00039999999999995595,0.48245,0.001
10,IRMv1,2,2,True,True,0.654,0.4975,-0.15650000000000003,0.55164,0.54036,0.546,0.2246595570638668,0.6840684182687685,0.009722005757181627,0.9283,0.07169999999999999,0.81665,0.0011999999999999789,0.48555,0.001
10,IRMv1,4,4,True,True,0.654,0.587,-0.06700000000000006,0.56392,0.56444,0.56418,0.010134168795494385,0.03085764482492848,0.000629739669686536,0.7582,0.24180000000000001,0.81215,-0.0032999999999999696,0.46,0.001
10,IRMv1,8,8,True,True,0.654,0.5224,-0.13160000000000005,0.53332,0.5168,0.5250600000000001,0.005594843648611873,0.017035802505739682,0.00034757313632905433,0.8703,0.12970000000000004,0.8133,-0.0021499999999999853,0.4654,0.001
10,IRMv1,16,16,True,True,0.654,0.5585,-0.09550000000000003,0.55884,0.54528,0.55206,0.0019374091328864442,0.005899238912397262,0.00012097549456251345,0.6425,0.35750000000000004,0.80705,-0.008399999999999963,0.4714,0.001
10,IRMv1,32,32,True,True,0.654,0.5452,-0.10880000000000001,0.54776,0.53792,0.54284,0.0006197122562825911,0.0018869688362133069,3.871357904704679e-05,0.7237,0.2763,0.79085,-0.024599999999999955,0.4889,0.001
10,IRMv1,64,64,True,True,0.654,0.5007,-0.1533,0.48644,0.5014,0.49391999999999997,1.1271587814513905e-31,3.432098481997844e-31,5.838803293799895e-33,1.0,0.0,0.486,-0.32945,0.5,0.001
