lambda,method,seed,setting,task1_E_norm,task1_pi_error,task2_E_operator_norm,task2_information_floor,task2_slack_ratio,task2_total_excess,task2_total_regret
0.0,L2,,hidden_u_hurts,1.552583696766526e-12,2.301862981896452e-12,1.3973015356361831e-12,0.05118145108608892,1.9073820105326317e-23,0.0,0.05118145108608892
0.001,L2,,hidden_u_hurts,0.00036374794722260334,2.3099388523409824e-12,0.00027825313664476555,0.05118145108608892,7.563756635428283e-07,4.3108702316163594e-08,0.05118149419479123
0.01,L2,,hidden_u_hurts,0.003605174101184369,2.5276928476702375e-12,0.0027539553934237547,0.05118145108608892,7.409198203672258e-05,4.2768432684248125e-06,0.05118572792935734
0.1,L2,,hidden_u_hurts,0.03311833046138469,2.739962542396492e-12,0.024964178251738987,0.05118145108608892,0.006088242737943651,0.00039770517970303537,0.05157915626579195
0.001,IRMV1,,hidden_u_hurts,3.912496021780849e-06,4.0241904211622906e-12,3.5507656628665877e-06,0.05118145108608892,1.231690048352228e-10,6.710548783317449e-12,0.051181451092799465
0.01,IRMV1,,hidden_u_hurts,3.8357107578216814e-05,3.50366912156573e-11,3.475625620153372e-05,0.05118145108608892,1.1801124426061701e-08,6.416824363530971e-10,0.05118145172777135
0.1,IRMV1,,hidden_u_hurts,0.00032702302326044193,3.396285345773631e-10,0.00029243277737085944,0.05118145108608892,8.354289246019261e-07,4.412072155540736e-08,0.05118149520681047
0.001,VREX,,hidden_u_hurts,4.002959935577232e-07,2.5855803588876665e-12,3.081193234694662e-07,0.05118145108608892,9.274601977930782e-13,1.7351398096110415e-13,0.05118145108626243
0.01,VREX,,hidden_u_hurts,4.002881553979933e-06,2.379807714301025e-12,3.081136761313994e-06,0.05118145108608892,9.274262003584337e-11,1.7350905434643238e-11,0.05118145110343982
0.1,VREX,,hidden_u_hurts,4.002119860590421e-05,3.0644220883788333e-12,3.080578719771964e-05,0.05118145108608892,9.270902883106455e-09,1.734596175029246e-09,0.05118145282068509
0.0,L2,,u_exposed_complete_information,1.5525837007360229e-12,2.301862981896452e-12,1.3973015356361831e-12,0.0,0.0,1.9259299443871679e-34,1.9259299443871679e-34
0.001,L2,,u_exposed_complete_information,0.00036456905947643915,2.3099388523409824e-12,0.00027825313664476555,0.0,inf,1.3460763307509215e-07,1.3460763307509215e-07
0.01,L2,,u_exposed_complete_information,0.003613682044446811,2.5276928476702375e-12,0.0027539553934237547,0.0,inf,1.3261143472545034e-05,1.3261143472545034e-05
0.1,L2,,u_exposed_complete_information,0.03323367909362254,2.739962542396492e-12,0.024964178251738987,0.0,inf,0.0011522714041840797,0.0011522714041840797
0.001,IRMV1,,u_exposed_complete_information,3.9125888704734636e-06,4.0241904211622906e-12,3.5507656628665877e-06,0.0,inf,2.5343783427374973e-11,2.5343783427374973e-11
0.01,IRMV1,,u_exposed_complete_information,3.835712826601966e-05,3.50366912156573e-11,3.475625620153372e-05,0.0,inf,2.4262662833678867e-09,2.4262662833678867e-09
0.1,IRMV1,,u_exposed_complete_information,0.00032748203496524807,3.396285345773631e-10,0.00029243277737085944,0.0,inf,1.680060317309438e-07,1.680060317309438e-07
0.001,VREX,,u_exposed_complete_information,5.318834078233081e-07,2.5855803588876665e-12,3.5023288974533884e-07,0.0,inf,1.7351398651589187e-13,1.7351398651589187e-13
0.01,VREX,,u_exposed_complete_information,5.318736528906195e-06,2.379807714301025e-12,3.5022703391840437e-06,0.0,inf,3.403170707126695e-11,3.403170707126695e-11
0.1,VREX,,u_exposed_complete_information,5.317777756103539e-05,3.0644220883788333e-12,3.501684863715937e-05,0.0,inf,3.401924508630745e-09,3.401924508630745e-09
0.0,L2,0,declared_source_target_coupled_correlation,14.722221289304132,9.220109835244595e-11,14.722221289304136,0.0,inf,108.37189984561991,108.37189984561991
0.001,L2,0,declared_source_target_coupled_correlation,14.776823364929598,6.020945165431606e-11,14.776823364929601,0.0,inf,109.35909451580189,109.35909451580189
0.01,L2,0,declared_source_target_coupled_correlation,15.00481604598816,2.90837392029324e-11,15.004816045988163,0.0,inf,113.66713727651685,113.66713727651685
0.1,L2,0,declared_source_target_coupled_correlation,15.351080277296195,1.7271056875860865e-11,15.351080277296198,0.0,inf,120.72278118635016,120.72278118635016
0.001,IRMV1,0,declared_source_target_coupled_correlation,14.721670918892913,1.0365539809369338e-10,14.721668850716792,0.0,inf,108.36686846871612,108.36686846871612
0.01,IRMV1,0,declared_source_target_coupled_correlation,14.718675186881772,7.680940323209076e-11,14.718454185789724,0.0,inf,108.34363774972323,108.34363774972323
0.1,IRMV1,0,declared_source_target_coupled_correlation,14.724413285034608,1.1017335995428168e-10,14.704828920221711,0.0,inf,108.33802263908011,108.33802263908011
0.001,VREX,0,declared_source_target_coupled_correlation,14.722173795569853,6.867953722483117e-11,14.722173784147152,0.0,inf,108.37128345164362,108.37128345164362
