A_recoverable_norm,E_mode_norm,PiO_mode_norm,alignment_with_negative_Arec,lambda,method,mode,policy,setting,source_visible_norm
0.15942051929462298,8.993633653939092e-13,0.15942051929414636,1.0,0.0,L2,0,actual,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.0,L2,0,Pi00,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.0,L2,0,PiC0,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.0,L2,0,Pi0K,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.0,L2,0,PiCK,hidden_u_hurts,1.3086745454002222
0.016939847902615573,5.192559819585452e-13,0.016939847902692328,1.0,0.0,L2,1,actual,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.0,L2,1,Pi00,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.0,L2,1,PiC0,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.0,L2,1,Pi0K,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.0,L2,1,PiCK,hidden_u_hurts,1.179566679912516
0.0,0.0,0.0,0.0,0.0,L2,2,actual,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.0,L2,2,Pi00,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.0,L2,2,PiC0,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.0,L2,2,Pi0K,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.0,L2,2,PiCK,hidden_u_hurts,1.1180339887572193
0.17753407154173476,4.677018339480715e-13,0.17753407154147605,1.0,0.0,L2,3,actual,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.0,L2,3,Pi00,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.0,L2,3,PiC0,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.0,L2,3,Pi0K,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.0,L2,3,PiCK,hidden_u_hurts,1.0491124338579063
0.06589107497652855,8.546958660297999e-13,0.06589107497632048,1.0,0.0,L2,4,actual,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.0,L2,4,Pi00,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.0,L2,4,PiC0,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.0,L2,4,Pi0K,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.0,L2,4,PiCK,hidden_u_hurts,1.0178008433018144
0.1263984541514605,1.822123786037369e-13,0.1263984541514011,0.9999999999999998,0.0,L2,5,actual,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.0,L2,5,Pi00,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.0,L2,5,PiC0,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.0,L2,5,Pi0K,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.0,L2,5,PiCK,hidden_u_hurts,0.5553390759962502
0.2146119130120162,5.912598939081698e-13,0.2146119130122813,0.9999999999999999,0.0,L2,6,actual,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.0,L2,6,Pi00,hidden_u_hurts,0.46330382781737406
