lambda,method,relative_error,seed,setting
0.001,L2,6.657492864269441e-09,,hidden_u_hurts
0.01,L2,6.527921736348003e-09,,hidden_u_hurts
0.1,L2,5.374868012761077e-09,,hidden_u_hurts
0.001,IRMV1,6.208973192447137e-08,,hidden_u_hurts
0.01,IRMV1,5.7492261519408885e-08,,hidden_u_hurts
0.1,IRMV1,2.7984817342107945e-08,,hidden_u_hurts
0.001,VREX,1.7851105719247501e-09,,hidden_u_hurts
0.01,VREX,1.1820071839068507e-09,,hidden_u_hurts
0.1,VREX,2.0527007754316518e-09,,hidden_u_hurts
0.001,L2,6.657492864269441e-09,,u_exposed_complete_information
0.01,L2,6.527921736348003e-09,,u_exposed_complete_information
0.1,L2,5.374868012761077e-09,,u_exposed_complete_information
0.001,IRMV1,6.208973192447137e-08,,u_exposed_complete_information
0.01,IRMV1,5.7492261519408885e-08,,u_exposed_complete_information
0.1,IRMV1,2.7984817342107945e-08,,u_exposed_complete_information
0.001,VREX,1.7851105719247501e-09,,u_exposed_complete_information
0.01,VREX,1.1820071839068507e-09,,u_exposed_complete_information
0.1,VREX,2.0527007754316518e-09,,u_exposed_complete_information
0.001,L2,0.0006929510896501076,0,declared_source_target_coupled_correlation
0.01,L2,4.1784484357720244e-05,0,declared_source_target_coupled_correlation
0.1,L2,7.458866663032354e-07,0,declared_source_target_coupled_correlation
0.001,IRMV1,7.20389083422396e-06,0,declared_source_target_coupled_correlation
0.01,IRMV1,6.463615332275335e-07,0,declared_source_target_coupled_correlation
0.1,IRMV1,1.4914180103270013e-09,0,declared_source_target_coupled_correlation
0.001,VREX,3.9900325497268814e-10,0,declared_source_target_coupled_correlation
0.01,VREX,1.8486195561470422e-10,0,declared_source_target_coupled_correlation
0.1,VREX,4.041246781726468e-10,0,declared_source_target_coupled_correlation
0.001,L2,0.0006929510896501076,0,mechanism_defined_hidden
0.01,L2,4.1784484357720244e-05,0,mechanism_defined_hidden
0.1,L2,7.458866663032354e-07,0,mechanism_defined_hidden
0.001,IRMV1,7.20389083422396e-06,0,mechanism_defined_hidden
0.01,IRMV1,6.463615332275335e-07,0,mechanism_defined_hidden
0.1,IRMV1,1.4914180103270013e-09,0,mechanism_defined_hidden
0.001,VREX,3.9900325497268814e-10,0,mechanism_defined_hidden
0.01,VREX,1.8486195561470422e-10,0,mechanism_defined_hidden
0.1,VREX,4.041246781726468e-10,0,mechanism_defined_hidden
0.001,L2,0.0006929510896501076,0,mechanism_defined_exposed
0.01,L2,4.1784484357720244e-05,0,mechanism_defined_exposed
0.1,L2,7.458866663032354e-07,0,mechanism_defined_exposed
0.001,IRMV1,7.20389083422396e-06,0,mechanism_defined_exposed
0.01,IRMV1,6.463615332275335e-07,0,mechanism_defined_exposed
0.1,IRMV1,1.4914180103270013e-09,0,mechanism_defined_exposed
0.001,VREX,3.9900325497268814e-10,0,mechanism_defined_exposed
0.01,VREX,1.8486195561470422e-10,0,mechanism_defined_exposed
0.1,VREX,4.041246781726468e-10,0,mechanism_defined_exposed
0.001,L2,0.0006929510896501076,0,irrelevant_source_diversity
0.01,L2,4.1784484357720244e-05,0,irrelevant_source_diversity
0.1,L2,7.458866663032354e-07,0,irrelevant_source_diversity
0.001,IRMV1,7.20389083422396e-06,0,irrelevant_source_diversity
0.01,IRMV1,6.463615332275335e-07,0,irrelevant_source_diversity
0.1,IRMV1,1.4914180103270013e-09,0,irrelevant_source_diversity
0.001,VREX,3.9900325497268814e-10,0,irrelevant_source_diversity
0.01,VREX,1.8486195561470422e-10,0,irrelevant_source_diversity
0.1,VREX,4.041246781726468e-10,0,irrelevant_source_diversity
0.001,L2,0.0006535387841778747,1,declared_source_target_coupled_correlation
0.01,L2,3.777345565959064e-05,1,declared_source_target_coupled_correlation
0.1,L2,6.887157597382283e-07,1,declared_source_target_coupled_correlation
0.001,IRMV1,6.228242534876601e-06,1,declared_source_target_coupled_correlation
0.01,IRMV1,5.550721620306836e-07,1,declared_source_target_coupled_correlation
0.1,IRMV1,1.3243458089874276e-09,1,declared_source_target_coupled_correlation
0.001,VREX,3.6057748701656286e-10,1,declared_source_target_coupled_correlation
0.01,VREX,1.8554920466535322e-10,1,declared_source_target_coupled_correlation
0.1,VREX,6.253281527662733e-10,1,declared_source_target_coupled_correlation
0.001,L2,0.0006535387841778747,1,mechanism_defined_hidden
0.01,L2,3.777345565959064e-05,1,mechanism_defined_hidden
0.1,L2,6.887157597382283e-07,1,mechanism_defined_hidden
0.001,IRMV1,6.228242534876601e-06,1,mechanism_defined_hidden
0.01,IRMV1,5.550721620306836e-07,1,mechanism_defined_hidden
0.1,IRMV1,1.3243458089874276e-09,1,mechanism_defined_hidden
0.001,VREX,3.6057748701656286e-10,1,mechanism_defined_hidden
0.01,VREX,1.8554920466535322e-10,1,mechanism_defined_hidden
0.1,VREX,6.253281527662733e-10,1,mechanism_defined_hidden
0.001,L2,0.0006535387841778747,1,mechanism_defined_exposed
0.01,L2,3.777345565959064e-05,1,mechanism_defined_exposed
0.1,L2,6.887157597382283e-07,1,mechanism_defined_exposed
0.001,IRMV1,6.228242534876601e-06,1,mechanism_defined_exposed
0.01,IRMV1,5.550721620306836e-07,1,mechanism_defined_exposed
0.1,IRMV1,1.3243458089874276e-09,1,mechanism_defined_exposed
0.001,VREX,3.6057748701656286e-10,1,mechanism_defined_exposed
0.01,VREX,1.8554920466535322e-10,1,mechanism_defined_exposed
0.1,VREX,6.253281527662733e-10,1,mechanism_defined_exposed
0.001,L2,0.0006535387841778747,1,irrelevant_source_diversity
0.01,L2,3.777345565959064e-05,1,irrelevant_source_diversity
0.1,L2,6.887157597382283e-07,1,irrelevant_source_diversity
0.001,IRMV1,6.228242534876601e-06,1,irrelevant_source_diversity
0.01,IRMV1,5.550721620306836e-07,1,irrelevant_source_diversity
0.1,IRMV1,1.3243458089874276e-09,1,irrelevant_source_diversity
0.001,VREX,3.6057748701656286e-10,1,irrelevant_source_diversity
