adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
True,0.319942029393104,0.0,0.0,0.0,gaussian,0.0,L2,0.0,True,,hidden_u_hurts,1.9073820105326317e-23,True
True,0.319942029393104,0.0,0.0,6.720915928543027e-24,gaussian,0.001,L2,0.0,False,,hidden_u_hurts,7.563756635428283e-07,True
True,0.319942029393104,0.0,0.0,2.244403904152234e-22,gaussian,0.01,L2,0.0,False,,hidden_u_hurts,7.409198203672258e-05,True
True,0.319942029393104,0.0,0.0,5.421345901750302e-20,gaussian,0.1,L2,0.0,False,,hidden_u_hurts,0.006088242737943651,True
True,0.319942029393104,0.0,0.0,5.711963089866095e-28,gaussian,0.001,IRMV1,0.0,False,,hidden_u_hurts,1.231690048352228e-10,True
True,0.319942029393104,0.0,0.0,2.948377546719533e-26,gaussian,0.01,IRMV1,0.0,False,,hidden_u_hurts,1.1801124426061701e-08,True
True,0.319942029393104,0.0,0.0,1.9014028723827937e-24,gaussian,0.1,IRMV1,0.0,False,,hidden_u_hurts,8.354289246019261e-07,True
True,0.319942029393104,0.0,0.0,1.586921622027234e-30,gaussian,0.001,VREX,0.0,False,,hidden_u_hurts,9.274601977930782e-13,True
True,0.319942029393104,0.0,0.0,4.039468665775645e-28,gaussian,0.01,VREX,0.0,False,,hidden_u_hurts,9.274262003584337e-11,True
True,0.319942029393104,0.0,0.0,8.202211606004101e-26,gaussian,0.1,VREX,0.0,False,,hidden_u_hurts,9.270902883106455e-09,True
True,0.0,0.0,0.0,0.0,gaussian,0.0,L2,-1.9524515814912364e-24,True,,u_exposed_complete_information,0.0,True
False,0.0,0.0,0.0,6.720915928543027e-24,gaussian,0.001,L2,-7.742480805265063e-08,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,2.244403904152234e-22,gaussian,0.01,L2,-7.584270308967789e-06,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,5.421345901750302e-20,gaussian,0.1,L2,-0.0006232101957845979,False,,u_exposed_complete_information,inf,False
True,0.0,0.0,0.0,5.711963089866095e-28,gaussian,0.001,IRMV1,-1.2607936792592407e-11,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,2.948377546719533e-26,gaussian,0.01,IRMV1,-1.2079973451466517e-09,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,1.9014028723827937e-24,gaussian,0.1,IRMV1,-8.551692928083465e-08,False,,u_exposed_complete_information,inf,False
True,0.0,0.0,0.0,1.586921622027234e-30,gaussian,0.001,VREX,-1.2266307705937068e-13,False,,u_exposed_complete_information,inf,False
True,0.0,0.0,0.0,4.039468665775645e-28,gaussian,0.01,VREX,-1.2265897528728317e-11,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,8.202211606004101e-26,gaussian,0.1,VREX,-1.22617968847773e-09,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,8.721247889607468e-15,cmnist,0.0,L2,-216.74379969123976,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,1.4270466473673096e-14,cmnist,0.001,L2,-218.35450875832944,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,1.8233769086979792e-14,cmnist,0.01,L2,-225.14450457394383,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.952546217387862e-15,cmnist,0.1,L2,-235.65566567999218,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.487589467796915e-15,cmnist,0.001,IRMV1,-216.72753375016524,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,1.732885960239357e-14,cmnist,0.01,IRMV1,-216.63289361919132,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,1.421454060101382e-14,cmnist,0.1,IRMV1,-216.23199357298878,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,3.823746473239246e-15,cmnist,0.001,VREX,-216.7424009306298,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,1.4242012232511105e-14,cmnist,0.01,VREX,-216.729836563803,False,0,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,2.15261633162741e-14,cmnist,0.1,VREX,-216.6065696501752,False,0,declared_source_target_coupled_correlation,inf,False
False,10.105851856220884,0.0,0.0,8.860005320642848e-15,cmnist,0.0,L2,-215.14084237581858,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,1.776225045173639e-14,cmnist,0.001,L2,-216.56066343138127,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,2.3961335177454686e-14,cmnist,0.01,L2,-222.67320284778157,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,9.570077515185497e-15,cmnist,0.1,L2,-232.1675862565475,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,5.944900050879316e-15,cmnist,0.001,IRMV1,-215.1257560498895,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,1.93959625519986e-14,cmnist,0.01,IRMV1,-215.04252490536857,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,1.4638637621481144e-14,cmnist,0.1,IRMV1,-214.74091232631574,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,1.2118197747981617e-14,cmnist,0.001,VREX,-215.13976858561927,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,1.9768084688819132e-14,cmnist,0.01,VREX,-215.1301227439922,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,2.2147069992538373e-14,cmnist,0.1,VREX,-215.03543917176646,False,0,mechanism_defined_hidden,inf,False
False,5.834616289579606,1.143861218199698e-14,1.1438612181996981e-14,6.53270823281662e-14,cmnist,0.0,L2,-300.84544307492365,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,1.1917621105297894e-14,1.1917621105297896e-14,2.4025217322672108e-14,cmnist,0.001,L2,-304.5338510084117,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,1.959372119925776e-14,1.9593721199257768e-14,3.516342787334918e-14,cmnist,0.01,L2,-319.91119597873507,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,5.363972087346931e-15,5.363972087346934e-15,2.6062438003478218e-14,cmnist,0.1,L2,-343.9390649779616,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,9.153249840226112e-15,9.153249840226114e-15,6.022241108603361e-14,cmnist,0.001,IRMV1,-300.8097776186228,False,0,mechanism_defined_exposed,inf,False
