method,seed,semantic_direction,direction_index,logical_checkpoint,horizon,finite_alpha,response_schedule,outcome_schedule,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,target_A_norm,target_O_norm,target_R_norm,state_gate_pass
ERM,10,source_env0_color,0,300,20,0.1,probe_A,independent_B,14.512731552124023,8.5820951461792,11.589828491210938,1.6256961822509766,1.420021320255182,1.0564524012780991,150.11769104003906,True
ERM,10,source_env1_color,1,300,20,0.1,probe_A,independent_B,14.557772636413574,8.649981498718262,11.622871398925781,1.4196914434432983,1.4205988512813617,1.0554766781454141,149.3835906982422,True
ERM,10,source_label_noise,2,300,20,0.1,probe_A,independent_B,13.499105453491211,6.657491207122803,9.03734016418457,7.498678684234619,1.3720107355168525,0.17543156597124146,147.9280242919922,True
CORAL,10,source_env0_color,0,300,20,0.1,probe_A,independent_B,14.723464965820312,8.689621925354004,11.79365348815918,1.4766863584518433,1.4154848581670152,1.0330595737043557,150.87074279785156,True
CORAL,10,source_env1_color,1,300,20,0.1,probe_A,independent_B,14.767508506774902,8.743128776550293,11.830322265625,1.2963289022445679,1.4166722115055488,1.031549380744029,150.04600524902344,True
CORAL,10,source_label_noise,2,300,20,0.1,probe_A,independent_B,13.607863426208496,6.692854881286621,9.090879440307617,7.598387241363525,1.3658866315249063,0.1743319407372527,147.61683654785156,True
IRMv1,10,source_env0_color,0,300,20,0.1,probe_A,independent_B,1.4545732736587524,0.8216758370399475,0.990913450717926,0.6772903800010681,0.9708714783498165,0.7859326922123518,11.465324401855469,True
IRMv1,10,source_env1_color,1,300,20,0.1,probe_A,independent_B,0.25679516792297363,0.1455988883972168,0.1786513477563858,0.11326248943805695,0.9750189802755141,0.7916158953410757,3.5403153896331787,True
IRMv1,10,source_label_noise,2,300,20,0.1,probe_A,independent_B,5.34989595413208,3.1722939014434814,3.9899375438690186,1.624293565750122,1.5946282058872059,0.49560004836734645,60.43478775024414,True
VREX,10,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.15294943749904633,0.09754931181669235,0.11528550833463669,0.024226294830441475,0.9807695148564678,0.5583567954181203,19.110183715820312,True
VREX,10,source_env1_color,1,300,20,0.1,probe_A,independent_B,0.7829645872116089,0.47905153036117554,0.6137353181838989,0.08289819955825806,0.9866865202267718,0.5656817380723433,18.48346519470215,True
VREX,10,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.25592660903930664,0.14112120866775513,0.18910236656665802,0.09911378473043442,1.379703345107411,0.21779770401276327,6.483767032623291,True
FISHR,10,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.618693470954895,0.3903633654117584,0.4712425470352173,0.09126035869121552,0.94099114501268,0.15890869720074646,29.536087036132812,True
FISHR,10,source_env1_color,1,300,20,0.1,probe_A,independent_B,0.7424576282501221,0.4666905105113983,0.5699775218963623,0.09256776422262192,0.9604938314076998,0.16094203631976553,26.711023330688477,True
FISHR,10,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.2537108063697815,0.16916626691818237,0.18436092138290405,0.04198814556002617,1.2411870085699825,0.11841184010361214,1.3615553379058838,True
ERM,11,source_env0_color,0,300,20,0.1,probe_A,independent_B,12.639552116394043,7.497488021850586,10.025367736816406,1.7429713010787964,1.401996120346311,1.073583815566803,128.46681213378906,True
