semantic_direction,predictor,cv,n,folds,rmse,fold_rmse_mean,outcome_sd
source_env0_color,A_scalar_target,leave_one_method_out,25,5,1.3694798271537885,1.3272692475528287,6.130106642598403
source_env0_color,A_scalar_target,leave_one_seed_out,25,5,1.2811483551072478,1.238732367374472,6.130106642598403
source_env0_color,AO_scalar_target,leave_one_method_out,25,5,1.8069797615257168,1.64508520779798,6.130106642598403
source_env0_color,AO_scalar_target,leave_one_seed_out,25,5,1.291463780472997,1.2785009642140597,6.130106642598403
source_env0_color,A_full_geometry,leave_one_method_out,25,5,1.2311283039800769,1.1285308346946559,6.130106642598403
source_env0_color,A_full_geometry,leave_one_seed_out,25,5,1.323146034565401,1.300190842506518,6.130106642598403
source_env0_color,AO_full_geometry,leave_one_method_out,25,5,2.470260455985983,2.239116621687078,6.130106642598403
source_env0_color,AO_full_geometry,leave_one_seed_out,25,5,1.4857629682778979,1.46759597852013,6.130106642598403
source_env0_color,AO_full_plus_R_full,leave_one_method_out,25,5,3.2607257587612364,2.547563413327624,6.130106642598403
source_env0_color,AO_full_plus_R_full,leave_one_seed_out,25,5,1.3975357451676913,1.2663316285071056,6.130106642598403
source_env0_color,AO_full_plus_R_color_only,leave_one_method_out,25,5,3.128587083089814,2.1755499980539907,6.130106642598403
source_env0_color,AO_full_plus_R_color_only,leave_one_seed_out,25,5,1.5041931807806943,1.3579928502837824,6.130106642598403
source_env0_color,AO_full_plus_R_noise_only,leave_one_method_out,25,5,4.382467814430634,3.3517587392859176,6.130106642598403
source_env0_color,AO_full_plus_R_noise_only,leave_one_seed_out,25,5,1.295649596165534,1.2719824752045616,6.130106642598403
source_env0_color,method_identity,leave_one_seed_out,25,5,1.2009379706389838,1.1568413953106575,6.130106642598403
source_env1_color,A_scalar_target,leave_one_method_out,25,5,1.0754740414892285,1.0540988634042443,5.931877106542294
source_env1_color,A_scalar_target,leave_one_seed_out,25,5,1.2209328029984663,1.2172020193575466,5.931877106542294
source_env1_color,AO_scalar_target,leave_one_method_out,25,5,1.4381611425884757,1.3717321442774335,5.931877106542294
source_env1_color,AO_scalar_target,leave_one_seed_out,25,5,1.261666702285833,1.2578392647141052,5.931877106542294
source_env1_color,A_full_geometry,leave_one_method_out,25,5,1.231382759064846,1.2161426819722503,5.931877106542294
source_env1_color,A_full_geometry,leave_one_seed_out,25,5,1.4233248746812632,1.4190342787560124,5.931877106542294
source_env1_color,AO_full_geometry,leave_one_method_out,25,5,1.5615749991862329,1.489519699159254,5.931877106542294
source_env1_color,AO_full_geometry,leave_one_seed_out,25,5,1.6224147236658897,1.6183373394185085,5.931877106542294
source_env1_color,AO_full_plus_R_full,leave_one_method_out,25,5,1.9313028487953705,1.605833355205951,5.931877106542294
source_env1_color,AO_full_plus_R_full,leave_one_seed_out,25,5,1.3420327837575177,1.2870802581834133,5.931877106542294
source_env1_color,AO_full_plus_R_color_only,leave_one_method_out,25,5,1.3526417912360102,1.1711664816356495,5.931877106542294
source_env1_color,AO_full_plus_R_color_only,leave_one_seed_out,25,5,1.2425014055873376,1.191815105446897,5.931877106542294
source_env1_color,AO_full_plus_R_noise_only,leave_one_method_out,25,5,3.407537790725458,2.693640700304617,5.931877106542294
source_env1_color,AO_full_plus_R_noise_only,leave_one_seed_out,25,5,1.338446460191908,1.3187408228667041,5.931877106542294
source_env1_color,method_identity,leave_one_seed_out,25,5,1.2266125370048002,1.1963994557241437,5.931877106542294
source_label_noise,A_scalar_target,leave_one_method_out,25,5,13.683049619188925,12.069987263059605,5.944722616712306
source_label_noise,A_scalar_target,leave_one_seed_out,25,5,5.973996472878231,5.972750194519799,5.944722616712306
source_label_noise,AO_scalar_target,leave_one_method_out,25,5,14.265238349776718,12.271372625263629,5.944722616712306
source_label_noise,AO_scalar_target,leave_one_seed_out,25,5,5.893310567711219,5.8874687174101705,5.944722616712306
source_label_noise,A_full_geometry,leave_one_method_out,25,5,1.6684004713986753,1.2676205413919495,5.944722616712306
source_label_noise,A_full_geometry,leave_one_seed_out,25,5,0.9192158363901742,0.8574528807346077,5.944722616712306
source_label_noise,AO_full_geometry,leave_one_method_out,25,5,4.15950457774586,3.231907902441781,5.944722616712306
source_label_noise,AO_full_geometry,leave_one_seed_out,25,5,1.0038214660706353,0.9650270974290411,5.944722616712306
source_label_noise,AO_full_plus_R_full,leave_one_method_out,25,5,3.560618271406573,2.7682281539163607,5.944722616712306
source_label_noise,AO_full_plus_R_full,leave_one_seed_out,25,5,1.39169512367333,1.3191046803494098,5.944722616712306
source_label_noise,AO_full_plus_R_color_only,leave_one_method_out,25,5,3.8532008117309946,2.91046491357241,5.944722616712306
source_label_noise,AO_full_plus_R_color_only,leave_one_seed_out,25,5,1.2316136329687584,1.1606809419743205,5.944722616712306
source_label_noise,AO_full_plus_R_noise_only,leave_one_method_out,25,5,5.065063100700033,3.7757915414177177,5.944722616712306
source_label_noise,AO_full_plus_R_noise_only,leave_one_seed_out,25,5,1.0221349161115993,1.000970648940659,5.944722616712306
source_label_noise,method_identity,leave_one_seed_out,25,5,0.5562617995499095,0.5119606188467071,5.944722616712306
