method,seed,logical_checkpoint,legacy_checkpoint_key,probe_schedule_hash,outcome_schedule_hash,probe_outcome_schedule_equal,state_gate_pass,parameter_hash,optimizer_hash,algorithm_hash,bank_initial_logits_equal
ERM,10,300,299,bea2a7a55429d2c87696f4ac2dd956de4f96f23451ae1b575694d8936fab19fc,c842c1b1cec2d914634f41ef65830a31ffb0cb3a281fd2c9db29fb9f0e2c66d6,False,True,5bfce5e2d59bcc3508ff846d294c182511b2238c8a15605569bab034e486370e,e9e071ffbe3a773467a8b127e7a0136acee4cbd02ca85df0654b940e0d14f9f5,e241a4f7cdd16a8fe22cb891dc6d6a428d857c7292772d8bb5474335681a7af8,True
CORAL,10,300,299,bea2a7a55429d2c87696f4ac2dd956de4f96f23451ae1b575694d8936fab19fc,c842c1b1cec2d914634f41ef65830a31ffb0cb3a281fd2c9db29fb9f0e2c66d6,False,True,df7afae0777e6f4c5af2aec21f1bc5fd1ba98b98819dc8fc9794b68b0fba0ece,b3428ff0e2eb66100f2d1d1c97b516e0261023ad7a61b44484bdc50121d39ef2,d99990a387f0c79b99717c795fff13727d4d82b4edb09141f14944ceff616951,True
IRMv1,10,300,299,bea2a7a55429d2c87696f4ac2dd956de4f96f23451ae1b575694d8936fab19fc,c842c1b1cec2d914634f41ef65830a31ffb0cb3a281fd2c9db29fb9f0e2c66d6,False,True,42f48e0416478b63151a881f10766e0b521c4529cbe9ed5038235c53fafef6d4,d601db4eae708af4e548a0da87123ce27bc1c4360fa120a7c4424a6551b3a71f,ed24f08e965dac88a3be813182fd5e757aeab4c2a4d62792632f656c611c2b64,True
VREX,10,300,299,bea2a7a55429d2c87696f4ac2dd956de4f96f23451ae1b575694d8936fab19fc,c842c1b1cec2d914634f41ef65830a31ffb0cb3a281fd2c9db29fb9f0e2c66d6,False,True,489fb2ee4e948827762c322f4f5e6fc3acfcba8fe4d96145407c180d6a061e7b,66dee1b7b5c70478d7c9feeae92b8be6c33b7653f2e7d1ec9b7c5791fa791ab5,fcf77cfc2cc2e9a7c8fe7b7c60b10164625a86f7e44c05cc4b6a312f2ae4af3f,True
FISHR,10,300,299,bea2a7a55429d2c87696f4ac2dd956de4f96f23451ae1b575694d8936fab19fc,c842c1b1cec2d914634f41ef65830a31ffb0cb3a281fd2c9db29fb9f0e2c66d6,False,True,6dd57c0bd5717d714335182a1668b0ff855da1151285a6a7abe39158f9dddd08,c6127a0d81b996a5e8192422bfa3cbfbd962bd44506af4b365ce6413416e77a5,a7d0cb3e426987cd68e0c37e7a0260d217f5659529e9c994ed6abdc083ba5430,True
ERM,11,300,299,cddfd4604519d488f30f2488e71ae109d620528d9bf20d04029f1553a8975693,61cfeacc95c3950a55a21c47bc09d4313b7f6f77af24030f6b8a78d27fa1ec3c,False,True,52756dc31d244a5b155cfc6c79ea467d34725afe3c06354a4574985c881dac6d,528e444fec7e247221ddda993a019b4bd269ffd3209fc60596ad2deb409684bd,9f9e345804a36986c1a64fd0eb16fda93442c4123b54732a78de39f837e241d2,True
CORAL,11,300,299,cddfd4604519d488f30f2488e71ae109d620528d9bf20d04029f1553a8975693,61cfeacc95c3950a55a21c47bc09d4313b7f6f77af24030f6b8a78d27fa1ec3c,False,True,41a2e3d47677c75fa454316e0276d632e003ebfa95381876bc006be6add6cb60,5ace305189ef303398e2300836f59a6a5b326300afa35d29c276ee67d06aaa5a,cf84a347dbf54f3e9b1fbdae567f661befa0148df962d84e2338f73b45997d6c,True
IRMv1,11,300,299,cddfd4604519d488f30f2488e71ae109d620528d9bf20d04029f1553a8975693,61cfeacc95c3950a55a21c47bc09d4313b7f6f77af24030f6b8a78d27fa1ec3c,False,True,84263831f076068fdfba5379d0c737eba43cbe14a563d87d23341f6a15acb496,ff9c8d6a6ed0ed14d4d74aeba178dda3b71c97766d99185c7198444d4bbc763b,2c51fb49a70c8aa2f65c5eeacc567b3bb758ade002189f8e960a0d8051022173,True
VREX,11,300,299,cddfd4604519d488f30f2488e71ae109d620528d9bf20d04029f1553a8975693,61cfeacc95c3950a55a21c47bc09d4313b7f6f77af24030f6b8a78d27fa1ec3c,False,True,be550f5ee84777d335452f7ba440b92e1465223b5e48c635f12c42db2d9a26af,b229f027dd3e81a08421d456b41cc6b441121e9616850a563b1687845490914a,1d154b47e0223c31a297a00e557c5233a54d12e39b9dac09ab3b2e3ce8e58cfd,True
FISHR,11,300,299,cddfd4604519d488f30f2488e71ae109d620528d9bf20d04029f1553a8975693,61cfeacc95c3950a55a21c47bc09d4313b7f6f77af24030f6b8a78d27fa1ec3c,False,True,21a4c86a98cb8b17d4b0600f07c85df1744347634a2ba81bbd2463f7c29fead1,e127ee455ea97d8f826e3ce6b2cc91c3db88095b17007e77a69f4940d3ff3929,35f875abc254e3a85da7545b716027b44eb593d4293c7115b40dc9e3d4baba24,True
