method,seed,semantic_direction,horizon,finite_alpha,logical_checkpoint,legacy_checkpoint_key,state_gate_pass,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,A_norm,O_norm,R_norm,A_rank,O_rank,G_0_0,G_0_1,G_0_2,G_1_0,G_1_1,G_1_2,G_2_0,G_2_1,G_2_2
ERM,10,source_env0_color,20,0.1,300,299,True,14.715375900268555,8.768796920776367,11.688467025756836,1.7407790422439575,1.420021320255182,1.0564524012780991,150.11769104003906,5,3,22535.3203125,22363.197265625,1672.0299072265625,,,,,,
ERM,10,source_env1_color,20,0.1,300,299,True,14.681840896606445,8.737126350402832,11.641297340393066,1.9233580827713013,1.4205988512813617,1.0554766781454141,149.3835906982422,5,3,,,,22363.197265625,22315.44921875,1376.91015625,,,
ERM,10,source_label_noise,20,0.1,300,299,True,13.00401496887207,6.473337650299072,8.822073936462402,7.026471138000488,1.3720107355168525,0.17543156597124146,147.9280242919922,5,3,,,,,,,1672.0299072265625,1376.91015625,21882.701171875
CORAL,10,source_env0_color,20,0.1,300,299,True,14.993867874145508,8.907288551330566,11.939483642578125,1.710279107093811,1.4154848581670152,1.0330595737043557,150.87074279785156,5,3,22761.98046875,22574.931640625,1788.9486083984375,,,,,,
CORAL,10,source_env1_color,20,0.1,300,299,True,14.981307029724121,8.89874267578125,11.908045768737793,1.8575204610824585,1.4166722115055488,1.031549380744029,150.04600524902344,5,3,,,,22574.931640625,22513.806640625,1437.7261962890625,,,
CORAL,10,source_label_noise,20,0.1,300,299,True,13.122714042663574,6.5199456214904785,8.877684593200684,7.133209228515625,1.3658866315249063,0.1743319407372527,147.61683654785156,5,3,,,,,,,1788.9486083984375,1437.7261962890625,21790.732421875
IRMv1,10,source_env0_color,20,0.1,300,299,True,1.7170794010162354,1.0093358755111694,1.1893566846847534,0.7176578640937805,0.9708714783498165,0.7859326922123518,11.465324401855469,5,3,131.45367431640625,-31.74867820739746,117.25112915039062,,,,,,
IRMv1,10,source_env1_color,20,0.1,300,299,True,0.3463269770145416,0.20246821641921997,0.2774147093296051,0.044610075652599335,0.9750189802755141,0.7916158953410757,3.5403153896331787,5,3,,,,-31.74867820739746,12.533832550048828,-144.50843811035156,,,
IRMv1,10,source_label_noise,20,0.1,300,299,True,4.928652763366699,2.9303085803985596,3.6231722831726074,1.6054707765579224,1.5946282058872059,0.49560004836734645,60.43478775024414,5,3,,,,,,,117.25112915039062,-144.50843811035156,3652.36328125
VREX,10,source_env0_color,20,0.1,300,299,True,0.592150866985321,0.37381571531295776,0.44681593775749207,0.10611305385828018,0.9807695148564678,0.5583567954181203,19.110183715820312,5,3,365.198974609375,-350.7560119628906,-18.061504364013672,,,,,,
