method,K,semantic_direction,source_bank_response_norm,counterfactual_bank_response_norm,clean_task_bank_response_norm
CORAL,1,source_env0_color,13.471015739440919,18.957785034179686,1.5614150762557983
CORAL,1,source_env1_color,13.548838233947754,19.052198791503905,1.731001329421997
CORAL,1,source_label_noise,3.4197553157806397,6.466397666931153,1.842569065093994
CORAL,5,source_env0_color,116.94212646484375,163.13226928710938,12.027302169799805
CORAL,5,source_env1_color,117.23877868652343,163.34371032714844,11.57212781906128
CORAL,5,source_label_noise,24.669125747680663,54.62414321899414,16.947051811218262
CORAL,20,source_env0_color,97.50032501220703,135.79579315185546,16.651376914978027
CORAL,20,source_env1_color,98.24166870117188,135.85046844482423,19.495662689208984
CORAL,20,source_label_noise,86.33996887207032,125.53208770751954,76.27609710693359
ERM,1,source_env0_color,13.745427513122559,19.354533386230468,1.6311650276184082
ERM,1,source_env1_color,13.824559783935547,19.440090560913085,1.8070637226104735
ERM,1,source_label_noise,3.5338321685791017,6.632492256164551,1.8764308452606202
ERM,5,source_env0_color,117.72326202392578,164.4657409667969,11.61925163269043
ERM,5,source_env1_color,118.09882965087891,164.7686981201172,11.25258731842041
ERM,5,source_label_noise,25.23249282836914,55.64140090942383,16.91733341217041
ERM,20,source_env0_color,98.16193237304688,136.62882232666016,16.848573875427245
ERM,20,source_env1_color,99.11420288085938,136.88642120361328,19.286655235290528
ERM,20,source_label_noise,87.09738006591797,128.0204345703125,76.57833404541016
FISHR,1,source_env0_color,0.20030059516429896,0.258191105723381,0.04005482196807858
FISHR,1,source_env1_color,0.1817858070135116,0.23348570168018337,0.03645173758268352
FISHR,1,source_label_noise,0.027715164050459817,0.03627584502100938,0.01057293545454736
FISHR,5,source_env0_color,2.350025773048401,3.0377979278564453,0.44909125566482544
FISHR,5,source_env1_color,2.0726921796798705,2.674406814575195,0.3950874149799347
FISHR,5,source_label_noise,0.2339245572686195,0.2749254465103149,0.0704821497201919
FISHR,20,source_env0_color,13.421013259887696,17.04438896179199,2.3921607971191405
FISHR,20,source_env1_color,12.065681076049804,15.223055362701416,2.123568606376648
FISHR,20,source_label_noise,0.7056796789169312,0.8223210453987122,0.280873030424118
IRMv1,1,source_env0_color,0.29816759675741195,0.36696079969406126,0.02374445684254164
IRMv1,1,source_env1_color,0.5498619019985199,0.6730133473873139,0.04081336408853527
IRMv1,1,source_label_noise,5.968530464172363,7.396703052520752,0.6688728570938111
IRMv1,5,source_env0_color,2.247843623161316,2.7118240118026735,0.35618664100766184
IRMv1,5,source_env1_color,2.84984405040741,3.447273278236389,0.2546920724213123
IRMv1,5,source_label_noise,43.16622619628906,53.66062545776367,4.829539966583252
IRMv1,20,source_env0_color,5.733988237380982,6.715681791305542,2.309067648649216
IRMv1,20,source_env1_color,4.200036954879761,4.964602279663086,1.4326995253562926
IRMv1,20,source_label_noise,35.14874610900879,44.00390853881836,4.9849944591522215
VREX,1,source_env0_color,0.44799637198448183,0.5674077361822129,0.09045228417962786
VREX,1,source_env1_color,0.45169708132743835,0.5720101997256279,0.09237549193203444
VREX,1,source_label_noise,0.06402407418936487,0.0839982425794005,0.04224761067889628
VREX,5,source_env0_color,4.463965654373169,5.6341287851333615,0.7668042808771134
VREX,5,source_env1_color,4.416453647613525,5.574091362953186,0.762877881526947
VREX,5,source_label_noise,0.34492437541484827,0.44442584216594694,0.1649244301021099
VREX,20,source_env0_color,4.566479969024658,5.685163784027099,1.8797591567039489
VREX,20,source_env1_color,4.762117004394531,5.921776294708252,1.957249116897583
VREX,20,source_label_noise,2.07545046210289,2.627482375502586,1.5352598190307618
