method,semantic_direction,alpha,accuracy_change,accuracy_change,loss_change,loss_change,finite_accuracy,finite_accuracy
,,,mean,std,mean,std,mean,std
CORAL,source_color_common,0.02,-0.013943261841522326,5.988167858106857e-05,0.02084728970929719,0.0007499890553131475,0.8344551756584778,0.0005536463438364925
CORAL,source_color_common,0.05,-0.03485815460380561,0.00014970419645262288,0.052118224273243065,0.0018749726382828328,0.8135402828961944,0.0005033182594680498
CORAL,source_color_common,0.1,-0.06971630920761122,0.00029940839290533514,0.10423644854648617,0.003749945276565689,0.7786821282923888,0.00044780473988293535
CORAL,source_color_contrast,0.02,-1.1102230246251565e-16,1.1102230246251565e-16,-3.3306690738754695e-17,6.329245045284193e-17,0.8483984374999999,0.0005924121440665707
CORAL,source_color_contrast,0.05,0.0,1.3597399555105182e-16,0.0,3.925231146709438e-17,0.8483984375,0.0005924121440664761
CORAL,source_color_contrast,0.1,-1.3322676295501878e-16,4.965068306494546e-17,-1.1102230246251566e-17,6.080941944488117e-17,0.8483984374999999,0.0005924121440665541
CORAL,source_label_noise,0.02,-0.0002656250000000693,9.326044051812519e-05,0.007120501565336579,0.00013848553173187442,0.8481328124999999,0.0006313157453386858
CORAL,source_label_noise,0.05,-0.0006640625000001287,0.00023315110129523274,0.01780125391334143,0.00034621382932968425,0.8477343749999999,0.0007089332583157456
CORAL,source_label_noise,0.1,-0.0013281250000000354,0.000466302202590326,0.035602507826682964,0.0006924276586594148,0.8470703125,0.0008734640537108281
ERM,source_color_common,0.02,-0.013926689026338224,7.664615964981148e-05,0.020854482210047598,0.0007715972244447864,0.8343545609736619,0.0005097808612805031
ERM,source_color_common,0.05,-0.03481672256584543,0.00019161539912446074,0.05213620552511901,0.001928993061111924,0.8134645274341545,0.0004500149212602924
ERM,source_color_common,0.1,-0.06963344513169098,0.0003832307982488989,0.10427241105023813,0.0038579861222238086,0.778647804868309,0.00040700688605453656
ERM,source_color_contrast,0.02,-8.881784197001253e-17,4.965068306494546e-17,-4.4408920985006264e-17,7.23776861244768e-17,0.84828125,0.0005592898852842881
ERM,source_color_contrast,0.05,-2.2204460492503132e-17,4.9650683064945465e-17,-2.2204460492503132e-17,6.329245045284193e-17,0.84828125,0.0005592898852842547
ERM,source_color_contrast,0.1,-1.3322676295501878e-16,1.447553722489536e-16,1.1102230246251566e-17,6.080941944488117e-17,0.84828125,0.0005592898852842617
ERM,source_label_noise,0.02,-0.00028906249999998134,0.00012536567606161015,0.0071749500491044785,0.00011801052855724385,0.8479921875,0.0006284086735059602
