adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
True,0.319942029393104,0.0,0.0,0.0,gaussian,0.0,L2,0.0,True,,hidden_u_hurts,1.9073820105326317e-23,True
True,0.319942029393104,0.0,0.0,2.244403904152234e-22,gaussian,0.01,L2,0.0,False,,hidden_u_hurts,7.409198203672258e-05,True
True,0.319942029393104,0.0,0.0,2.948377546719533e-26,gaussian,0.01,IRMV1,0.0,False,,hidden_u_hurts,1.1801124426061701e-08,True
True,0.319942029393104,0.0,0.0,4.039468665775645e-28,gaussian,0.01,VREX,0.0,False,,hidden_u_hurts,9.274262003584337e-11,True
True,0.0,0.0,0.0,0.0,gaussian,0.0,L2,-1.9524515814912364e-24,True,,u_exposed_complete_information,0.0,True
False,0.0,0.0,0.0,2.244403904152234e-22,gaussian,0.01,L2,-7.584270308967789e-06,False,,u_exposed_complete_information,inf,False
False,0.0,0.0,0.0,2.948377546719533e-26,gaussian,0.01,IRMV1,-1.2079973451466517e-09,False,,u_exposed_complete_information,inf,False
True,0.0,0.0,0.0,4.039468665775645e-28,gaussian,0.01,VREX,-1.2265897528728317e-11,False,,u_exposed_complete_information,inf,False
False,10.105851856220884,0.0,0.0,8.860005320642848e-15,cmnist,0.0,L2,-215.14084237581858,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,9.666083124865145e-15,cmnist,0.01,L2,-222.67320309485132,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,9.270968387298049e-15,cmnist,0.01,IRMV1,-215.04252526374734,False,0,mechanism_defined_hidden,inf,False
False,10.105851856220884,0.0,0.0,9.212766177129898e-15,cmnist,0.01,VREX,-215.13012353221387,False,0,mechanism_defined_hidden,inf,False
False,5.834616289579606,1.143861218199698e-14,1.1438612181996981e-14,6.53270823281662e-14,cmnist,0.0,L2,-300.84544307492365,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,2.753122283988051e-14,2.753122283988051e-14,2.869227388444952e-14,cmnist,0.01,L2,-319.91119672736636,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,1.2282346667230615e-14,1.2282346667230624e-14,1.7530793706764007e-14,cmnist,0.01,IRMV1,-300.58994484353684,False,0,mechanism_defined_exposed,inf,False
False,5.834616289579606,8.481607883792149e-15,8.48160788379215e-15,2.7343657821247518e-14,cmnist,0.01,VREX,-300.8101694459339,False,0,mechanism_defined_exposed,inf,False
False,6.7373805017029245,0.0,0.0,7.53064502784086e-15,cmnist,0.0,L2,-100.52877320677293,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,6.716877342605091e-15,cmnist,0.01,L2,-104.03915008229092,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,1.3833786154880646e-14,cmnist,0.01,IRMV1,-100.47885572712246,False,1,mechanism_defined_hidden,inf,False
False,6.7373805017029245,0.0,0.0,1.1855749770423091e-14,cmnist,0.01,VREX,-100.51865319476005,False,1,mechanism_defined_hidden,inf,False
False,3.889828446291121,1.1846267443191743e-14,1.1846267443191745e-14,2.0836802401610555e-14,cmnist,0.0,L2,-147.24919319320054,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,1.2848408018677039e-14,1.2848408018677044e-14,1.891238574276573e-14,cmnist,0.01,L2,-156.09487965651877,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,5.230297305122967e-15,5.230297305122967e-15,8.626967153645784e-15,cmnist,0.01,IRMV1,-147.09816907935766,False,1,mechanism_defined_exposed,inf,False
False,3.889828446291121,1.3213790141441663e-14,1.3213790141441664e-14,2.6385539166676837e-14,cmnist,0.01,VREX,-147.21584339543904,False,1,mechanism_defined_exposed,inf,False
False,6.317102269586476,0.0,0.0,5.5739500447360856e-15,cmnist,0.0,L2,-90.13605015230956,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,4.332846870598331e-15,cmnist,0.01,L2,-91.96998196523532,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,7.44882241156698e-15,cmnist,0.01,IRMV1,-90.11473866460173,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,4.4906308611194804e-15,cmnist,0.01,VREX,-90.12120750364264,False,2,mechanism_defined_hidden,inf,False
False,3.6471806958441504,4.8418992891959955e-15,4.8418992891959955e-15,1.32415715199497e-14,cmnist,0.0,L2,-134.99501332549357,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,6.435327720235432e-15,6.435327720235432e-15,1.0416223716607492e-14,cmnist,0.01,L2,-139.29386277893445,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,4.809413228776484e-15,4.809413228776482e-15,1.2077432416615234e-14,cmnist,0.01,IRMV1,-134.91305353958126,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,5.828168136002002e-15,5.828168136002002e-15,1.0150324302248791e-14,cmnist,0.01,VREX,-134.94498122349205,False,2,mechanism_defined_exposed,inf,False
False,5.775897356709084,0.0,0.0,9.000864259805227e-15,cmnist,0.0,L2,-78.80380904549776,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,8.185416674793289e-15,cmnist,0.01,L2,-81.48616726842837,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,7.29144334468729e-15,cmnist,0.01,IRMV1,-78.77983104518526,False,3,mechanism_defined_hidden,inf,False
False,5.775897356709084,0.0,0.0,3.3146295103835494e-15,cmnist,0.01,VREX,-78.77959136191885,False,3,mechanism_defined_hidden,inf,False
False,3.3347158937076364,6.603631980901841e-15,6.6036319809018384e-15,1.1395036898833677e-14,cmnist,0.0,L2,-124.24384335097739,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,5.56241474553218e-15,5.562414745532182e-15,1.7033271242540036e-14,cmnist,0.01,L2,-130.66829347230637,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,9.438035251401584e-15,9.438035251401582e-15,1.9196475071741314e-14,cmnist,0.01,IRMV1,-124.15497299191648,False,3,mechanism_defined_exposed,inf,False
False,3.3347158937076364,6.029379473247662e-15,6.0293794732476625e-15,1.0758318827167353e-14,cmnist,0.01,VREX,-124.16171543483662,False,3,mechanism_defined_exposed,inf,False
False,7.447470388892037,0.0,0.0,7.356735931396327e-15,cmnist,0.0,L2,-131.0322033546276,False,4,mechanism_defined_hidden,inf,False
False,7.447470388892037,0.0,0.0,9.464371337318512e-15,cmnist,0.01,L2,-132.61818475689165,False,4,mechanism_defined_hidden,inf,False
False,7.447470388892037,0.0,0.0,1.2045895687608685e-14,cmnist,0.01,IRMV1,-131.07202674388066,False,4,mechanism_defined_hidden,inf,False
False,7.447470388892037,0.0,0.0,4.2830437360527826e-15,cmnist,0.01,VREX,-130.9694099483242,False,4,mechanism_defined_hidden,inf,False
False,4.299799033808584,5.289662222894502e-15,5.289662222894502e-15,4.9798462335296845e-15,cmnist,0.0,L2,-206.24681552555688,False,4,mechanism_defined_exposed,inf,False
False,4.299799033808584,1.838661156893957e-14,1.838661156893957e-14,2.616391827224005e-14,cmnist,0.01,L2,-209.10010822118602,False,4,mechanism_defined_exposed,inf,False
False,4.299799033808584,1.0730454073190309e-14,1.0730454073190309e-14,2.077361437637509e-14,cmnist,0.01,IRMV1,-206.3647986391611,False,4,mechanism_defined_exposed,inf,False
False,4.299799033808584,5.872540418966729e-15,5.872540418966726e-15,2.509862156014688e-14,cmnist,0.01,VREX,-206.03515496410373,False,4,mechanism_defined_exposed,inf,False
