seed,method,tangent,epsilon,A_norm,PiO_norm,mismatch_norm,normalized_mismatch_if_preregistered,finite
10,ERM,source_env0_color,0.01,1.8074947520512128,1.2458450863582249,1.1257078611626845,0.6228000716932589,True
10,ERM,source_env1_color,0.01,1.5436087977040134,1.1887627022761498,0.9405760006586489,0.6093357345835781,True
10,ERM,shared_label_noise,0.01,5.462764686123,0.8541870347552762,4.861028251771743,0.8898476377941299,True
10,ERM,common_source_color,0.01,2.134005611789796,1.6693496098738756,1.1721332635834212,0.5492643773323305,True
10,ERM,antisymmetric_source_color,0.01,1.04696383750273,0.09004633372089949,1.0281905800164013,0.9820688577638865,True
10,ERM,source_env0_color,0.02,1.4894984685830728,1.2076235185094122,0.8276622810056847,0.5556650768449743,True
10,ERM,source_env1_color,0.02,1.4707279310560648,1.2246133942599962,0.8419399496424269,0.5724647855418554,True
10,ERM,shared_label_noise,0.02,4.9347121915388605,0.8176545967022989,4.298600886685865,0.8710945481392648,True
10,ERM,common_source_color,0.02,2.1120579959951407,1.707481507167089,1.0607655987758375,0.5022426471182366,True
10,ERM,antisymmetric_source_color,0.02,0.8868187810637851,0.04485938956367503,0.8802653269271766,0.9926101540962549,True
10,IRMv1,source_env0_color,0.01,1.1870547516480072,150.8662593104571,150.92832625978062,127.14521048860163,True
10,IRMv1,source_env1_color,0.01,1.1312806394776513,13.678635847395254,13.96480240961819,12.344242376556704,True
10,IRMv1,shared_label_noise,0.01,2.3192271250492507,156.53726665175415,156.4080576158104,67.43973279998998,True
10,IRMv1,common_source_color,0.01,1.4796367896199578,36.20789527223544,36.364593000324746,24.57670237414476,True
10,IRMv1,antisymmetric_source_color,0.01,0.6846285935033705,195.48639655421067,195.57738318693123,285.66931770425447,True
10,IRMv1,source_env0_color,0.02,1.014075337870791,46.22986387499315,46.267708248764485,45.625513727521216,True
10,IRMv1,source_env1_color,0.02,1.0131721335957973,223.90065155814654,223.86395015665374,220.95352086140554,True
10,IRMv1,shared_label_noise,0.02,2.0617284203477433,874.3263030238265,874.276325888718,424.05018879317646,True
10,IRMv1,common_source_color,0.02,1.4729030260405096,14.645883928985095,14.750571252604098,10.014624854330641,True
10,IRMv1,antisymmetric_source_color,0.02,0.5439509772424255,241.5390761739661,241.539214150114,444.0459237238689,True
11,ERM,source_env0_color,0.01,1.9132611236294965,1.2934845970079918,1.2221146269108283,0.6387599746930785,True
11,ERM,source_env1_color,0.01,1.563256754808099,1.1878538101983385,0.9777851815912499,0.6254795820225195,True
11,ERM,shared_label_noise,0.01,4.44842499820034,0.9263181600566296,3.823325048862834,0.8594783660305844,True
11,ERM,common_source_color,0.01,2.1114273342303913,1.7270492773015516,1.150943657397812,0.5451021869134451,True
11,ERM,antisymmetric_source_color,0.01,1.183424413943458,0.09111972794940536,1.1838442083100629,1.000354728499479,True
11,ERM,source_env0_color,0.02,1.6903835447482602,1.29487593337398,0.9441054686847089,0.5585155343104747,True
11,ERM,source_env1_color,0.02,1.4320744601697288,1.217131973559113,0.7446999831716629,0.520014848308517,True
11,ERM,shared_label_noise,0.02,4.585992691302515,0.9277831876417513,3.891984478662372,0.8486678328213754,True
11,ERM,common_source_color,0.02,2.1404747064191856,1.7516703802657598,0.9573076265583692,0.44724080302721986,True
11,ERM,antisymmetric_source_color,0.02,1.043618092040231,0.0743474581479079,1.021916733939786,0.9792056516977207,True
11,IRMv1,source_env0_color,0.01,1.3543636991448684,4.302037979330859,4.073983227378843,3.0080422488812384,True
11,IRMv1,source_env1_color,0.01,1.0403679861924076,2.3279039489967013,2.8956773478193667,2.783320311899558,True
11,IRMv1,shared_label_noise,0.01,1.9365852764333864,12.225852777142023,11.703047144742856,6.043135454533862,True
11,IRMv1,common_source_color,0.01,1.4727096924941059,2.40357605093876,2.683908942607223,1.8224290614003444,True
11,IRMv1,antisymmetric_source_color,0.01,0.8237426648739143,3.6777616068483665,3.7276168207550655,4.525220047119486,True
11,IRMv1,source_env0_color,0.02,1.2120165864895256,5.6544326952929,5.400860782819589,4.456094778754304,True
11,IRMv1,source_env1_color,0.02,1.000523498219569,3.227360845059751,3.654893268835581,3.652980939817467,True
11,IRMv1,shared_label_noise,0.02,1.9956832561546574,24.62019913547732,24.14183516194311,12.097027465400659,True
11,IRMv1,common_source_color,0.02,1.507426735689122,2.460847013667273,2.7763131775288064,1.8417566252462754,True
11,IRMv1,antisymmetric_source_color,0.02,0.6846444540600077,4.87590560023847,4.74835453219453,6.935504266537659,True
12,ERM,source_env0_color,0.01,1.6992298147153502,1.2420227231036225,1.1314734758337774,0.6658743073098199,True
