seed,method,tangent,target_gradient_derivative_norm,source_gradient_derivative_norm,delta_gradient_derivative_norm,A_norm,hessian_condition,whitening_identity_error
10,ERM,source_env0_color,0.43085332454913144,0.4427360290830913,0.023135347165184263,0.43077611143825795,47784050.357618146,2.4255534278692995e-13
10,ERM,source_env1_color,0.4434028895680068,0.44272462346146935,0.020157626585952364,0.4443559016195251,47784050.357618146,2.4255534278692995e-13
10,ERM,shared_label_noise,0.7371583765964517,0.11474993580744633,0.6494332680554927,3.0730982560388704,47784050.357618146,2.4255534278692995e-13
10,IRMv1,source_env0_color,0.36810149204671266,0.3814567360544246,0.02308390429490898,0.25812592552008584,49527116.055856355,1.0827354630721608e-14
10,IRMv1,source_env1_color,0.39003616620978654,0.38390948423061155,0.020126717722013233,0.3011451050807954,49527116.055856355,1.0827354630721608e-14
10,IRMv1,shared_label_noise,0.3783933050557289,0.29907549931507293,0.25290740238040677,0.7281376483258509,49527116.055856355,1.0827354630721608e-14
11,ERM,source_env0_color,0.416287115981566,0.42708877386567823,0.0171901307889643,0.40735466512182555,27838553.025629994,5.984764086045433e-13
11,ERM,source_env1_color,0.4269930195602105,0.4288903787290724,0.01017014959770154,0.43061971761917656,27838553.025629994,5.984764086045433e-13
11,ERM,shared_label_noise,0.7727740474598708,0.12069628549591323,0.6708618007103202,3.027787222762609,27838553.025629994,5.984764086045433e-13
11,IRMv1,source_env0_color,0.3518557077940704,0.3628254151877838,0.017437944779850893,0.2639362678209496,36921961.73247265,9.32248894877023e-15
11,IRMv1,source_env1_color,0.36570791041930684,0.3632571564495917,0.01669889218637565,0.2985422601315676,36921961.73247265,9.32248894877023e-15
11,IRMv1,shared_label_noise,0.4126945159778904,0.36704416250756655,0.2404603962080259,0.850333723558983,36921961.73247265,9.32248894877023e-15
12,ERM,source_env0_color,0.44937476441395263,0.454711000015695,0.013111633584102843,0.46301098540941626,38748802.904738404,1.43692962776209e-13
12,ERM,source_env1_color,0.4540284885109302,0.4557727902772604,0.010823183092680922,0.4958835532694742,38748802.904738404,1.43692962776209e-13
12,ERM,shared_label_noise,0.7368204132738524,0.14000389161157106,0.6434372488414893,3.319018294811675,38748802.904738404,1.43692962776209e-13
12,IRMv1,source_env0_color,0.4309556853502515,0.4479036507312196,0.021195229838488067,0.2679485445561751,1971282.7448106653,8.033644906266031e-15
12,IRMv1,source_env1_color,0.4499952160220853,0.44630532034454573,0.014639691621444533,0.3251940217653797,1971282.7448106653,8.033644906266031e-15
12,IRMv1,shared_label_noise,0.36887053780326384,0.32685167075075366,0.2608818321265212,0.8386201817791585,1971282.7448106653,8.033644906266031e-15
13,ERM,source_env0_color,0.4275471164577987,0.4373411520113297,0.014743198249443147,0.42116465078113846,45440846.90703574,2.3572589662892664e-13
13,ERM,source_env1_color,0.43637717676710386,0.43865278894010906,0.013009271393560914,0.4578599482320434,45440846.90703574,2.3572589662892664e-13
13,ERM,shared_label_noise,0.7510576397320815,0.1504133931206975,0.650582719205294,2.9516695503504122,45440846.90703574,2.3572589662892664e-13
13,IRMv1,source_env0_color,0.4856238259169998,0.5069206304556994,0.027372425338288812,0.29217365717728155,46131963.397968255,9.05606719475775e-15
13,IRMv1,source_env1_color,0.515684597344063,0.5067203534796452,0.019037711274223795,0.3094486438209006,46131963.397968255,9.05606719475775e-15
13,IRMv1,shared_label_noise,0.3392392085446796,0.3333188552275996,0.2956569158376898,0.689038911436618,46131963.397968255,9.05606719475775e-15
14,ERM,source_env0_color,0.42158761933919486,0.4320154012981595,0.014307754076061809,0.40757951503817647,47658614.665904544,3.2558957249283357e-13
14,ERM,source_env1_color,0.43103019390096514,0.43298696090095234,0.007329308072780015,0.4365490676667548,47658614.665904544,3.2558957249283357e-13
14,ERM,shared_label_noise,0.7158199293581295,0.13295583748871972,0.6331744119809506,2.899048488913633,47658614.665904544,3.2558957249283357e-13
14,IRMv1,source_env0_color,0.4084945631593045,0.41955953080332553,0.018222494315303085,0.25590925274461956,52259623.36067963,8.365265926663483e-15
14,IRMv1,source_env1_color,0.41749646924566153,0.4194509796365492,0.016583640847985817,0.29548777275159144,52259623.36067963,8.365265926663483e-15
14,IRMv1,shared_label_noise,0.4459081619257705,0.3252326315422542,0.31565921664192675,0.7890337970761714,52259623.36067963,8.365265926663483e-15
