seed,method,tangent,O_norm,source_observation_rank,kernel_dimension
10,ERM,source_env0_color,0.8854720581661826,3,0
10,ERM,source_env1_color,0.8854492469229387,3,0
10,ERM,shared_label_noise,0.3413351443277208,3,0
10,IRMv1,source_env0_color,0.7629134721088492,3,0
10,IRMv1,source_env1_color,0.7678189684612231,3,0
10,IRMv1,shared_label_noise,0.4224467066591664,3,0
11,ERM,source_env0_color,0.8541775477313565,3,0
11,ERM,source_env1_color,0.8577807574581447,3,0
11,ERM,shared_label_noise,0.3617511090955811,3,0
11,IRMv1,source_env0_color,0.7256508303755675,3,0
11,IRMv1,source_env1_color,0.7265143128991834,3,0
11,IRMv1,shared_label_noise,0.5137560753921141,3,0
12,ERM,source_env0_color,0.90942200003139,3,0
12,ERM,source_env1_color,0.9115455805545208,3,0
12,ERM,shared_label_noise,0.36112028260729817,3,0
12,IRMv1,source_env0_color,0.8958073014624393,3,0
12,IRMv1,source_env1_color,0.8926106406890915,3,0
12,IRMv1,shared_label_noise,0.45176722893552523,3,0
13,ERM,source_env0_color,0.8746823040226595,3,0
13,ERM,source_env1_color,0.8773055778802181,3,0
13,ERM,shared_label_noise,0.3735095402584296,3,0
13,IRMv1,source_env0_color,1.0138412609113987,3,0
13,IRMv1,source_env1_color,1.0134407069592903,3,0
13,IRMv1,shared_label_noise,0.4436814886075362,3,0
14,ERM,source_env0_color,0.864030802596319,3,0
14,ERM,source_env1_color,0.8659739218019047,3,0
14,ERM,shared_label_noise,0.3424847486645315,3,0
14,IRMv1,source_env0_color,0.8391190616066511,3,0
14,IRMv1,source_env1_color,0.8389019592730984,3,0
14,IRMv1,shared_label_noise,0.4663347076389745,3,0
