seed,method,reference,source_objective,gradient_norm,head_displacement_norm,converged,source_mean_acc,target_acc,prediction_color_agreement,counterfactual_prediction_consistency
10,ERM,H0,0.6145066603794567,0.14427054788880952,0.0,False,0.8500800132751465,0.10639999806880951,0.9955999851226807,0.0058
10,ERM,H1,0.5460423174619896,8.229230922373976e-08,1.937147962753643,True,0.8365199863910675,0.24410000443458557,0.8481000065803528,0.2245
10,IRMv1,H0,0.0001574620146165344,0.0031016722006666,0.0,False,0.611240029335022,0.6539999842643738,0.37279999256134033,0.7503
10,IRMv1,H1,6.452592853900371e-05,6.901714699356293e-07,1.39838022436797,True,0.6181599795818329,0.6830000281333923,0.3431999981403351,0.8222
11,ERM,H0,0.6074835243402337,0.1342502102663453,0.0,False,0.8493199944496155,0.10899999737739563,0.9912999868392944,0.0136
11,ERM,H1,0.5443965555288418,2.80022176072717e-07,1.7006911238732272,True,0.8298399746417999,0.2946999967098236,0.7932000160217285,0.3045
11,IRMv1,H0,6.612271515628821e-05,0.0001877941930854419,0.0,False,0.6225000023841858,0.663100004196167,0.36340001225471497,0.8104
11,IRMv1,H1,6.441280856946562e-05,8.544969461414598e-08,1.1706508194767282,True,0.6280200183391571,0.6748999953269958,0.3531999886035919,0.8479
12,ERM,H0,0.6257106342472255,0.16010945261752688,0.0,False,0.8501999974250793,0.10429999977350235,0.991599977016449,0.0118
12,ERM,H1,0.5424409401435607,2.763454589145792e-07,1.5016165395514016,True,0.8240199983119965,0.320499986410141,0.756600022315979,0.349
12,IRMv1,H0,0.00019126374027891892,0.005140786515039021,0.0,False,0.586899995803833,0.6725000143051147,0.34060001373291016,0.8312
12,IRMv1,H1,6.445007424787837e-05,2.2413708683278833e-07,1.5577968000616758,True,0.6188800036907196,0.6672000288963318,0.3504999876022339,0.8675
13,ERM,H0,0.6053214775596573,0.1321752451189148,0.0,False,0.8497800230979919,0.11620000004768372,0.9876999855041504,0.0177
13,ERM,H1,0.5439938353108613,4.3403661375356e-08,1.4687127978104257,True,0.8287599980831146,0.3116999864578247,0.7771999835968018,0.3195
13,IRMv1,H0,7.751996674752856e-05,0.0003753038013611404,0.0,False,0.5731599926948547,0.6894000172615051,0.3149000108242035,0.7514
13,IRMv1,H1,6.46882235400921e-05,8.680011453293159e-07,1.477245399394876,True,0.6197400093078613,0.680899977684021,0.33959999680519104,0.8263
14,ERM,H0,0.6031602700434826,0.12298292135655269,0.0,False,0.8493800163269043,0.11309999972581863,0.9904000163078308,0.0133
14,ERM,H1,0.5445171919712026,5.3639435211898696e-08,1.752512522570341,True,0.8305999934673309,0.2800999879837036,0.8109999895095825,0.2707
14,IRMv1,H0,8.969268569834437e-05,0.0016855164110210342,0.0,False,0.6041999757289886,0.666700005531311,0.35179999470710754,0.8585
14,IRMv1,H1,6.435507369855334e-05,8.186977958654071e-07,1.2790308984460914,True,0.6209799945354462,0.6809999942779541,0.3425000011920929,0.8833
