seed,method,smooth_fd_relative_error,a_rank,o_rank,common_a_remainder,antisymmetric_a_remainder,common_o_remainder,antisymmetric_o_remainder,passed
10,ERM,5.742400900205308e-10,3,3,1.3445231224610616e-12,5.893161851408349e-13,1.4823561517729962e-15,1.4823561517729962e-15,True
10,IRMv1,1.5685490674283171e-09,3,3,1.483114000239267e-13,5.646168132488829e-14,1.2263709027023196e-15,1.2263709027023196e-15,True
11,ERM,1.3578519995437063e-09,3,3,1.1363275751557982e-12,6.603162389491951e-13,1.1643498502891444e-15,1.1643498502891444e-15,True
11,IRMv1,9.49906017995383e-10,3,3,1.5448403206936783e-13,4.503905761494908e-14,1.2304833329738838e-15,1.2304833329738838e-15,True
12,ERM,1.120376194327451e-09,3,3,1.017964131316271e-12,3.4623582656210076e-13,1.6562517128554894e-15,1.6562517128554894e-15,True
12,IRMv1,1.4446335923311915e-09,3,3,1.305090692637825e-13,7.534608042559046e-14,1.0786311885498288e-15,1.0786311885498288e-15,True
13,ERM,9.316655674009157e-10,3,3,1.0064729514263039e-12,3.206456300809244e-13,1.1203229029223328e-15,1.1203229029223328e-15,True
13,IRMv1,1.195862810791495e-09,3,3,1.5964805099218504e-13,5.647564162727654e-14,9.507489266395485e-16,9.507489266395485e-16,True
14,ERM,1.3069954967410942e-09,3,3,8.250432483787673e-13,5.854839242122723e-13,1.119314612874257e-15,1.119314612874257e-15,True
14,IRMv1,1.3717260630104155e-09,3,3,1.9504279468832298e-13,7.653789106802725e-14,1.295039018403254e-15,1.295039018403254e-15,True
