backward_pass_equivalents_per_step,forward_pass_equivalents_per_step,method,notes,outer_steps,projection_or_svd_operations_per_step,seed,unique_source_examples_per_step,variant,wall_clock_seconds
1.0,1.0,ERM,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,ERM_CANONICAL,0.5206029415130615
1.0,1.0,IRMv1,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,IRMv1_CANONICAL,0.5703260898590088
1.0,1.0,VREX,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,VREX_LAMBDA10000_ANNEAL100_RESCALE,0.5047690868377686
1.0,1.0,CORAL,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,CORAL_GAMMA1_SOURCE_ONLY,0.617774248123169
1.0,1.0,FISHR,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100,1.0165908336639404
1.0,1.0,MLDG,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,MLDG_BETA1_INNERLR0P001_ONE_STEP,0.6930279731750488
1.0,1.0,SPECTRAL_NORM_REG,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS,0.9937841892242432
1.0,1.0,SPECTRAL_REG_2024,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,SR2024_LAMBDA0P001_K2_ALL_LINEAR,1.0223090648651123
1.0,1.0,SVB_ORTHDNN,same outer source schedule; extra passes are method-intrinsic,501,3.0,10,1024,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP,0.9548428058624268
1.0,1.0,STABLE_RANK_NORM,same outer source schedule; extra passes are method-intrinsic,501,3.0,10,1024,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR,0.9588279724121094
2.0,2.0,SAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,SAM_RHO0P05_COMMON_ADAM,0.8354911804199219
2.0,2.0,ASAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,10,1024,ASAM_RHO0P5_ETA0P01_COMMON_ADAM,0.873676061630249
1.0,1.0,ERM,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,ERM_CANONICAL,0.5273289680480957
1.0,1.0,IRMv1,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,IRMv1_CANONICAL,0.6254220008850098
1.0,1.0,VREX,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,VREX_LAMBDA10000_ANNEAL100_RESCALE,0.5746963024139404
1.0,1.0,CORAL,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,CORAL_GAMMA1_SOURCE_ONLY,0.7013421058654785
1.0,1.0,FISHR,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,FISHR_COMMON_HARNESS_LAMBDA10000_ANNEAL100,1.0579981803894043
1.0,1.0,MLDG,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,MLDG_BETA1_INNERLR0P001_ONE_STEP,0.7377409934997559
1.0,1.0,SPECTRAL_NORM_REG,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,SNR_LAMBDA0P001_ALL_LINEAR_WEIGHTS,1.1856188774108887
1.0,1.0,SPECTRAL_REG_2024,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,SR2024_LAMBDA0P001_K2_ALL_LINEAR,1.111609697341919
1.0,1.0,SVB_ORTHDNN,same outer source schedule; extra passes are method-intrinsic,501,3.0,11,1024,SVB_FACTOR0P05_ALL_LINEAR_POST_STEP,1.0598552227020264
1.0,1.0,STABLE_RANK_NORM,same outer source schedule; extra passes are method-intrinsic,501,3.0,11,1024,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR,1.023141860961914
2.0,2.0,SAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,SAM_RHO0P05_COMMON_ADAM,0.9023900032043457
2.0,2.0,ASAM,same outer source schedule; extra passes are method-intrinsic,501,0.0,11,1024,ASAM_RHO0P5_ETA0P01_COMMON_ADAM,0.8627557754516602
1.0,1.0,ERM,same outer source schedule; extra passes are method-intrinsic,501,0.0,12,1024,ERM_CANONICAL,0.495377779006958
1.0,1.0,IRMv1,same outer source schedule; extra passes are method-intrinsic,501,0.0,12,1024,IRMv1_CANONICAL,0.7160718441009521
1.0,1.0,VREX,same outer source schedule; extra passes are method-intrinsic,501,0.0,12,1024,VREX_LAMBDA10000_ANNEAL100_RESCALE,0.5107147693634033
